TESSID,RA,dec
139369107,67.290849,-66.207853
139369333,67.114164,-66.691548
139369433,67.331078,-66.938982
139369436,67.227548,-66.948197
139369634,67.186847,-67.355649
139370537,67.147704,-69.253078
139370701,67.268452,-69.612211
139371053,67.261365,-70.332378
139371265,67.290269,-70.775903
139371600,67.063700,-71.464603
139371718,67.118963,-71.688979
140511318,66.791145,-76.024356
140512085,66.897193,-74.179212
140512126,66.653227,-74.089958
140512200,66.723859,-73.933428
140527022,66.905113,-73.409833
140527554,66.823364,-72.406387
140528411,67.772091,-76.065457
140529199,67.428730,-74.089610
140529419,67.473258,-73.648042
140529555,67.507314,-73.411875
140576174,67.494361,-72.275491
140576341,67.448018,-71.996622
140576650,67.868818,-72.337351
140577134,68.048698,-73.123575
140577363,68.040105,-73.540601
140577406,67.889078,-73.621343
140578024,68.041100,-74.915827
140578304,67.983168,-75.681228
140579430,68.344127,-76.411239
140579537,68.293566,-76.123941
140579674,68.405803,-75.662305
140579847,68.537136,-75.221886
140580336,68.208153,-74.207186
140580482,68.528898,-73.951187
140580497,68.254883,-73.916238
140580595,68.371132,-73.717164
140580634,68.308040,-73.663201
140580717,68.372740,-73.471951
140580875,68.564333,-73.208780
140580949,68.190370,-73.093337
140580985,68.566223,-73.026675
140581031,68.252699,-72.971227
140595953,68.418230,-71.995251
140596173,68.955595,-72.197409
140596513,68.645730,-72.733712
140596622,68.642517,-72.912242
140596802,68.945185,-73.182825
140597353,68.949945,-74.181337
140597518,68.857536,-74.484879
140598047,68.659092,-75.675147
140598179,68.673478,-76.111921
140598225,68.624949,-76.275608
140599056,69.156582,-76.595939
140599125,69.046213,-76.321797
140599284,69.083549,-75.798500
140599377,69.068889,-75.474748
140599471,69.237119,-75.216552
140599800,69.246382,-74.328425
140599972,69.018361,-73.892437
140600147,69.220140,-73.524562
140608230,71.528924,-77.020900
140608326,71.651669,-76.725402
140608539,71.543835,-76.036119
140608854,71.448410,-75.234120
140608905,71.357054,-75.139736
140609384,71.367414,-74.280572
140609648,71.685241,-73.918578
140630116,71.673681,-73.690123
140630124,71.401061,-73.684613
140630635,71.620837,-73.073295
140630792,71.600040,-72.880065
140631050,71.635492,-72.633734
140632037,72.035551,-72.038108
140632080,72.093100,-72.068700
140632571,71.829660,-72.447548
140633220,71.801719,-73.017015
140633473,71.858918,-73.253878
140633568,71.793014,-73.357963
140634257,71.734364,-74.200336
140635111,72.001942,-75.782076
140635285,72.049925,-76.271463
140636156,72.271045,-77.019536
140636162,72.270981,-77.006226
140636189,72.474496,-76.933492
140657931,72.443030,-74.574947
140658484,72.495950,-73.824237
140658982,72.229945,-73.271602
140659172,72.270760,-73.112419
140659350,72.288979,-72.965329
140659978,72.453289,-72.463242
140659980,72.473353,-72.462619
140661289,72.789508,-72.369073
140661368,72.704335,-72.424177
140661595,72.514555,-72.573462
140661916,72.561980,-72.825686
140662305,72.771993,-73.152734
140662908,72.569923,-73.746491
140663057,72.519845,-73.917730
140663885,72.736827,-74.980391
140664260,72.811836,-75.597343
140687214,73.206741,-76.340026
140687247,72.938117,-76.263879
140687382,72.908302,-75.912306
140687446,73.001851,-75.776151
140687826,73.283847,-75.017630
140688452,72.964359,-74.200903
140688941,72.941482,-73.627278
140689204,73.028650,-73.365744
140689653,73.013688,-72.995345
140690428,73.273521,-72.407679
140691226,73.833209,-77.526602
140691463,73.701221,-76.680525
140691591,74.007449,-76.372177
140691843,74.003530,-75.721695
140692247,73.753663,-75.001022
140692280,73.796669,-74.936855
140754797,73.973470,-74.281217
140754847,73.929747,-74.224631
140755216,73.853702,-73.761991
140756824,73.710922,-72.326276
140757571,74.340608,-72.121945
140757590,74.281166,-72.131902
140758595,74.344739,-72.962168
140758831,74.281710,-73.164637
140758953,74.098531,-73.276811
140759974,74.397164,-74.378812
140760006,74.390234,-74.407752
140760164,74.252352,-74.584126
140760434,74.130242,-74.920446
140760614,74.278721,-75.171555
140761948,74.699990,-77.249068
140796854,74.496701,-76.721715
140797010,74.718006,-76.303380
140797148,74.775367,-75.951353
140797464,74.785782,-75.369754
140797524,74.574738,-75.277218
140797786,74.731259,-74.916695
140798176,74.583535,-74.463215
140799035,74.755636,-73.577148
140801683,75.140659,-72.456003
140801831,74.927469,-72.579327
140801898,74.899970,-72.639135
140802479,75.014779,-73.076715
140803080,74.991114,-73.570309
140803836,75.143425,-74.388431
140826417,74.862200,-75.884825
140826438,74.996702,-75.925866
140826502,75.132591,-76.077448
140827588,75.484408,-76.628466
140827696,75.320513,-76.288114
140828009,75.425141,-75.605764
140828063,75.453058,-75.509072
140828333,75.304992,-75.096039
140828663,75.633588,-74.703112
140828751,75.392654,-74.589247
140829864,75.489382,-73.373394
140830101,75.513205,-73.168328
140830390,75.627282,-72.914139
140830874,75.592928,-72.513474
140831671,75.973869,-71.880024
140856506,75.816135,-75.361571
140857661,76.057274,-77.763436
140858140,76.078790,-76.359180
140859822,76.114400,-74.030600
140861548,76.238785,-72.502751
140890028,76.392928,-72.105915
140891597,76.710744,-72.353234
140892373,76.739956,-72.640385
140892938,76.581530,-72.880072
140893238,76.538734,-73.037670
140893722,76.818069,-73.246210
140894053,76.744149,-73.431925
140894185,76.511175,-73.501390
140894354,76.489303,-73.594081
140894703,76.617181,-73.809806
140895946,76.537013,-74.658366
140895983,76.548935,-74.678968
