# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7 D2m=8 D2m=9 D2m=10
0.001000 0.954950 1.924499 2.423154 nan nan nan nan nan nan nan
0.001072 0.895352 1.833515 3.261586 nan nan nan nan nan nan nan
0.001150 1.116904 2.243815 3.963558 nan nan nan nan nan nan nan
0.001233 1.033483 2.082407 3.708244 nan nan nan nan nan nan nan
0.001322 0.962226 1.908997 3.593514 nan nan nan nan nan nan nan
0.001417 0.903864 1.815162 3.381773 9.933990 nan nan nan nan nan nan
0.001520 1.051524 2.102769 3.325263 9.933990 nan nan nan nan nan nan
0.001630 0.982234 1.946574 2.697179 -0.000000 nan nan nan nan nan nan
0.001748 1.095225 2.207363 3.471250 3.198030 nan nan nan nan nan nan
0.001874 1.018745 2.018263 2.869536 -0.000000 nan nan nan nan nan nan
0.002009 0.948500 1.937227 2.964989 6.735959 nan nan nan nan nan nan
0.002154 1.034154 2.057161 3.113199 1.688033 nan nan nan nan nan nan
0.002310 0.964560 1.965200 2.619282 4.122978 nan nan nan nan nan nan
0.002477 1.031335 2.041373 3.179119 4.122978 nan nan nan nan nan nan
0.002656 0.959410 1.903401 2.974252 5.201059 nan nan nan nan nan nan
0.002848 1.007375 2.015599 3.009534 3.322115 nan nan nan nan nan nan
0.003054 1.044030 2.106441 3.074514 5.308093 nan nan nan nan nan nan
0.003275 0.971356 1.938638 3.124530 6.036713 -0.000000 nan nan nan nan nan
0.003511 0.998953 2.002978 3.071664 2.835183 -0.000000 nan nan nan nan nan
0.003765 1.015071 2.039286 3.165501 5.185073 9.933990 nan nan nan nan nan
0.004037 0.948436 1.885091 2.734205 3.198030 -0.000000 nan nan nan nan nan
0.004329 1.031177 2.071783 3.085334 3.994442 5.811012 nan nan nan nan nan
0.004642 0.962849 1.929438 2.982221 5.096263 12.143230 nan nan nan nan nan
0.004977 1.025336 2.049581 3.063982 3.625875 5.111765 nan nan nan nan nan
0.005337 1.016683 2.039861 2.976782 3.824834 5.811012 nan nan nan nan nan
0.005722 1.002503 2.000768 3.006660 4.098749 1.793803 nan nan nan nan nan
0.006136 0.986594 1.965911 2.848601 3.679694 3.695134 nan nan nan nan nan
0.006579 1.015458 2.036298 3.128820 4.611659 8.921919 -0.000000 nan nan nan nan
0.007055 0.993142 1.987423 2.959937 3.986355 4.722003 -0.000000 nan nan nan nan
0.007565 0.968857 1.928773 2.880751 3.779126 3.740777 -0.000000 nan nan nan nan
0.008111 1.022108 2.042117 3.063853 4.433976 5.014600 -0.000000 nan nan nan nan
0.008697 0.988742 1.971831 2.928093 3.685368 5.206992 15.745000 nan nan nan nan
0.009326 0.990585 1.988117 2.995850 3.949122 4.451379 9.933990 nan nan nan nan
0.010000 1.019301 2.039110 3.063736 4.173999 5.049013 8.686967 nan nan nan nan
0.010723 0.980370 1.959273 2.949289 3.890000 4.850149 9.933990 nan nan nan nan
0.011498 0.997560 1.994593 2.976177 3.997222 4.911612 5.811012 15.745000 nan nan nan
0.012328 1.006647 2.009676 3.001532 4.040493 5.230087 6.790144 4.122978 nan nan nan
0.013219 0.988148 1.978800 2.971002 4.018735 4.753323 5.720590 -0.000000 nan nan nan
0.014175 1.009472 2.019977 3.019696 3.958406 4.593112 4.077553 9.933990 nan nan nan
0.015199 1.003787 2.007548 2.993277 3.972973 5.303829 6.650397 3.198030 nan nan nan
0.016298 0.994888 1.987450 2.987658 4.024223 5.005647 6.178150 8.423993 nan nan nan
0.017475 0.981546 1.965424 2.942632 3.918825 4.866381 6.268348 7.790943 15.745000 nan nan
0.018738 1.000482 2.002239 3.007404 4.024696 5.128521 6.306478 7.413174 7.321009 nan nan
0.020092 0.994748 1.987463 2.985596 4.003575 4.979825 6.237492 8.176888 12.546970 nan nan
0.021544 1.001174 2.001946 3.003441 3.996772 4.799202 5.685404 6.910149 8.020256 9.933990 nan
0.023101 0.987633 1.976676 2.971864 3.937734 4.858387 5.898216 7.185712 4.625897 -0.000000 nan
0.024771 0.996812 1.994791 2.986411 3.973264 4.860034 5.719320 6.118406 5.974804 5.811012 nan
0.026561 0.988369 1.978601 2.977581 3.940392 4.971573 6.012996 7.762711 8.568031 14.056970 nan
0.028480 0.987518 1.975993 2.963486 3.966109 4.961303 5.882604 6.655561 8.122261 12.396900 13.132020
0.030539 0.991682 1.984464 2.977646 3.953377 4.869172 5.712192 6.529442 7.442465 7.912091 4.822225
0.032745 0.990848 1.982815 2.972036 3.944690 4.918850 5.928732 6.864289 7.855172 10.980570 10.922780
0.035112 0.984204 1.969708 2.953053 3.931860 4.920554 5.900182 7.039823 8.674251 8.106505 6.735959
0.037649 0.982299 1.963762 2.950889 3.944709 4.897836 5.806216 6.873106 8.244764 9.408532 10.229500
0.040370 0.976183 1.951268 2.927165 3.892212 4.822823 5.736508 6.629577 7.314566 8.163954 7.379386
0.043288 0.980011 1.960184 2.945209 3.932856 4.915170 5.935098 7.059770 8.097377 9.576317 10.364400
0.046416 0.976873 1.953989 2.929684 3.904242 4.862933 5.820242 6.796403 7.600289 8.587851 10.392980
0.049770 0.969631 1.938859 2.908078 3.879423 4.848892 5.865708 6.806784 7.709652 8.390273 9.088215
0.053367 0.964272 1.929500 2.895381 3.866638 4.840831 5.824265 6.768645 7.739211 9.036094 10.117940
0.057224 0.964520 1.929088 2.894874 3.863221 4.840123 5.823827 6.781666 7.687233 8.687988 9.755483
0.061359 0.953588 1.907686 2.860539 3.808680 4.760907 5.704612 6.625022 7.527120 8.442359 9.262612
0.065793 0.947481 1.895698 2.844341 3.794968 4.746724 5.706175 6.653390 7.605635 8.527569 9.536363
0.070548 0.940782 1.881294 2.822964 3.762421 4.696679 5.626080 6.573406 7.504675 8.382742 9.166036
0.075646 0.935745 1.871534 2.808509 3.744076 4.679666 5.612057 6.535478 7.448131 8.334320 9.199276
0.081113 0.921246 1.842257 2.764090 3.687088 4.608446 5.526288 6.449198 7.382755 8.357661 9.377669
0.086975 0.912577 1.825632 2.740215 3.653462 4.568785 5.490023 6.415658 7.338295 8.232048 9.145036
0.093260 0.897708 1.795861 2.695778 3.593927 4.491604 5.390388 6.286487 7.193867 8.091030 9.001991
0.100000 0.883270 1.766693 2.651669 3.535525 4.418416 5.305481 6.190064 7.077513 7.966078 8.839136
0.107227 0.870493 1.741529 2.614425 3.486618 4.359018 5.230933 6.104682 6.982898 7.868904 8.747285
