# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.369802 5.378628 5.578836 nan nan nan nan
0.001072 5.303148 5.310862 5.544179 nan nan nan nan
0.001150 5.240674 5.245491 5.444446 nan nan nan nan
0.001233 5.162756 5.166455 5.324842 nan nan nan nan
0.001322 5.090647 5.093704 5.210957 nan nan nan nan
0.001417 5.023500 5.027370 5.093701 5.513429 nan nan nan
0.001520 4.960442 4.963685 4.981299 5.059425 nan nan nan
0.001630 4.887066 4.890210 4.891761 4.602667 nan nan nan
0.001748 4.818532 4.822922 4.838601 4.791650 nan nan nan
0.001874 4.742123 4.745258 4.750623 4.810557 nan nan nan
0.002009 4.671040 4.675477 4.691409 5.010635 nan nan nan
0.002154 4.604839 4.606684 4.616682 4.632569 nan nan nan
0.002310 4.532677 4.535537 4.542267 4.744932 nan nan nan
0.002477 4.465383 4.465716 4.495612 4.666338 nan nan nan
0.002656 4.393434 4.395308 4.415694 4.620349 nan nan nan
0.002848 4.326498 4.329554 4.339009 4.484884 nan nan nan
0.003054 4.256207 4.259218 4.267834 4.473542 nan nan nan
0.003275 4.183356 4.185034 4.201662 4.326747 3.761200 nan nan
0.003511 4.115562 4.117414 4.117317 4.118051 4.189655 nan nan
0.003765 4.045862 4.047373 4.042384 4.140353 4.382027 nan nan
0.004037 3.975041 3.975855 3.963092 4.007812 4.043051 nan nan
0.004329 3.908868 3.910487 3.904453 3.957458 4.283587 nan nan
0.004642 3.836930 3.837907 3.834377 3.896511 4.153661 nan nan
0.004977 3.769749 3.770487 3.760642 3.747649 3.663562 nan nan
0.005337 3.698209 3.698985 3.690206 3.709813 3.558201 nan nan
0.005722 3.627262 3.627561 3.625025 3.649101 3.421000 nan nan
0.006136 3.557314 3.557947 3.554726 3.577838 3.576962 nan nan
0.006579 3.488470 3.489630 3.492813 3.522677 3.573367 3.091042 nan
0.007055 3.417615 3.418388 3.416370 3.422763 3.269291 3.713572 nan
0.007565 3.348316 3.349030 3.348760 3.354185 3.214656 4.043051 nan
0.008111 3.280720 3.282021 3.282323 3.292700 3.216169 4.304065 nan
0.008697 3.209408 3.210893 3.211214 3.200040 3.172483 4.653960 nan
0.009326 3.140421 3.142240 3.144470 3.145689 3.054741 3.931826 nan
0.010000 3.071307 3.072605 3.074345 3.077800 3.014834 3.555348 nan
0.010723 3.000179 3.001443 3.002907 3.001571 2.958167 3.295837 nan
0.011498 2.931771 2.933110 2.933946 2.936113 2.892373 2.939643 3.091042
0.012328 2.862175 2.863579 2.865710 2.864731 2.830192 2.875104 2.397895
