# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.004655 0.000021 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 0.004976 0.000025 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 0.005297 0.000028 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 0.005726 0.000033 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 0.006154 0.000038 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 0.006581 0.000043 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 0.007010 0.000049 0.000000 0.000000 0.000000 0.000000 0.000000
0.001630 0.007544 0.000057 0.000000 0.000000 0.000000 0.000000 0.000000
0.001748 0.008079 0.000065 0.000001 0.000000 0.000000 0.000000 0.000000
0.001874 0.008720 0.000076 0.000001 0.000000 0.000000 0.000000 0.000000
0.002009 0.009363 0.000087 0.000001 0.000000 0.000000 0.000000 0.000000
0.002154 0.010003 0.000100 0.000001 0.000000 0.000000 0.000000 0.000000
0.002310 0.010752 0.000115 0.000001 0.000000 0.000000 0.000000 0.000000
0.002477 0.011500 0.000132 0.000001 0.000000 0.000000 0.000000 0.000000
0.002656 0.012358 0.000152 0.000002 0.000000 0.000000 0.000000 0.000000
0.002848 0.013214 0.000174 0.000002 0.000000 0.000000 0.000000 0.000000
0.003054 0.014176 0.000200 0.000003 0.000000 0.000000 0.000000 0.000000
0.003275 0.015247 0.000232 0.000003 0.000000 0.000000 0.000000 0.000000
0.003511 0.016317 0.000266 0.000004 0.000000 0.000000 0.000000 0.000000
0.003765 0.017495 0.000306 0.000005 0.000000 0.000000 0.000000 0.000000
0.004037 0.018779 0.000352 0.000007 0.000000 0.000000 0.000000 0.000000
0.004329 0.020063 0.000402 0.000008 0.000000 0.000000 0.000000 0.000000
0.004642 0.021560 0.000464 0.000010 0.000000 0.000000 0.000000 0.000000
0.004977 0.023058 0.000531 0.000012 0.000000 0.000000 0.000000 0.000000
0.005337 0.024768 0.000613 0.000015 0.000000 0.000000 0.000000 0.000000
0.005722 0.026589 0.000707 0.000019 0.000000 0.000000 0.000000 0.000000
0.006136 0.028515 0.000813 0.000023 0.000001 0.000000 0.000000 0.000000
0.006579 0.030548 0.000932 0.000028 0.000001 0.000000 0.000000 0.000000
0.007055 0.032791 0.001074 0.000035 0.000001 0.000000 0.000000 0.000000
0.007565 0.035143 0.001234 0.000043 0.000002 0.000000 0.000000 0.000000
0.008111 0.037601 0.001412 0.000053 0.000002 0.000000 0.000000 0.000000
0.008697 0.040380 0.001628 0.000066 0.000003 0.000000 0.000000 0.000000
0.009326 0.043265 0.001868 0.000081 0.000003 0.000000 0.000000 0.000000
0.010000 0.046361 0.002147 0.000099 0.000005 0.000000 0.000000 0.000000
0.010723 0.049778 0.002475 0.000123 0.000006 0.000000 0.000000 0.000000
0.011498 0.053303 0.002837 0.000151 0.000008 0.000000 0.000000 0.000000
0.012328 0.057144 0.003261 0.000186 0.000011 0.000001 0.000000 0.000000
0.013219 0.061302 0.003752 0.000229 0.000014 0.000001 0.000000 0.000000
0.014175 0.065678 0.004307 0.000282 0.000019 0.000001 0.000000 0.000000
0.015199 0.070471 0.004959 0.000348 0.000024 0.000002 0.000000 0.000000
0.016298 0.075584 0.005705 0.000429 0.000032 0.000003 0.000000 0.000000
0.017475 0.081018 0.006554 0.000528 0.000043 0.000004 0.000000 0.000000
