# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 0.955267 1.926460 2.423154 nan nan nan nan
0.001072 0.895366 1.832246 3.261586 nan nan nan nan
0.001150 1.116696 2.249422 3.963558 nan nan nan nan
0.001233 1.033442 2.076087 3.708244 nan nan nan nan
0.001322 0.962339 1.913025 3.593514 nan nan nan nan
0.001417 0.903724 1.816435 3.427343 9.933990 nan nan nan
0.001520 1.051609 2.104629 3.387857 9.933990 nan nan nan
0.001630 0.982208 1.946565 2.708447 0.000000 nan nan nan
0.001748 1.095076 2.208134 3.469004 3.198030 nan nan nan
0.001874 1.018736 2.018823 2.867465 0.000000 nan nan nan
0.002009 0.948778 1.934689 3.005655 8.423993 nan nan nan
0.002154 1.034203 2.053862 3.120352 1.509997 nan nan nan
0.002310 0.964433 1.965086 2.633737 3.760131 nan nan nan
0.002477 1.031157 2.040224 3.185581 3.844684 nan nan nan
0.002656 0.959313 1.901686 3.000717 4.942157 nan nan nan
0.002848 1.007385 2.015419 3.035476 3.198030 nan nan nan
0.003054 1.044085 2.107274 3.055643 5.159458 nan nan nan
0.003275 0.971606 1.940718 3.149516 6.140491 0.000000 nan nan
0.003511 0.998914 2.002723 3.076644 2.757020 0.000000 nan nan
0.003765 1.014986 2.039954 3.176343 5.075891 9.933990 nan nan
0.004037 0.948380 1.885218 2.725628 3.447284 0.000000 nan nan
0.004329 1.030986 2.071176 3.075480 3.948957 5.811012 nan nan
0.004642 0.962823 1.929074 2.985828 5.119266 12.143230 nan nan
0.004977 1.025289 2.050032 3.059503 3.601767 5.111765 nan nan
0.005337 1.016799 2.040435 2.974579 3.844684 5.811012 nan nan
0.005722 1.002474 2.000159 3.007675 4.028999 1.793803 nan nan
0.006136 0.986651 1.965755 2.853069 3.643612 3.695134 nan nan
0.006579 1.015469 2.036483 3.132043 4.563989 8.921919 0.000000 nan
0.007055 0.993175 1.987197 2.956163 3.939000 4.722003 0.000000 nan
0.007565 0.968767 1.929117 2.881280 3.762461 3.740777 0.000000 nan
0.008111 1.022017 2.041404 3.060517 4.388495 5.014600 0.000000 nan
0.008697 0.988704 1.972627 2.929175 3.708126 5.395570 15.745000 nan
0.009326 0.990529 1.988515 2.993525 3.966492 4.538420 9.933990 nan
0.010000 1.019387 2.039255 3.063090 4.155582 4.967726 8.686967 nan
0.010723 0.980396 1.959728 2.948056 3.886179 4.829117 9.933990 nan
0.011498 0.997437 1.993939 2.971875 3.994906 4.886064 5.811012 15.745000
0.012328 1.006659 2.009476 3.002128 4.042530 5.202124 6.790144 4.122978
0.013219 0.988156 1.978834 2.970060 4.009696 4.829527 5.900866 0.000000
0.014175 1.009453 2.019730 3.022566 3.965323 4.592717 4.033124 9.933990
0.015199 1.003840 2.008021 2.993697 3.975834 5.310826 6.685168 3.198030
0.016298 0.994956 1.987998 2.988748 4.026287 4.993626 6.118631 8.423993
0.017475 0.981561 1.965430 2.940867 3.913171 4.873150 6.336174 7.790943
0.018738 1.000498 2.002333 3.008896 4.023376 5.118806 6.288974 7.686168
0.020092 0.994672 1.987350 2.984279 3.999290 4.990195 6.180737 8.058834
0.021544 1.001227 2.001855 3.002067 3.994606 4.801683 5.701342 6.851074
0.023101 0.987669 1.976717 2.972370 3.943614 4.876684 5.923991 7.263567
0.024771 0.996838 1.995073 2.986769 3.975303 4.860669 5.729135 6.095946
0.026561 0.988443 1.978426 2.976127 3.936607 4.966291 6.032690 7.743541
0.028480 0.987647 1.976286 2.963661 3.966491 4.961664 5.897187 6.716772
0.030539 0.991645 1.984576 2.977743 3.952893 4.875818 5.721275 6.493922
0.032745 0.990800 1.982819 2.972052 3.944199 4.918400 5.931821 6.917869
0.035112 0.984171 1.969552 2.952877 3.931337 4.925011 5.922459 7.063712
0.037649 0.982360 1.963742 2.951053 3.943605 4.895991 5.805913 6.873732
0.040370 0.976187 1.951296 2.927263 3.892654 4.825625 5.742731 6.646681
0.043288 0.980071 1.960221 2.945160 3.932625 4.914322 5.937890 7.052916
0.046416 0.976848 1.953868 2.929427 3.903453 4.859280 5.811513 6.784564
0.049770 0.969619 1.938857 2.908279 3.880094 4.847718 5.861600 6.798910
0.053367 0.964233 1.929542 2.895722 3.867308 4.841427 5.825912 6.766318
0.057224 0.964497 1.929099 2.894868 3.862429 4.838667 5.823269 6.778767
0.061359 0.953583 1.907594 2.860313 3.808572 4.759821 5.701631 6.621770
0.065793 0.947451 1.895662 2.844391 3.795278 4.747736 5.707363 6.655321
0.070548 0.940790 1.881286 2.823091 3.762828 4.697062 5.626505 6.574621
0.075646 0.935697 1.871405 2.808436 3.744303 4.680306 5.612474 6.533821
0.081113 0.921260 1.842240 2.764168 3.687546 4.609511 5.528753 6.453729
0.086975 0.912566 1.825551 2.740143 3.653460 4.568913 5.489668 6.414591
0.093260 0.897687 1.795863 2.695759 3.593971 4.491715 5.390711 6.288021
0.100000 0.883300 1.766740 2.651908 3.535974 4.418663 5.305818 6.190828
0.107227 0.870464 1.741411 2.614452 3.486878 4.359403 5.231214 6.104765
0.114976 0.848543 1.697122 2.548225 3.398740 4.248938 5.100357 5.953763
0.123285 0.830249 1.660986 2.493512 3.325954 4.157607 4.989160 5.819021
0.132194 0.804777 1.610054 2.417221 3.224233 4.030483 4.836156 5.641339
0.141747 0.778933 1.558271 2.340105 3.120638 3.900417 4.680042 5.461273
0.151991 0.750780 1.502214 2.256355 3.010093 3.762584 4.515641 5.267899
0.162975 0.717666 1.436162 2.157271 2.877778 3.597034 4.317100 5.037115
0.174753 0.681913 1.364357 2.049521 2.734098 3.417419 4.101378 4.785739
0.187382 0.641751 1.284207 1.929100 2.573605 3.216968 3.860685 4.504393
