# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.003296 0.000011 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 0.003509 0.000012 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 0.003765 0.000014 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 0.004020 0.000016 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 0.004317 0.000019 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 0.004658 0.000022 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 0.004998 0.000025 0.000000 0.000000 0.000000 0.000000 0.000000
0.001630 0.005337 0.000028 0.000000 0.000000 0.000000 0.000000 0.000000
0.001748 0.005719 0.000033 0.000000 0.000000 0.000000 0.000000 0.000000
0.001874 0.006145 0.000038 0.000000 0.000000 0.000000 0.000000 0.000000
0.002009 0.006569 0.000043 0.000000 0.000000 0.000000 0.000000 0.000000
0.002154 0.007038 0.000050 0.000001 0.000000 0.000000 0.000000 0.000000
0.002310 0.007548 0.000057 0.000001 0.000000 0.000000 0.000000 0.000000
0.002477 0.008101 0.000065 0.000001 0.000000 0.000000 0.000000 0.000000
0.002656 0.008697 0.000075 0.000001 0.000000 0.000000 0.000000 0.000000
0.002848 0.009336 0.000087 0.000001 0.000000 0.000000 0.000000 0.000000
0.003054 0.010016 0.000100 0.000002 0.000000 0.000000 0.000000 0.000000
0.003275 0.010738 0.000115 0.000002 0.000000 0.000000 0.000000 0.000000
0.003511 0.011503 0.000132 0.000002 0.000000 0.000000 0.000000 0.000000
0.003765 0.012355 0.000152 0.000003 0.000000 0.000000 0.000000 0.000000
0.004037 0.013207 0.000174 0.000004 0.000000 0.000000 0.000000 0.000000
0.004329 0.014185 0.000201 0.000005 0.000000 0.000000 0.000000 0.000000
0.004642 0.015208 0.000231 0.000006 0.000000 0.000000 0.000000 0.000000
0.004977 0.016315 0.000266 0.000007 0.000000 0.000000 0.000000 0.000000
0.005337 0.017505 0.000306 0.000009 0.000000 0.000000 0.000000 0.000000
0.005722 0.018741 0.000351 0.000011 0.000000 0.000000 0.000000 0.000000
0.006136 0.020101 0.000404 0.000013 0.000000 0.000000 0.000000 0.000000
0.006579 0.021546 0.000464 0.000016 0.000001 0.000000 0.000000 0.000000
0.007055 0.023120 0.000534 0.000020 0.000001 0.000000 0.000000 0.000000
0.007565 0.024778 0.000613 0.000025 0.000001 0.000000 0.000000 0.000000
0.008111 0.026562 0.000705 0.000030 0.000001 0.000000 0.000000 0.000000
0.008697 0.028522 0.000813 0.000038 0.000002 0.000000 0.000000 0.000000
0.009326 0.030561 0.000933 0.000047 0.000003 0.000000 0.000000 0.000000
0.010000 0.032771 0.001073 0.000058 0.000003 0.000000 0.000000 0.000000
0.010723 0.035150 0.001234 0.000071 0.000004 0.000000 0.000000 0.000000
0.011498 0.037657 0.001416 0.000087 0.000006 0.000000 0.000000 0.000000
0.012328 0.040375 0.001628 0.000107 0.000007 0.000001 0.000000 0.000000
0.013219 0.043309 0.001872 0.000132 0.000010 0.000001 0.000000 0.000000
0.014175 0.046410 0.002150 0.000162 0.000013 0.000001 0.000000 0.000000
0.015199 0.049763 0.002472 0.000200 0.000017 0.000002 0.000000 0.000000
0.016298 0.053373 0.002844 0.000247 0.000023 0.000002 0.000000 0.000000
0.017475 0.057238 0.003271 0.000304 0.000030 0.000003 0.000000 0.000000
0.018738 0.061354 0.003760 0.000375 0.000039 0.000005 0.000001 0.000000
0.020092 0.065766 0.004319 0.000462 0.000052 0.000007 0.000001 0.000000
0.021544 0.070516 0.004965 0.000569 0.000069 0.000009 0.000001 0.000000
0.023101 0.075602 0.005706 0.000700 0.000090 0.000013 0.000002 0.000000
0.024771 0.081065 0.006561 0.000863 0.000119 0.000019 0.000003 0.000000
0.026561 0.086903 0.007541 0.001063 0.000158 0.000027 0.000004 0.000001
0.028480 0.093117 0.008656 0.001306 0.000207 0.000037 0.000007 0.000001
0.030539 0.099832 0.009946 0.001606 0.000272 0.000052 0.000010 0.000002
0.032745 0.106997 0.011422 0.001974 0.000359 0.000074 0.000015 0.000003
0.035112 0.114665 0.013117 0.002425 0.000471 0.000104 0.000023 0.000005
0.037649 0.122910 0.015068 0.002981 0.000620 0.000146 0.000035 0.000008
0.040370 0.131686 0.017291 0.003656 0.000813 0.000205 0.000052 0.000013
0.043288 0.141110 0.019847 0.004487 0.001066 0.000287 0.000078 0.000021
0.046416 0.151186 0.022776 0.005504 0.001397 0.000402 0.000116 0.000034
0.049770 0.161994 0.026141 0.006749 0.001829 0.000561 0.000173 0.000054
0.053367 0.173510 0.029976 0.008261 0.002388 0.000781 0.000256 0.000086
0.057224 0.185814 0.034363 0.010106 0.003115 0.001085 0.000380 0.000135
0.061359 0.198934 0.039372 0.012347 0.004055 0.001504 0.000560 0.000212
0.065793 0.212980 0.045096 0.015068 0.005270 0.002080 0.000824 0.000333
0.070548 0.227940 0.051616 0.018356 0.006826 0.002862 0.001205 0.000517
0.075646 0.243901 0.059057 0.022336 0.008826 0.003930 0.001756 0.000802
0.081113 0.260877 0.067506 0.027114 0.011366 0.005364 0.002542 0.001230
0.086975 0.278958 0.077119 0.032851 0.014587 0.007285 0.003654 0.001870
0.093260 0.298158 0.088012 0.039712 0.018653 0.009843 0.005217 0.002824
0.100000 0.318531 0.100342 0.047880 0.023750 0.013219 0.007390 0.004219
0.107227 0.340136 0.114283 0.057571 0.030102 0.017632 0.010374 0.006231
