# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 0.896540 1.716603 3.387857 nan nan nan nan
0.001072 1.008991 2.064885 5.036135 nan nan nan nan
0.001150 0.939007 1.826275 2.875956 nan nan nan nan
0.001233 1.023115 2.098203 2.516145 nan nan nan nan
0.001322 1.088135 2.195815 3.816078 nan nan nan nan
0.001417 1.010894 2.009782 2.705743 -0.000000 nan nan nan
0.001520 0.941329 1.892380 2.406021 9.933990 nan nan nan
0.001630 0.990960 2.007688 2.612981 15.745000 nan nan nan
0.001748 1.028030 2.028511 3.370704 2.209244 nan nan nan
0.001874 0.957632 1.900777 2.903236 6.477723 nan nan nan
0.002009 0.987015 1.987271 3.106633 4.445053 nan nan nan
0.002154 1.002849 1.987118 3.243099 2.612981 nan nan nan
0.002310 1.013510 2.012590 2.939222 1.509997 nan nan nan
0.002477 1.018056 2.022205 3.131901 3.198030 nan nan nan
0.002656 1.014969 2.041076 2.933419 2.612981 -0.000000 nan nan
0.002848 1.008353 2.026688 2.843183 2.209244 -0.000000 nan nan
0.003054 0.997496 1.981586 3.307853 2.612981 -0.000000 nan nan
0.003275 0.986686 1.994331 2.821150 2.498784 -0.000000 nan nan
0.003511 1.023547 2.048482 3.171049 3.537929 -0.000000 nan nan
0.003765 0.955436 1.910500 2.646379 3.198030 -0.000000 nan nan
0.004037 1.024138 2.041115 3.085537 3.760131 19.867980 nan nan
0.004329 0.997896 2.002354 2.922278 3.738914 -0.000000 -0.000000 nan
0.004642 1.007150 2.016846 3.019179 3.962846 3.198030 -0.000000 nan
0.004977 1.009063 2.016483 3.007687 3.735335 8.423993 9.933990 nan
0.005337 0.977379 1.961570 2.926571 4.625897 2.875956 -0.000000 nan
0.005722 1.003999 2.013883 3.071594 4.379008 10.571060 9.933990 nan
0.006136 0.995295 1.988309 3.024660 4.238358 3.322115 -0.000000 nan
0.006579 1.010377 2.015102 2.999058 3.843235 3.491523 -0.000000 nan
0.007055 0.992651 1.983029 3.069416 3.799192 6.193213 8.020256 nan
0.007565 0.996554 1.993969 3.000012 3.664236 3.933151 1.913734 nan
0.008111 1.020236 2.045620 3.085428 4.214983 3.978940 3.198030 nan
0.008697 0.989346 1.979367 3.020614 4.179144 4.445053 2.612981 nan
0.009326 1.000705 1.998851 3.028341 3.777847 4.897854 3.198030 nan
0.010000 1.004275 2.001204 2.960537 3.952088 6.450268 8.945203 nan
0.010723 0.987411 1.975332 2.963504 3.732725 4.182969 4.376644 -0.000000
0.011498 0.998896 1.993382 2.964721 3.971728 4.599863 6.305258 15.745000
0.012328 1.005573 2.006309 2.976860 3.868252 4.425931 5.400333 9.933990
0.013219 0.990841 1.984399 2.984452 4.045832 5.071526 4.164580 5.811012
0.014175 0.999935 1.997722 2.998624 3.992923 5.043098 4.999162 9.114812
0.015199 1.003723 2.010529 3.008594 3.972440 4.991278 4.555994 4.942157
0.016298 1.001780 2.003368 3.012664 3.913549 4.742931 5.156481 7.321009
0.017475 0.995389 1.996407 2.996938 3.982462 4.982814 6.578836 5.325144
0.018738 0.995084 1.986100 2.969230 3.946940 4.760710 5.235363 7.517337
0.020092 0.999487 1.999589 2.987497 3.991682 4.886225 5.507614 5.713184
0.021544 0.998074 1.993281 2.970946 3.932632 5.110729 6.652392 8.048275
0.023101 0.999891 2.000488 3.005203 4.009332 5.066264 6.120540 6.538666
0.024771 0.996784 1.994175 2.985736 3.988000 4.984445 6.001126 7.462209
0.026561 0.989801 1.977184 2.952361 3.907187 4.856339 5.758154 6.709590
0.028480 0.997948 1.990963 2.965820 3.932088 4.890684 5.910160 6.862419
0.030539 0.993351 1.983456 2.956162 3.946101 4.958298 6.076797 7.234085
0.032745 0.991917 1.982564 2.950012 3.918073 4.869059 5.865141 6.927759
0.035112 0.995154 1.987354 2.960418 3.928843 4.896973 5.883097 6.756108
0.037649 0.988375 1.972366 2.925778 3.880414 4.821030 5.765453 6.678861
0.040370 0.990682 1.975472 2.936505 3.895904 4.843497 5.813777 6.782518
0.043288 0.988477 1.973130 2.926491 3.866609 4.799385 5.711332 6.607951
0.046416 0.989584 1.974559 2.922770 3.864463 4.793241 5.739658 6.674311
0.049770 0.984212 1.962020 2.896785 3.822346 4.737688 5.668625 6.623722
0.053367 0.981866 1.957727 2.889482 3.808976 4.715836 5.622351 6.512354
0.057224 0.977843 1.949967 2.869538 3.779408 4.679333 5.560755 6.436206
0.061359 0.977746 1.945373 2.854326 3.754163 4.643137 5.542841 6.451315
0.065793 0.972903 1.935423 2.828971 3.707932 4.577274 5.448598 6.329264
0.070548 0.969982 1.930058 2.812757 3.683007 4.542226 5.403665 6.282412
0.075646 0.964348 1.916302 2.777967 3.625102 4.459054 5.295313 6.131467
0.081113 0.960358 1.908050 2.750974 3.576365 4.387129 5.201413 6.008326
0.086975 0.953984 1.893560 2.718309 3.524041 4.313246 5.105970 5.903041
0.093260 0.947276 1.879054 2.680755 3.462008 4.225994 4.989034 5.754109
0.100000 0.940516 1.864489 2.641650 3.396636 4.128382 4.861163 5.589296
0.107227 0.932002 1.845849 2.594965 3.318492 4.016126 4.714016 5.413789
0.114976 0.921873 1.824528 2.544074 3.237156 3.898321 4.559719 5.220884
0.123285 0.910955 1.802811 2.491431 3.151716 3.776844 4.402243 5.027343
0.132194 0.899369 1.778558 2.433098 3.058816 3.645175 4.231342 4.815578
0.141747 0.885453 1.751530 2.370641 2.958109 3.500664 4.044059 4.586092
0.151991 0.870218 1.722503 2.305451 2.855156 3.355235 3.855793 4.354593
0.162975 0.854017 1.692245 2.238010 2.749079 3.205348 3.662031 4.115871
