# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.715035 5.713962 5.383475 nan nan nan nan
0.001072 5.652479 5.656742 5.266863 nan nan nan nan
0.001150 5.582076 5.583067 5.059543 nan nan nan nan
0.001233 5.516556 5.521158 4.986301 nan nan nan nan
0.001322 5.445168 5.446143 4.957139 nan nan nan nan
0.001417 5.369243 5.368854 4.844085 5.036953 nan nan nan
0.001520 5.298708 5.299157 4.795524 5.225747 nan nan nan
0.001630 5.233026 5.232797 4.759684 4.700480 nan nan nan
0.001748 5.163882 5.161854 4.717450 3.784190 nan nan nan
0.001874 5.092151 5.092045 4.623798 3.865231 nan nan nan
0.002009 5.025332 5.026237 4.553851 3.615820 nan nan nan
0.002154 4.956462 4.956444 4.475747 3.522431 nan nan nan
0.002310 4.886488 4.887766 4.388111 3.566398 nan nan nan
0.002477 4.815770 4.818055 4.323455 3.666122 nan nan nan
0.002656 4.744735 4.747990 4.246026 3.661508 3.218876 nan nan
0.002848 4.673915 4.676393 4.183762 3.683867 3.401197 nan nan
0.003054 4.603557 4.605339 4.126791 3.728100 3.555348 nan nan
0.003275 4.533957 4.536674 4.034250 3.776585 3.737670 nan nan
0.003511 4.465110 4.466365 3.976559 3.799078 3.912023 nan nan
0.003765 4.393692 4.394850 3.898231 3.773479 4.158883 nan nan
0.004037 4.327026 4.328210 3.846885 3.734987 4.382027 nan nan
0.004329 4.255566 4.257250 3.774010 3.687917 3.258097 1.386294 nan
0.004642 4.185938 4.187164 3.709822 3.630936 3.518980 1.386294 nan
0.004977 4.115664 4.116712 3.639884 3.565092 3.572346 1.609438 nan
0.005337 4.045256 4.046419 3.570723 3.514320 3.245193 1.504077 nan
0.005722 3.977059 3.977746 3.503389 3.395749 3.367296 1.704748 nan
0.006136 3.907005 3.907281 3.429587 3.304524 2.935244 1.749200 nan
0.006579 3.837558 3.837994 3.357276 3.219838 2.999175 1.981001 nan
0.007055 3.767058 3.767889 3.288620 3.160935 3.023715 2.224624 nan
0.007565 3.697796 3.698785 3.212817 3.110015 2.856672 2.097141 nan
0.008111 3.628261 3.629190 3.142620 3.063668 2.837908 2.238047 nan
0.008697 3.557074 3.557643 3.070067 2.984853 2.854378 2.292535 nan
0.009326 3.488042 3.488564 2.997414 2.904016 2.835824 2.420368 nan
0.010000 3.418217 3.418918 2.925581 2.851719 2.757675 2.538974 nan
0.010723 3.348144 3.349357 2.858643 2.782533 2.583364 2.364889 3.332205
0.011498 3.279247 3.280425 2.789693 2.728861 2.551948 2.351375 3.637586
0.012328 3.209549 3.211034 2.721917 2.658597 2.508120 2.232381 2.978925
0.013219 3.139385 3.141207 2.654197 2.596399 2.469208 2.164392 2.662588
0.014175 3.070248 3.071882 2.584418 2.522341 2.397640 2.227674 2.547708
0.015199 3.000478 3.002261 2.514580 2.452964 2.324363 2.230740 2.260537
0.016298 2.930443 2.932010 2.444939 2.385711 2.253274 2.261112 2.233592
0.017475 2.860543 2.862124 2.374515 2.322852 2.195403 2.232256 2.082562
0.018738 2.791089 2.792278 2.304703 2.254086 2.125603 2.120893 2.170038
0.020092 2.721657 2.723130 2.236105 2.185866 2.068822 2.087774 2.010813
0.021544 2.651918 2.653347 2.167173 2.115799 2.006405 2.044417 1.996469
0.023101 2.582277 2.583906 2.098956 2.048697 1.924203 1.936847 1.899071
0.024771 2.512509 2.514089 2.028852 1.978634 1.850455 1.863284 1.869896
0.026561 2.442958 2.444496 1.959665 1.908701 1.780928 1.792345 1.767949
0.028480 2.373894 2.375601 1.891622 1.842077 1.714701 1.729421 1.701562
0.030539 2.304262 2.306313 1.823601 1.774656 1.647814 1.658286 1.635118
0.032745 2.234951 2.237228 1.755730 1.705582 1.577188 1.580243 1.554368
0.035112 2.165740 2.168106 1.688226 1.638036 1.510833 1.510741 1.480223
0.037649 2.096302 2.098875 1.620331 1.570463 1.443281 1.441934 1.419309
0.040370 2.027338 2.030216 1.553806 1.503853 1.377649 1.376036 1.355575
0.043288 1.958213 1.961502 1.486750 1.436911 1.311531 1.308335 1.287981
0.046416 1.889242 1.892798 1.420229 1.371314 1.246446 1.244703 1.225419
0.049770 1.820193 1.824071 1.354067 1.305607 1.181640 1.178667 1.160204
0.053367 1.751520 1.755844 1.288843 1.241026 1.117772 1.113710 1.093561
0.057224 1.683010 1.687753 1.223830 1.176868 1.054496 1.050458 1.031461
0.061359 1.614780 1.619923 1.159667 1.113381 0.991703 0.988957 0.970376
0.065793 1.546558 1.552406 1.096244 1.050595 0.929674 0.926180 0.906987
0.070548 1.478673 1.485246 1.033896 0.989265 0.869016 0.865383 0.845538
