# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 0.946674 1.915497 3.226053 nan nan nan nan
0.001068 0.893974 1.834713 3.191661 24.426500 nan nan nan
0.001141 1.008628 2.019099 3.015822 0.000000 nan nan nan
0.001219 1.093965 2.209591 3.820166 7.133262 nan nan nan
0.001302 1.020631 2.059100 3.353265 4.833184 nan nan nan
0.001390 0.957039 1.939514 3.533040 9.813884 nan nan nan
0.001485 1.028053 2.045282 2.885827 5.910921 0.000000 nan nan
0.001586 0.960186 1.926249 2.901557 3.868509 0.000000 nan nan
0.001694 1.012620 2.055532 2.979664 0.740490 0.000000 nan nan
0.001809 0.949213 1.866410 3.083377 4.092694 0.000000 nan nan
0.001933 1.082902 2.168808 3.437527 5.875273 16.673680 nan nan
0.002064 0.922850 1.812305 2.459299 2.735840 0.000000 nan nan
0.002205 1.039093 2.058560 2.849139 3.355333 0.000000 nan nan
0.002355 0.974377 1.938093 2.890460 3.361551 0.000000 nan nan
0.002515 0.986152 1.972240 3.135491 4.491282 14.886080 nan nan
0.002687 1.064711 2.121576 3.380239 5.308237 10.519920 nan nan
0.002870 0.994512 2.003675 3.149287 4.445003 2.608178 0.000000 nan
0.003065 0.993369 1.982814 2.959159 3.651698 6.932239 6.153759 nan
0.003274 0.990824 1.992689 2.953205 3.268741 4.366161 0.000000 nan
0.003497 0.982134 1.962347 2.978987 3.716982 5.639234 10.519920 nan
0.003735 1.021157 2.023070 3.009640 4.375912 5.255447 4.366161 nan
0.003990 1.002056 2.012726 2.951515 4.233995 6.519488 9.540417 nan
0.004261 0.985054 1.977698 2.948822 4.154515 5.829104 7.133262 nan
0.004551 1.003208 2.018730 3.061597 4.357746 5.396852 8.127580 nan
0.004861 1.018536 2.043936 3.057372 4.236185 5.607483 6.758502 10.519920
0.005193 0.990392 1.980183 2.914842 3.899400 4.651508 6.153759 10.519920
0.005546 0.994648 1.986451 2.961040 3.917279 4.925945 4.947728 6.773316
0.005924 0.997016 2.000709 3.059013 4.256626 5.666906 6.342765 5.106651
0.006327 0.993487 2.000124 2.975407 4.027772 4.629427 4.459789 3.473137
0.006758 1.014843 2.028876 3.002264 3.944608 5.144910 4.684815 4.958099
0.007219 0.976183 1.957624 2.840461 3.843216 4.812328 4.970904 6.070597
0.007710 1.013168 2.028452 3.006687 3.984880 4.979706 6.133984 7.984534
0.008235 0.994821 1.992047 2.872463 3.915261 5.222462 6.081031 8.633449
0.008796 0.995364 1.991944 2.908631 3.873286 5.249278 6.298868 7.908255
0.009395 1.013175 2.017334 2.953191 3.881532 5.142228 5.871058 7.012660
0.010035 0.986077 1.969204 2.897345 3.783566 4.890391 5.996400 7.012747
0.010719 0.993836 1.989470 2.933864 3.837315 4.939928 5.590826 6.188789
0.011449 1.013608 2.028580 3.023888 3.975867 5.090470 6.322741 7.500554
0.012229 0.995708 1.990765 2.950645 3.842059 4.819044 5.732104 6.249513
0.013062 0.990304 1.982422 2.937720 3.812621 4.787491 5.751157 6.481338
0.013951 0.994878 1.988808 2.950192 3.807989 4.797454 5.813116 6.563359
0.014901 1.007140 2.018869 2.998265 3.842189 4.746625 5.688343 6.326396
0.015916 0.990578 1.985056 2.927614 3.741359 4.647949 5.657785 6.397766
0.017000 0.994747 1.988552 2.909085 3.692918 4.551259 5.526490 6.339020
0.018158 1.002546 1.997783 2.930869 3.696161 4.545367 5.493956 6.229299
0.019395 0.987054 1.964089 2.864454 3.587345 4.399861 5.287571 6.017715
0.020716 0.997472 1.986985 2.896207 3.596536 4.383809 5.247803 6.014085
0.022127 0.992030 1.972955 2.859338 3.508306 4.253158 5.045605 5.796258
0.023634 0.992752 1.972837 2.852294 3.473361 4.178129 4.949651 5.677278
0.025243 0.995149 1.971125 2.829552 3.410910 4.076105 4.808223 5.516825
0.026963 0.986797 1.955381 2.784960 3.331112 3.949241 4.596935 5.229759
0.028799 0.988431 1.954505 2.770420 3.283602 3.874628 4.472896 5.063007
0.030760 0.990667 1.955779 2.755928 3.244004 3.809453 4.388551 4.972198
0.032855 0.983465 1.938302 2.717691 3.173188 3.705616 4.240644 4.787369
0.035093 0.982675 1.936185 2.699388 3.124112 3.628834 4.138197 4.660632
0.037483 0.984113 1.935038 2.683851 3.068878 3.532807 3.998576 4.470884
0.040036 0.979196 1.922374 2.649240 2.991662 3.404785 3.812854 4.212909
0.042763 0.975153 1.906733 2.609320 2.914614 3.284983 3.645677 3.996588
0.045676 0.975248 1.902280 2.589160 2.871025 3.201099 3.523521 3.832060
0.048786 0.970430 1.889636 2.562329 2.822007 3.116225 3.403304 3.674999
0.052109 0.965612 1.877897 2.529950 2.770494 3.035449 3.290140 3.528455
0.055658 0.963462 1.867260 2.499683 2.725793 2.963603 3.192326 3.407351
0.059449 0.959006 1.852699 2.462448 2.677475 2.892738 3.103031 3.303234
0.063498 0.954113 1.838685 2.427359 2.635435 2.832513 3.029687 3.214769
0.067823 0.950291 1.826223 2.389025 2.585085 2.764313 2.946524 3.119522
0.072442 0.944554 1.811792 2.348810 2.536302 2.700222 2.867244 3.026040
0.077376 0.938961 1.798063 2.312178 2.495735 2.644213 2.795835 2.943155
0.082646 0.933464 1.784911 2.275218 2.455417 2.589854 2.727617 2.864860
0.088275 0.924013 1.762517 2.229015 2.409542 2.533103 2.659875 2.785251
0.094287 0.915570 1.741086 2.178693 2.358530 2.472617 2.589583 2.703945
0.100709 0.904307 1.713487 2.119566 2.295812 2.400617 2.508686 2.613786
0.107568 0.893781 1.688787 2.063894 2.233558 2.329082 2.427395 2.522957
0.114894 0.883231 1.663935 2.011534 2.177111 2.264084 2.353670 2.441868
0.122719 0.870830 1.639673 1.962287 2.125770 2.203522 2.284386 2.364655
0.131077 0.857630 1.614228 1.909819 2.069021 2.136412 2.206680 2.276235
0.140005 0.842357 1.586482 1.855932 2.008772 2.067319 2.128447 2.188859
0.149540 0.828630 1.564547 1.813303 1.962214 2.014244 2.067966 2.120846
0.159725 0.813229 1.542005 1.771511 1.917358 1.964875 2.013705 2.061691
0.170604 0.796510 1.517209 1.726377 1.864455 1.907781 1.952414 1.996140
0.182223 0.779170 1.494250 1.684029 1.812017 1.852163 1.893220 1.934079
0.194634 0.759126 1.467629 1.640193 1.755258 1.791854 1.829987 1.867725
0.207890 0.738375 1.442401 1.601533 1.704210 1.738154 1.773312 1.807811
0.222049 0.715170 1.416319 1.564842 1.653900 1.682571 1.711271 1.739125
0.237173 0.688755 1.386130 1.530925 1.611575 1.633711 1.655900 1.677364
0.253326 0.660691 1.352964 1.500224 1.580604 1.598675 1.616008 1.631938
0.270580 0.627546 1.307027 1.460495 1.547632 1.564776 1.580742 1.595315
0.289008 0.591343 1.249389 1.410137 1.509635 1.531657 1.551318 1.570084
0.308692 0.550015 1.175763 1.345568 1.460982 1.491871 1.518854 1.545423
0.329717 0.504595 1.084504 1.260732 1.389924 1.434152 1.473027 1.512014
0.352173 0.449930 0.964814 1.141666 1.279932 1.337581 1.388351 1.440131
0.376159 0.382559 0.812156 0.976888 1.116019 1.183501 1.243084 1.304053
0.401778 0.307072 0.641684 0.785829 0.918289 0.987513 1.051282 1.116451
0.429143 0.231401 0.475337 0.593891 0.709601 0.774940 0.838722 0.903592
0.458371 0.153179 0.310620 0.404401 0.498329 0.553752 0.609459 0.666030
0.489590 0.081315 0.163593 0.227141 0.291007 0.329189 0.367705 0.406623
0.522935 0.034980 0.070101 0.102587 0.135170 0.156562 0.178035 0.199671
0.558551 0.010625 0.021260 0.031819 0.042389 0.050293 0.058205 0.066162
0.596593 0.002050 0.004100 0.006155 0.008210 0.009923 0.011637 0.013350
0.637225 0.000195 0.000390 0.000584 0.000779 0.000973 0.001166 0.001360
