# r C0m=2 C0m=3 C0m=4 C0m=5 C0m=6 C0m=7 C0m=8 C0m=9 C0m=10 C1m=2 C1m=3 C1m=4 C1m=5 C1m=6 C1m=7 C1m=8 C1m=9 C1m=10 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7 C2m=8 C2m=9 C2m=10
0.001000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000009 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000010 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000012 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000014 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001630 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000016 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001748 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000018 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001874 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000021 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002009 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000024 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002154 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000027 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002310 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000031 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002477 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000036 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002656 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000042 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002848 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000048 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.003054 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000055 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.003275 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000063 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
