# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 2.131377 3.667965 nan nan nan nan
0.001110 1.946446 4.352291 inf nan nan nan
0.001191 1.999489 1.913734 0.000000 nan nan nan
0.001277 2.049645 4.345180 0.000000 nan nan nan
0.001369 1.942929 2.428053 0.000000 nan nan nan
0.001468 2.036498 2.394172 0.000000 nan nan nan
0.001574 2.007793 3.354663 9.933990 nan nan nan
0.001688 1.980335 3.518443 5.811012 nan nan nan
0.001810 1.965705 2.822678 4.122978 nan nan nan
0.001940 1.958963 2.759021 0.000000 nan nan nan
0.002081 2.062645 3.550307 5.811012 nan nan nan
0.002231 1.995660 2.457482 4.122978 nan nan nan
0.002392 1.977391 2.685181 4.563989 nan nan nan
0.002565 2.043797 2.774114 2.394172 nan nan nan
0.002750 1.973812 2.794802 2.050881 nan nan nan
0.002949 2.003908 2.966670 0.924948 nan nan nan
0.003162 2.007878 2.901197 3.198030 nan nan nan
0.003391 1.996318 2.909814 1.365959 nan nan nan
0.003636 1.987571 2.857899 2.394172 nan nan nan
0.003899 2.004051 3.019127 3.844684 inf nan nan
0.004180 2.011485 3.198030 4.332204 9.933990 nan nan
0.004482 2.039869 2.810663 4.277917 5.811012 nan nan
0.004806 2.000209 2.911083 3.105268 0.000000 nan nan
0.005154 1.996101 3.102514 3.745806 0.000000 nan nan
0.005526 2.003025 2.956126 5.325144 9.933990 nan nan
0.005926 2.005416 3.083314 5.308093 4.122978 nan nan
0.006354 1.988925 3.044304 4.376644 9.009042 inf nan
0.006813 2.009082 2.991552 3.268259 3.387857 9.933990 nan
0.007305 1.995333 2.895110 3.467700 6.546133 5.811012 inf
0.007833 1.988296 2.919715 3.933151 4.122978 7.321009 9.933990
0.008399 1.996132 2.972969 3.960833 4.563989 4.822225 0.000000
0.009006 2.006760 2.974280 3.769883 2.394172 1.913734 0.000000
0.009657 2.000936 2.937879 3.514842 4.503729 1.688033 0.000000
0.010355 1.985191 2.997275 3.831214 4.520004 2.875956 5.811012
0.011103 1.997720 3.017959 4.243431 5.574118 6.238856 0.000000
0.011906 2.009624 3.000721 3.996789 4.182570 5.527206 0.000000
0.012766 2.001459 2.959713 3.818150 5.671577 6.373112 7.321009
0.013689 1.993862 3.007365 4.002896 4.873604 5.438738 8.423993
0.014678 1.996942 3.018600 3.968468 4.919582 4.858099 2.875956
0.015739 1.993633 2.975266 3.921021 4.770152 4.563989 3.456267
0.016876 1.996450 2.940770 3.952964 4.491350 3.456267 3.601767
0.018096 1.989547 2.982343 3.999235 4.881120 6.346839 4.122978
0.019403 1.990525 2.959636 3.925981 4.812534 5.723087 6.203686
0.020806 1.989468 2.978113 3.879364 4.920372 6.373112 5.418337
0.022309 1.988902 2.950288 3.945182 4.823863 5.725957 8.831006
0.023921 1.986828 2.929682 3.864504 4.927482 6.049148 7.435206
0.025650 1.986007 2.938861 3.906809 4.800372 5.640121 7.062773
0.027504 1.977989 2.931130 3.886587 4.927038 6.030159 7.310582
0.029492 1.982161 2.930966 3.882145 4.848981 5.724493 6.681094
0.031623 1.979461 2.908135 3.863206 4.800016 5.777738 6.699101
0.033908 1.983276 2.918061 3.801637 4.826658 5.668834 6.464297
0.036359 1.973827 2.898079 3.831681 4.749733 5.684181 6.576399
