# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.002677 0.000008 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 0.002875 0.000009 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 0.003074 0.000010 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 0.003306 0.000011 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 0.003538 0.000013 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 0.003788 0.000015 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 0.004069 0.000017 0.000000 0.000000 0.000000 0.000000 0.000000
0.001630 0.004367 0.000020 0.000000 0.000000 0.000000 0.000000 0.000000
0.001748 0.004683 0.000023 0.000000 0.000000 0.000000 0.000000 0.000000
0.001874 0.005014 0.000026 0.000000 0.000000 0.000000 0.000000 0.000000
0.002009 0.005379 0.000030 0.000000 0.000000 0.000000 0.000000 0.000000
0.002154 0.005761 0.000035 0.000001 0.000000 0.000000 0.000000 0.000000
0.002310 0.006192 0.000040 0.000001 0.000000 0.000000 0.000000 0.000000
0.002477 0.006623 0.000046 0.000001 0.000000 0.000000 0.000000 0.000000
0.002656 0.007104 0.000053 0.000001 0.000000 0.000000 0.000000 0.000000
0.002848 0.007619 0.000061 0.000001 0.000000 0.000000 0.000000 0.000000
0.003054 0.008183 0.000070 0.000001 0.000000 0.000000 0.000000 0.000000
0.003275 0.008761 0.000080 0.000002 0.000000 0.000000 0.000000 0.000000
0.003511 0.009390 0.000092 0.000002 0.000000 0.000000 0.000000 0.000000
0.003765 0.010069 0.000106 0.000003 0.000000 0.000000 0.000000 0.000000
0.004037 0.010799 0.000122 0.000003 0.000000 0.000000 0.000000 0.000000
0.004329 0.011578 0.000140 0.000004 0.000000 0.000000 0.000000 0.000000
0.004642 0.012422 0.000162 0.000005 0.000000 0.000000 0.000000 0.000000
0.004977 0.013316 0.000186 0.000006 0.000000 0.000000 0.000000 0.000000
0.005337 0.014276 0.000214 0.000008 0.000000 0.000000 0.000000 0.000000
0.005722 0.015319 0.000246 0.000009 0.000001 0.000000 0.000000 0.000000
0.006136 0.016413 0.000282 0.000012 0.000001 0.000000 0.000000 0.000000
0.006579 0.017607 0.000324 0.000014 0.000001 0.000000 0.000000 0.000000
0.007055 0.018884 0.000373 0.000018 0.000001 0.000000 0.000000 0.000000
0.007565 0.020242 0.000429 0.000022 0.000002 0.000000 0.000000 0.000000
0.008111 0.021700 0.000493 0.000027 0.000002 0.000000 0.000000 0.000000
0.008697 0.023272 0.000568 0.000033 0.000003 0.000000 0.000000 0.000000
0.009326 0.024942 0.000652 0.000040 0.000003 0.000000 0.000000 0.000000
0.010000 0.026747 0.000749 0.000050 0.000005 0.000001 0.000000 0.000000
0.010723 0.028684 0.000862 0.000061 0.000006 0.000001 0.000000 0.000000
0.011498 0.030751 0.000991 0.000075 0.000008 0.000001 0.000000 0.000000
0.012328 0.032970 0.001138 0.000093 0.000010 0.000002 0.000000 0.000000
0.013219 0.035353 0.001309 0.000114 0.000014 0.000002 0.000000 0.000000
0.014175 0.037903 0.001504 0.000140 0.000018 0.000003 0.000001 0.000000
0.015199 0.040647 0.001729 0.000173 0.000024 0.000004 0.000001 0.000000
0.016298 0.043575 0.001987 0.000213 0.000031 0.000006 0.000001 0.000000
0.017475 0.046718 0.002282 0.000262 0.000041 0.000008 0.000002 0.000000
0.018738 0.050088 0.002623 0.000321 0.000054 0.000012 0.000003 0.000001
0.020092 0.053697 0.003012 0.000394 0.000071 0.000017 0.000004 0.000001
0.021544 0.057557 0.003460 0.000484 0.000093 0.000023 0.000006 0.000002
0.023101 0.061714 0.003976 0.000594 0.000121 0.000033 0.000009 0.000003
0.024771 0.066145 0.004564 0.000727 0.000158 0.000045 0.000014 0.000004
0.026561 0.070904 0.005241 0.000890 0.000206 0.000063 0.000021 0.000007
0.028480 0.076001 0.006016 0.001090 0.000269 0.000088 0.000030 0.000011
0.030539 0.081467 0.006907 0.001334 0.000349 0.000121 0.000045 0.000018
0.032745 0.087303 0.007926 0.001630 0.000453 0.000167 0.000065 0.000027
0.035112 0.093558 0.009094 0.001989 0.000586 0.000229 0.000095 0.000042
0.037649 0.100255 0.010432 0.002426 0.000757 0.000314 0.000138 0.000065
0.040370 0.107420 0.011960 0.002952 0.000973 0.000426 0.000198 0.000098
0.043288 0.115081 0.013707 0.003589 0.001249 0.000577 0.000283 0.000149
0.046416 0.123287 0.015709 0.004357 0.001598 0.000776 0.000401 0.000222
0.049770 0.132044 0.017988 0.005275 0.002031 0.001036 0.000561 0.000326
0.053367 0.141414 0.020594 0.006377 0.002574 0.001375 0.000780 0.000475
0.057224 0.151424 0.023560 0.007691 0.003246 0.001813 0.001075 0.000684
0.061359 0.162106 0.026939 0.009259 0.004078 0.002374 0.001467 0.000972
0.065793 0.173511 0.030787 0.011118 0.005093 0.003081 0.001979 0.001362
0.070548 0.185655 0.035152 0.013315 0.006327 0.003966 0.002638 0.001881
0.075646 0.198628 0.040118 0.015913 0.007825 0.005066 0.003479 0.002560
0.081113 0.212427 0.045742 0.018970 0.009626 0.006418 0.004536 0.003436
0.086975 0.227128 0.052114 0.022561 0.011783 0.008062 0.005847 0.004543
0.093260 0.242771 0.059332 0.026768 0.014353 0.010049 0.007454 0.005924
0.100000 0.259390 0.067481 0.031682 0.017400 0.012428 0.009402 0.007621
0.107227 0.277053 0.076686 0.037427 0.021010 0.015264 0.011743 0.009683
0.114976 0.295773 0.087051 0.044118 0.025273 0.018625 0.014535 0.012163
0.123285 0.315640 0.098732 0.051927 0.030316 0.022599 0.017843 0.015120
0.132194 0.336668 0.111869 0.061018 0.036284 0.027290 0.021752 0.018630
0.141747 0.358884 0.126612 0.071586 0.043347 0.032808 0.026341 0.022765
0.151991 0.382369 0.143170 0.083895 0.051762 0.039331 0.031751 0.027653
0.162975 0.407107 0.161722 0.098202 0.061811 0.047038 0.038102 0.033400
0.174753 0.433173 0.182526 0.114839 0.073879 0.056192 0.045570 0.040163
