# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.923080 5.871184 4.887100 3.931826 nan nan nan
0.001072 5.851611 5.803039 4.724434 4.234107 nan nan nan
0.001150 5.784619 5.742094 4.667636 3.725693 nan nan nan
0.001233 5.711967 5.671962 4.751923 3.784190 nan nan nan
0.001322 5.644076 5.601855 4.613668 3.367296 nan nan nan
0.001417 5.575910 5.532331 4.556189 3.562466 nan nan nan
0.001520 5.504370 5.462809 4.498517 3.538057 nan nan nan
0.001630 5.433645 5.392423 4.421146 3.756538 nan nan nan
0.001748 5.363866 5.324319 4.341508 3.637586 nan nan nan
0.001874 5.295487 5.254140 4.292122 3.692000 nan nan nan
0.002009 5.225283 5.187393 4.239508 3.658420 nan nan nan
0.002154 5.156577 5.115548 4.192597 3.375880 nan nan nan
0.002310 5.084577 5.041152 4.112437 3.541811 nan nan nan
0.002477 5.017154 4.971372 4.080751 3.710699 nan nan nan
0.002656 4.947093 4.901198 4.018487 3.750680 nan nan nan
0.002848 4.877085 4.832666 3.954542 3.770843 nan nan nan
0.003054 4.805749 4.762378 3.871872 3.739205 nan nan nan
0.003275 4.737441 4.693761 3.823794 3.596994 3.761200 nan nan
0.003511 4.668155 4.624360 3.761115 3.499116 4.060443 nan nan
0.003765 4.598337 4.553474 3.675243 3.331789 3.068053 nan nan
0.004037 4.528314 4.482640 3.607266 3.276471 3.332205 nan nan
0.004329 4.458673 4.413842 3.537370 3.172866 2.833213 1.504077 0.693147
0.004642 4.388313 4.342218 3.465729 3.032436 2.611906 2.079442 0.693147
0.004977 4.318762 4.271551 3.396291 2.984678 2.550865 1.704748 0.693147
0.005337 4.249146 4.202462 3.325499 2.966786 2.435310 1.642228 1.098612
0.005722 4.178630 4.132554 3.258665 2.907776 2.374365 1.969441 1.098612
0.006136 4.109689 4.063594 3.193042 2.841637 2.473403 1.985915 1.252763
0.006579 4.039450 3.993961 3.119692 2.765525 2.404103 2.093235 1.504077
0.007055 3.969425 3.923281 3.052656 2.727606 2.396928 2.058388 1.791759
0.007565 3.899980 3.853789 2.987527 2.667744 2.416658 2.014903 1.386294
