# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.002785 0.000010 0.000001 0.000000 0.000000 0.000000 0.000000
0.001070 0.002975 0.000012 0.000001 0.000000 0.000000 0.000000 0.000000
0.001145 0.003182 0.000014 0.000001 0.000000 0.000000 0.000000 0.000000
0.001225 0.003406 0.000016 0.000001 0.000000 0.000000 0.000000 0.000000
0.001311 0.003648 0.000018 0.000001 0.000000 0.000000 0.000000 0.000000
0.001403 0.003907 0.000021 0.000002 0.000000 0.000000 0.000000 0.000000
0.001501 0.004182 0.000024 0.000002 0.000001 0.000000 0.000000 0.000000
0.001606 0.004475 0.000027 0.000003 0.000001 0.000000 0.000000 0.000000
0.001719 0.004786 0.000031 0.000004 0.000001 0.000000 0.000000 0.000000
0.001839 0.005114 0.000035 0.000004 0.000001 0.000000 0.000000 0.000000
0.001968 0.005477 0.000040 0.000005 0.000002 0.000001 0.000000 0.000000
0.002106 0.005872 0.000045 0.000006 0.000002 0.000001 0.000000 0.000000
0.002253 0.006270 0.000051 0.000008 0.000003 0.000001 0.000001 0.000000
0.002411 0.006721 0.000059 0.000009 0.000003 0.000002 0.000001 0.000000
0.002580 0.007187 0.000067 0.000010 0.000004 0.000002 0.000001 0.000000
0.002760 0.007689 0.000076 0.000012 0.000005 0.000003 0.000001 0.000001
0.002954 0.008225 0.000086 0.000014 0.000006 0.000003 0.000002 0.000001
0.003160 0.008811 0.000098 0.000017 0.000007 0.000004 0.000002 0.000001
0.003382 0.009432 0.000113 0.000020 0.000009 0.000005 0.000003 0.000002
0.003619 0.010088 0.000129 0.000024 0.000011 0.000006 0.000003 0.000002
0.003872 0.010794 0.000148 0.000029 0.000013 0.000008 0.000004 0.000003
0.004143 0.011553 0.000171 0.000035 0.000017 0.000010 0.000006 0.000004
0.004433 0.012345 0.000196 0.000043 0.000022 0.000014 0.000009 0.000006
0.004744 0.013224 0.000227 0.000053 0.000028 0.000019 0.000012 0.000008
0.005076 0.014136 0.000262 0.000066 0.000036 0.000024 0.000016 0.000012
0.005432 0.015133 0.000301 0.000081 0.000045 0.000030 0.000021 0.000016
0.005812 0.016184 0.000347 0.000098 0.000057 0.000040 0.000028 0.000021
0.006219 0.017321 0.000402 0.000122 0.000076 0.000057 0.000045 0.000037
0.006655 0.018526 0.000460 0.000144 0.000091 0.000069 0.000055 0.000045
0.007121 0.019816 0.000525 0.000169 0.000109 0.000084 0.000067 0.000055
0.007619 0.021213 0.000600 0.000198 0.000128 0.000101 0.000081 0.000068
0.008153 0.022693 0.000685 0.000231 0.000151 0.000120 0.000098 0.000083
0.008724 0.024274 0.000782 0.000270 0.000177 0.000141 0.000117 0.000101
0.009335 0.025973 0.000894 0.000317 0.000207 0.000164 0.000136 0.000118
0.009989 0.027775 0.001022 0.000373 0.000246 0.000195 0.000162 0.000140
0.010688 0.029714 0.001169 0.000439 0.000293 0.000235 0.000196 0.000169
0.011437 0.031790 0.001334 0.000512 0.000344 0.000278 0.000233 0.000202
0.012238 0.034017 0.001526 0.000602 0.000408 0.000333 0.000280 0.000244
0.013095 0.036379 0.001742 0.000704 0.000480 0.000394 0.000335 0.000294
0.014012 0.038909 0.001986 0.000822 0.000563 0.000464 0.000396 0.000350
0.014993 0.041621 0.002261 0.000955 0.000658 0.000545 0.000468 0.000417
0.016043 0.044504 0.002570 0.001106 0.000765 0.000637 0.000550 0.000492
0.017167 0.047581 0.002919 0.001276 0.000879 0.000731 0.000631 0.000564
0.018369 0.050895 0.003322 0.001477 0.001016 0.000844 0.000728 0.000649
0.019655 0.054408 0.003774 0.001708 0.001175 0.000978 0.000842 0.000751
0.021032 0.058188 0.004294 0.001983 0.001369 0.001144 0.000992 0.000890
0.022505 0.062198 0.004872 0.002290 0.001578 0.001317 0.001142 0.001024
0.024081 0.066501 0.005536 0.002645 0.001819 0.001517 0.001313 0.001175
0.025767 0.071084 0.006290 0.003063 0.002108 0.001762 0.001525 0.001364
0.027572 0.075990 0.007142 0.003542 0.002440 0.002043 0.001776 0.001596
0.029503 0.081205 0.008104 0.004088 0.002808 0.002348 0.002037 0.001829
0.031569 0.086790 0.009198 0.004727 0.003248 0.002718 0.002359 0.002119
0.033780 0.092748 0.010437 0.005462 0.003746 0.003133 0.002720 0.002446
0.036145 0.099104 0.011831 0.006306 0.004322 0.003615 0.003138 0.002820
0.038677 0.105887 0.013414 0.007288 0.004988 0.004169 0.003620 0.003255
0.041385 0.113112 0.015194 0.008420 0.005760 0.004813 0.004178 0.003756
0.044284 0.120821 0.017201 0.009723 0.006644 0.005546 0.004810 0.004319
0.047385 0.129046 0.019469 0.011245 0.007691 0.006419 0.005571 0.005008
0.050703 0.137803 0.022016 0.012989 0.008882 0.007399 0.006417 0.005763
0.054254 0.147125 0.024881 0.015008 0.010273 0.008545 0.007406 0.006652
0.058054 0.157064 0.028109 0.017350 0.011900 0.009878 0.008556 0.007685
0.062120 0.167627 0.031731 0.020058 0.013802 0.011425 0.009890 0.008889
0.066470 0.178872 0.035796 0.023180 0.016023 0.013206 0.011414 0.010257
0.071125 0.190832 0.040354 0.026788 0.018639 0.015269 0.013170 0.011832
0.076106 0.203536 0.045460 0.030962 0.021752 0.017680 0.015210 0.013665
0.081436 0.217043 0.051179 0.035782 0.025472 0.020489 0.017549 0.015759
0.087140 0.231392 0.057586 0.041346 0.029972 0.023843 0.020262 0.018185
0.093242 0.246615 0.064755 0.047685 0.035277 0.027794 0.023376 0.020954
0.099772 0.262759 0.072783 0.054855 0.041396 0.032410 0.026991 0.024159
0.106760 0.279882 0.081774 0.062960 0.048443 0.037820 0.031215 0.027888
0.114236 0.297995 0.091821 0.072092 0.056511 0.044139 0.036142 0.032205
0.122237 0.317153 0.103062 0.082388 0.065737 0.051554 0.041962 0.037265
0.130797 0.337379 0.115618 0.093974 0.076245 0.060240 0.048869 0.043187
0.139957 0.358740 0.129630 0.106985 0.088164 0.070394 0.057100 0.050099
0.149759 0.381305 0.145271 0.121602 0.101683 0.082278 0.067015 0.058290
0.160247 0.405087 0.162702 0.137983 0.116961 0.096101 0.078962 0.068076
0.171470 0.430090 0.182132 0.156334 0.134219 0.112150 0.093393 0.079912
0.183478 0.456337 0.203800 0.176900 0.153710 0.130561 0.110380 0.094118
0.196328 0.483818 0.227959 0.199947 0.175688 0.151465 0.129959 0.111047
0.210077 0.512549 0.254868 0.225736 0.200402 0.175098 0.152357 0.131077
0.224790 0.542610 0.284919 0.254646 0.228252 0.201882 0.177950 0.154653
0.240532 0.573883 0.318424 0.287018 0.259624 0.232241 0.207193 0.182364
0.257377 0.606261 0.355754 0.323258 0.294935 0.266604 0.240552 0.214636
0.275402 0.639661 0.397238 0.363772 0.334604 0.305415 0.278490 0.251691
0.294689 0.674014 0.443168 0.409129 0.379231 0.349299 0.321700 0.294204
0.315328 0.709016 0.493210 0.459482 0.429164 0.398797 0.370803 0.342877
0.337411 0.744335 0.546559 0.514031 0.483903 0.453700 0.425845 0.398025
0.361041 0.779561 0.602131 0.571554 0.542611 0.513572 0.486205 0.458844
0.386326 0.813915 0.658289 0.630392 0.603716 0.576941 0.551021 0.525104
0.413381 0.845805 0.711774 0.687128 0.663449 0.639700 0.616457 0.593227
0.442332 0.873629 0.759349 0.737478 0.716417 0.695317 0.674550 0.653807
0.473309 0.898571 0.803327 0.784014 0.765472 0.746913 0.728587 0.710306
0.506457 0.920949 0.844322 0.827500 0.811436 0.795368 0.779504 0.763712
0.541925 0.940778 0.882164 0.867916 0.854321 0.840726 0.827380 0.814120
0.579878 0.958037 0.916170 0.904803 0.893753 0.882693 0.871887 0.861167
0.620489 0.972573 0.945182 0.936909 0.928658 0.920359 0.912132 0.903974
0.663944 0.984271 0.968551 0.963113 0.957685 0.952181 0.946680 0.941214
0.710441 0.992918 0.985836 0.982870 0.979905 0.976887 0.973869 0.970821
0.760196 0.998222 0.996443 0.995420 0.994397 0.993340 0.992283 0.991213
0.813435 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
