# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 0.974772 1.904906 4.045598 10.240090 16.230160 nan nan
0.001070 0.993252 1.909846 3.475989 7.498862 13.035830 nan nan
0.001145 1.008331 2.119954 3.582865 6.506836 9.455482 nan nan
0.001225 1.014548 2.106190 4.135428 6.173591 4.383718 nan nan
0.001311 1.010044 2.012693 4.230526 6.721474 5.585295 nan nan
0.001403 1.006894 1.994168 3.444649 4.992840 5.145649 nan nan
0.001501 1.001105 1.947166 2.884292 3.746337 4.607747 nan nan
0.001606 0.992855 1.922279 2.750583 3.634264 4.582021 14.751590 nan
0.001719 0.978791 1.840053 2.684450 3.584213 4.784516 15.155260 28.747570
0.001839 1.011079 1.862814 2.609677 3.504651 4.464064 13.368460 19.098490
0.001968 1.030229 2.009128 2.918250 3.716194 5.045857 10.296370 11.621780
0.002106 0.967373 1.846097 2.536616 3.534048 5.166491 7.934660 7.253516
0.002253 1.026435 1.931343 2.546042 3.552373 4.835315 6.164131 6.440591
0.002411 0.991530 1.876272 2.382272 3.069078 3.892922 4.480734 5.148720
0.002580 0.997413 1.915726 2.279330 3.025046 3.593496 3.980053 5.012859
0.002760 0.994792 1.921444 2.281916 2.809349 3.236150 3.521755 4.721311
0.002954 1.017240 1.930425 2.302250 2.687598 3.032669 3.462879 5.227279
0.003160 1.005760 2.021586 2.678083 3.053621 3.060373 3.334541 4.840247
0.003382 0.993495 1.989712 2.731727 2.988543 3.069729 3.278361 4.077856
0.003619 0.999231 2.023618 2.784915 3.128915 3.307510 3.801040 3.989814
0.003872 1.003555 2.096339 2.873744 3.337252 3.769563 4.612798 4.180039
0.004143 0.979927 2.071890 3.050490 3.876068 4.973811 6.049523 6.015301
0.004433 1.016553 2.140795 3.049955 3.579758 3.873955 4.689344 5.266755
0.004744 0.984929 2.103849 3.214588 3.711967 3.723483 4.232068 4.870738
0.005076 1.007390 2.092878 2.942986 3.380949 3.520579 3.941413 4.346316
0.005432 0.991246 2.081031 2.828885 3.465618 4.077737 4.149551 4.016465
0.005812 1.003578 2.163908 3.220201 4.247219 5.402638 6.764743 8.605959
0.006219 0.993501 1.989596 2.430097 2.634803 2.790530 2.867965 2.976156
0.006655 0.994339 1.976401 2.405279 2.618228 2.830121 2.947643 3.117003
0.007121 1.006444 1.965554 2.311620 2.471455 2.666808 2.887053 3.113729
0.007619 0.996088 1.957195 2.298466 2.406205 2.564484 2.757039 2.919009
0.008153 0.995037 1.961507 2.306647 2.345787 2.426190 2.623402 2.755097
0.008724 0.999764 1.971000 2.343612 2.319593 2.234448 2.314549 2.360608
0.009335 0.990562 1.977609 2.398493 2.512942 2.564352 2.557959 2.514097
0.009989 0.997096 1.981128 2.413391 2.582147 2.713042 2.776923 2.823354
0.010688 0.997676 1.954958 2.297409 2.401128 2.505026 2.556207 2.588992
0.011437 1.000340 1.988362 2.376786 2.514077 2.647494 2.738700 2.803760
0.012238 0.991590 1.951947 2.320402 2.404159 2.504423 2.625047 2.758192
0.013095 0.993368 1.941157 2.281362 2.347534 2.416722 2.498354 2.594363
0.014012 0.995640 1.915513 2.223930 2.297499 2.373879 2.464251 2.571245
