# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7 D2m=8 D2m=9 D2m=10
0.001036 2.064999 2.560960 5.811012 nan nan nan nan nan nan
0.001110 1.952092 3.456267 0.000000 nan nan nan nan nan nan
0.001191 1.978124 2.782589 0.000000 nan nan nan nan nan nan
0.001277 2.090723 2.039636 0.000000 nan nan nan nan nan nan
0.001369 1.942204 1.785198 0.000000 nan nan nan nan nan nan
0.001468 1.961672 2.042271 0.000000 nan nan nan nan nan nan
0.001574 1.983928 3.811715 0.000000 nan nan nan nan nan nan
0.001688 1.963015 3.554011 4.122978 nan nan nan nan nan nan
0.001810 1.970243 2.790466 0.000000 nan nan nan nan nan nan
0.001940 1.997570 3.242060 8.020256 nan nan nan nan nan nan
0.002081 1.976721 2.967583 1.913734 nan nan nan nan nan nan
0.002231 1.993770 2.636788 3.198030 nan nan nan nan nan nan
0.002392 2.023822 2.994400 1.365959 nan nan nan nan nan nan
0.002565 2.001706 3.494131 0.000000 nan nan nan nan nan nan
0.002750 1.961506 3.053610 7.832910 nan nan nan nan nan nan
0.002949 1.992064 3.130645 4.495252 nan nan nan nan nan nan
0.003162 1.992389 2.882653 4.260125 nan nan nan nan nan nan
0.003391 2.006451 2.956985 3.916763 nan nan nan nan nan nan
0.003636 2.015938 3.109512 3.322115 nan nan nan nan nan nan
0.003899 1.950535 3.272815 2.488896 nan nan nan nan nan nan
0.004180 2.002776 2.963719 5.028441 inf nan nan nan nan nan
0.004482 2.001747 2.975829 4.159492 23.066010 nan nan nan nan nan
0.004806 1.977817 3.211857 4.313165 4.822225 nan nan nan nan nan
0.005154 1.988727 2.884497 3.438905 7.724746 nan nan nan nan nan
0.005526 1.994430 3.041224 4.500151 0.000000 nan nan nan nan nan
0.005926 1.979805 2.993299 4.064696 4.991833 nan nan nan nan nan
0.006354 1.962356 3.095304 4.061525 2.329175 nan nan nan nan nan
0.006813 1.976005 3.057251 3.639841 2.612981 nan nan nan nan nan
0.007305 1.981992 3.123479 4.056283 5.811012 inf nan nan nan nan
0.007833 1.965030 3.013734 4.492285 9.933990 9.933990 nan nan nan nan
0.008399 1.976152 2.998034 4.377237 7.906058 9.933990 nan nan nan nan
0.009006 1.969581 2.968201 4.147881 7.838943 9.933990 nan nan nan nan
0.009657 1.966539 3.039031 4.001165 6.117350 6.958161 nan nan nan nan
0.010355 1.958831 3.069210 4.202743 5.825437 7.861892 nan nan nan nan
