# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 2.026485 2.819196 nan nan nan nan
0.001110 1.916272 3.601767 nan nan nan nan
0.001191 1.882420 2.546477 nan nan nan nan
0.001277 2.036905 2.996645 nan nan nan nan
0.001369 2.012264 1.292020 nan nan nan nan
0.001468 2.066739 3.098849 nan nan nan nan
0.001574 1.946152 4.122978 nan nan nan nan
0.001688 2.019818 3.551918 nan nan nan nan
0.001810 1.989376 3.406243 nan nan nan nan
0.001940 1.989076 4.122978 nan nan nan nan
0.002081 1.955340 3.253047 nan nan nan nan
0.002231 1.957776 2.511956 inf nan nan nan
0.002392 1.981339 3.133369 23.066010 nan nan nan
0.002565 2.047714 2.966568 0.000000 nan nan nan
0.002750 1.965256 2.683063 4.822225 nan nan nan
0.002949 1.986534 3.208014 1.913734 nan nan nan
0.003162 1.992478 2.784937 3.198030 nan nan nan
0.003391 2.004841 3.012761 6.735959 nan nan nan
0.003636 2.024622 2.874745 1.688033 nan nan nan
0.003899 2.021971 2.962881 3.513026 nan nan nan
0.004180 2.005807 2.924219 3.807983 nan nan nan
0.004482 1.989405 2.889747 4.476866 nan nan nan
0.004806 1.991141 3.100818 4.210101 nan nan nan
0.005154 2.000435 2.725939 3.860004 nan nan nan
0.005526 2.010183 2.893469 3.667965 nan nan nan
0.005926 2.008229 2.921476 4.238093 inf nan nan
0.006354 1.988657 2.985658 4.322231 9.933990 nan nan
0.006813 1.990738 3.014629 3.844684 15.745001 nan nan
0.007305 2.002097 3.041231 4.090517 8.686967 nan nan
0.007833 2.005076 2.917372 3.752629 3.456267 nan nan
0.008399 1.990954 2.933580 4.557166 4.376644 inf nan
0.009006 2.003299 3.003224 3.978940 5.036135 0.000000 nan
0.009657 1.999567 3.000959 4.200322 5.270128 0.000000 nan
0.010355 1.985748 2.897792 3.952268 4.926837 0.000000 nan
0.011103 1.994932 2.998986 3.812275 4.634880 15.745001 nan
0.011906 1.994824 3.003951 4.066780 6.305258 4.122978 nan
0.012766 2.005321 3.008597 3.959884 4.630085 8.020256 nan
0.013689 1.998538 2.956764 3.772742 5.058913 9.933990 nan
0.014678 1.997521 2.967285 3.912652 4.107526 5.111765 nan
0.015739 1.998825 2.981947 3.913830 5.097844 7.176970 inf
0.016876 1.999696 3.001005 3.998080 4.882452 4.760048 9.933990
0.018096 1.993707 2.995305 3.972870 5.436305 4.732931 5.811012
0.019403 1.996639 2.989728 3.920062 5.108601 8.020256 12.143234
0.020806 1.990999 2.963855 3.991752 5.284604 6.958161 7.724746
0.022309 1.988830 2.960696 3.936074 5.021091 6.824276 8.686967
0.023921 1.989718 2.964200 3.956303 5.000718 5.363885 7.058034
0.025650 1.990035 2.968798 3.979479 4.879210 7.035588 9.933990
0.027504 1.986881 2.963779 3.917020 4.674841 5.575720 6.711056
0.029492 1.983873 2.958014 3.924407 4.874897 5.843536 7.786923
0.031623 1.980459 2.957295 3.903957 4.748917 5.811012 7.748853
0.033908 1.981615 2.937627 3.961510 4.978434 5.962845 6.919198
0.036359 1.976375 2.929806 3.873621 4.874943 5.598544 6.791125
0.038986 1.971352 2.926240 3.882340 4.820360 5.837685 6.634388
0.041803 1.966478 2.916343 3.850635 4.785283 5.734844 6.604117
0.044824 1.961159 2.899998 3.824339 4.781950 5.724940 6.698135
0.048064 1.958723 2.889301 3.817269 4.739266 5.682664 6.705204
0.051537 1.952313 2.873854 3.799805 4.669758 5.546287 6.272070
0.055262 1.947279 2.851451 3.773868 4.662818 5.581882 6.555416
0.059255 1.940101 2.835522 3.740267 4.643679 5.580973 6.419675
0.063538 1.932628 2.811326 3.711599 4.570292 5.415476 6.399407
0.068129 1.926400 2.787464 3.659377 4.529956 5.421293 6.287920
0.073053 1.916115 2.767580 3.612709 4.451329 5.331644 6.306433
0.078332 1.905889 2.743494 3.571763 4.374119 5.225198 6.106554
0.083993 1.897239 2.712973 3.520268 4.318440 5.121714 5.981151
0.090063 1.886455 2.685132 3.473459 4.229520 5.042463 5.867516
0.096571 1.875106 2.657073 3.422774 4.144427 4.911607 5.762915
0.103550 1.862315 2.624152 3.361319 4.044131 4.770079 5.573431
0.111034 1.848455 2.589327 3.302252 3.954181 4.645870 5.419204
0.119058 1.834342 2.558310 3.244560 3.856638 4.515827 5.246456
0.127662 1.819673 2.525724 3.181826 3.754904 4.381054 5.086740
0.136887 1.801330 2.492196 3.115419 3.646061 4.220984 4.901014
0.146780 1.783509 2.461059 3.053219 3.540578 4.076927 4.706372
0.157387 1.763199 2.431010 2.993717 3.432817 3.925835 4.512877
0.168761 1.740600 2.400771 2.932908 3.331833 3.776247 4.328315
0.180957 1.716189 2.370548 2.875444 3.231796 3.631784 4.129989
0.194034 1.689012 2.340303 2.818965 3.138542 3.495519 3.951424
0.208057 1.659363 2.306400 2.763950 3.052918 3.359641 3.761719
0.223092 1.628368 2.269677 2.711663 2.977482 3.229263 3.577938
0.239215 1.595317 2.227777 2.659289 2.915293 3.117574 3.413776
0.256502 1.561310 2.178229 2.603807 2.862810 3.017323 3.255179
0.275039 1.524697 2.120844 2.549360 2.823795 2.931381 3.111717
0.294915 1.486591 2.052540 2.487827 2.791118 2.866534 2.987942
0.316228 1.444184 1.974355 2.414515 2.753313 2.818094 2.888360
0.339081 1.396436 1.889923 2.330926 2.704774 2.783990 2.823162
0.363585 1.339723 1.795889 2.232381 2.634762 2.756977 2.794075
0.389860 1.271990 1.696312 2.123832 2.542912 2.723608 2.798902
0.418034 1.191003 1.591486 2.010336 2.437678 2.674249 2.829611
0.448245 1.095262 1.481617 1.900018 2.321968 2.599193 2.860122
0.480638 0.983729 1.369412 1.799086 2.204618 2.488242 2.844263
0.515372 0.856687 1.253933 1.705787 2.088410 2.353966 2.743930
0.552617 0.717686 1.133170 1.610560 1.977853 2.217203 2.563926
0.592553 0.574361 1.003800 1.497316 1.870950 2.109379 2.357487
0.635375 0.434141 0.862786 1.351503 1.754591 2.040958 2.189865
0.681292 0.303782 0.711558 1.166251 1.605497 1.985982 2.089948
0.730527 0.189909 0.556515 0.953811 1.409366 1.894001 2.041936
0.783320 0.099856 0.403759 0.737972 1.170163 1.719398 1.997692
0.839929 0.039697 0.259409 0.537207 0.911032 1.438077 1.881601
0.900628 0.009998 0.135900 0.353278 0.657330 1.081644 1.629230
0.965714 0.001252 0.051406 0.187705 0.414275 0.716878 1.234327
