# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 0.942540 1.786258 2.423154 nan nan nan nan
0.001072 1.031447 2.081965 4.592913 nan nan nan nan
0.001150 0.964694 1.978461 2.535721 nan nan nan nan
0.001233 1.039372 2.040208 2.805356 nan nan nan nan
0.001322 0.968298 1.937776 3.134192 nan nan nan nan
0.001417 1.025960 2.025252 3.501894 nan nan nan nan
0.001520 1.008632 2.017854 3.690578 nan nan nan nan
0.001630 0.994014 1.914652 3.428572 nan nan nan nan
0.001748 0.977200 1.917895 3.689589 15.745000 nan nan nan
0.001874 1.002577 1.991363 3.122401 7.321009 nan nan nan
0.002009 1.017747 2.028694 2.906943 4.822225 nan nan nan
0.002154 0.989680 1.984275 3.079920 1.913734 nan nan nan
0.002310 0.995598 1.990431 2.762012 5.811012 nan nan nan
0.002477 1.000865 1.976979 2.609549 4.122978 nan nan nan
0.002656 0.995508 1.989798 3.160220 3.198030 nan nan nan
0.002848 1.020277 2.076578 2.894717 5.811012 nan nan nan
0.003054 1.006395 1.996147 2.994097 3.005655 nan nan nan
0.003275 0.988301 1.977444 2.973546 2.483281 nan nan nan
0.003511 0.995970 2.032950 3.018882 2.935056 0.000000 nan nan
0.003765 0.996663 1.980326 2.846426 3.513026 0.000000 nan nan
0.004037 1.013078 2.024790 3.014574 6.017227 9.933990 nan nan
0.004329 0.986403 1.957559 2.821050 4.122978 9.933990 nan nan
0.004642 1.011459 2.020265 2.872378 3.033296 5.811012 nan nan
0.004977 0.993464 1.990857 2.987731 3.638539 5.811012 nan nan
0.005337 1.006484 2.017493 2.923998 4.106902 8.245957 nan nan
0.005722 0.998105 1.998617 2.954385 4.050412 8.020256 nan nan
0.006136 1.000933 2.010935 3.010928 4.168375 2.354745 0.000000 nan
0.006579 0.998583 1.982748 2.913822 4.150147 4.445053 5.811012 nan
0.007055 0.993749 1.976026 2.893675 4.051549 5.704456 4.122978 nan
0.007565 1.004282 2.008737 3.006606 4.061469 5.302999 9.933990 nan
0.008111 0.997786 1.995079 2.978600 3.954402 3.974462 0.000000 nan
0.008697 1.000939 1.998552 3.020972 3.886414 3.811715 6.958161 nan
0.009326 0.997393 1.995267 2.960531 3.647024 4.272380 2.975829 nan
0.010000 1.005988 2.001571 2.998627 3.886409 4.359872 8.020256 nan
0.010723 0.994186 1.990089 2.982323 4.038718 5.637674 6.148244 0.000000
0.011498 1.001179 2.001177 3.023775 4.114774 5.533546 7.585195 12.143230
0.012328 1.001365 1.991492 2.951395 4.039922 5.201996 7.360220 9.933990
0.013219 0.999570 2.004417 3.008750 4.041277 5.260899 7.084115 8.309795
0.014175 0.997719 1.998223 2.969265 3.953871 4.874058 5.763159 5.618637
0.015199 0.997852 1.999136 2.998807 3.923212 4.855974 6.142669 6.687459
0.016298 0.998119 1.993919 2.970891 3.933740 4.888287 5.356334 6.826763
0.017475 0.999025 1.997939 2.984722 3.904857 4.753045 5.803847 8.084765
0.018738 0.993651 1.981788 2.959185 3.940279 4.973481 5.925209 8.299493
0.020092 0.998807 1.990875 2.958663 3.946265 4.961853 5.999342 6.831824
0.021544 0.994609 1.987834 2.948295 3.896693 4.787628 5.559351 6.357792
0.023101 0.996422 1.987425 2.951871 3.901799 4.776104 5.610743 6.313049
0.024771 0.997950 1.988909 2.954736 3.909477 4.843682 5.866210 6.849594
0.026561 0.993471 1.975522 2.925897 3.861011 4.798813 5.753905 6.989893
0.028480 0.994610 1.980385 2.935880 3.867980 4.800848 5.823298 6.933577
0.030539 0.992946 1.977216 2.924409 3.860802 4.772775 5.600266 6.381348
