# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.838783 5.772155 5.369291 nan nan nan nan
0.001072 5.773017 5.713285 5.324851 nan nan nan nan
0.001150 5.701048 5.639984 5.149649 nan nan nan nan
0.001233 5.633736 5.569248 5.110766 nan nan nan nan
0.001322 5.561213 5.499415 5.057378 nan nan nan nan
0.001417 5.493650 5.431769 4.973897 nan nan nan nan
0.001520 5.422064 5.362043 4.870864 nan nan nan nan
0.001630 5.351686 5.291624 4.754149 nan nan nan nan
0.001748 5.282328 5.227387 4.648515 5.459586 nan nan nan
0.001874 5.214144 5.161749 4.524894 4.618415 nan nan nan
0.002009 5.144189 5.092756 4.445976 4.325456 nan nan nan
0.002154 5.073175 5.022217 4.384696 4.191817 nan nan nan
0.002310 5.004120 4.952819 4.308247 4.273188 nan nan nan
0.002477 4.934652 4.883404 4.254410 4.060443 nan nan nan
0.002656 4.864816 4.815296 4.210272 3.954843 nan nan nan
0.002848 4.795354 4.745919 4.128605 3.952205 nan nan nan
0.003054 4.724164 4.672215 4.071519 3.748719 nan nan nan
0.003275 4.653943 4.603155 4.001887 3.747913 nan nan nan
0.003511 4.584983 4.534137 3.932384 3.782121 3.784190 nan nan
0.003765 4.515489 4.461782 3.863590 3.787970 3.988984 nan nan
0.004037 4.445947 4.393146 3.803158 3.741458 4.234107 nan nan
0.004329 4.375259 4.322554 3.734095 3.531947 3.960813 nan nan
0.004642 4.306432 4.254791 3.673845 3.441105 3.555348 nan nan
0.004977 4.235858 4.184401 3.614388 3.429877 3.361532 nan nan
0.005337 4.166538 4.114808 3.544831 3.384466 3.209947 nan nan
0.005722 4.096311 4.044264 3.481579 3.301929 2.921143 nan nan
0.006136 4.026668 3.974453 3.414890 3.225453 2.644146 2.639057 nan
0.006579 3.956827 3.903980 3.345116 3.144692 2.770693 2.803360 nan
0.007055 3.887151 3.835310 3.280150 3.058427 2.750116 2.708050 nan
0.007565 3.817812 3.766771 3.216120 2.977636 2.634784 2.818398 nan
0.008111 3.747737 3.696685 3.146494 2.904033 2.548156 2.495269 nan
0.008697 3.678117 3.627099 3.077868 2.835946 2.546756 2.772589 nan
0.009326 3.608276 3.557490 3.006529 2.775559 2.551968 2.553044 nan
0.010000 3.538682 3.487863 2.939177 2.727659 2.508334 2.643512 nan
