# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.789088 5.646424 4.827903 3.258097 nan nan nan
0.001070 5.723861 5.584811 4.834115 3.378725 nan nan nan
0.001145 5.657285 5.518613 4.771397 3.574217 nan nan nan
0.001225 5.589847 5.449961 4.660336 3.821369 nan nan nan
0.001311 5.521997 5.380728 4.629803 3.988984 nan nan nan
0.001403 5.454102 5.312408 4.580615 3.886705 nan nan nan
0.001502 5.386400 5.242547 4.498116 3.883624 nan nan nan
0.001607 5.318944 5.175990 4.441610 3.737670 nan nan nan
0.001720 5.252472 5.112170 4.363837 3.694420 nan nan nan
0.001840 5.183578 5.044049 4.263447 3.731155 nan nan nan
0.001969 5.115841 4.975927 4.233090 3.730317 nan nan nan
0.002107 5.049367 4.910725 4.166278 3.721165 nan nan nan
0.002255 4.981737 4.843988 4.079016 3.537330 nan nan nan
0.002413 4.913455 4.776800 3.994499 3.534173 3.401197 nan nan
0.002583 4.847117 4.708558 3.931153 3.395626 3.737670 nan nan
0.002764 4.778221 4.640243 3.856296 3.356381 3.295837 nan nan
0.002958 4.711573 4.573688 3.778435 3.265969 2.904165 nan nan
0.003165 4.643317 4.501927 3.694160 3.226844 2.944439 nan nan
0.003387 4.575817 4.435826 3.634292 3.178398 3.004031 nan nan
0.003624 4.509215 4.367801 3.560269 3.126593 2.976804 nan nan
0.003878 4.440429 4.300233 3.491240 3.060347 3.130652 nan nan
0.004150 4.373204 4.232758 3.418342 3.016090 3.014780 nan nan
0.004441 4.306094 4.163386 3.344520 2.928389 3.044522 nan nan
0.004753 4.239377 4.097482 3.281303 2.862078 2.961831 nan nan
0.005086 4.172144 4.030824 3.208717 2.806521 2.790999 3.610918 nan
0.005443 4.104633 3.963254 3.134070 2.729813 2.529472 3.465736 nan
0.005825 4.037244 3.894894 3.060121 2.650584 2.241083 2.171249 nan
0.006233 3.970104 3.829619 2.990560 2.574956 2.073101 2.003730 nan
0.006670 3.902687 3.763390 2.922166 2.512188 1.928705 1.853317 nan
0.007138 3.835326 3.698240 2.845492 2.440494 1.849930 1.716536 2.847812
0.007638 3.768264 3.632406 2.774485 2.366280 1.736567 1.497934 1.848455
0.008174 3.700926 3.566113 2.702033 2.287943 1.669786 1.390019 1.589733
0.008747 3.633634 3.499503 2.631533 2.210044 1.584076 1.318331 1.438938
0.009360 3.566071 3.433419 2.565657 2.160855 1.525151 1.239920 1.349927
