# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 1.840499 1.720044 1.729233 1.743113 2.038626 2.367115
0.001110 1.731940 1.695326 1.638079 1.899559 1.972613 2.177002
0.001191 2.014547 1.844938 1.461877 1.078254 1.907724 2.419157
0.001277 1.986113 2.192815 1.568522 1.358925 1.010902 1.182610
0.001369 2.011012 2.254477 2.055841 1.742276 1.617657 1.432318
0.001468 1.952023 2.259904 2.213402 2.221529 2.015547 1.399553
0.001574 1.891925 1.848806 1.985276 2.224117 2.080159 2.393493
0.001688 1.982183 1.798783 1.809217 1.584204 1.844468 1.881006
0.001810 2.002002 2.101275 1.763044 1.688466 1.425916 1.583531
0.001940 1.940068 2.213374 1.952525 1.693034 1.643472 1.351282
0.002081 1.776705 2.218227 2.150489 1.752841 1.621451 1.638109
0.002231 1.869643 2.162596 2.351497 2.412381 2.292423 2.057389
0.002392 1.839819 1.925372 2.187207 2.125844 1.999182 1.831494
0.002565 1.771220 1.902784 2.122596 2.043937 1.922148 1.783333
0.002750 1.812984 2.000941 2.098953 2.304386 2.045753 1.864354
0.002949 1.814962 1.838789 1.963851 2.126154 2.232591 1.990416
0.003162 1.835577 1.848935 1.955890 2.312942 2.419865 2.541547
0.003391 1.832372 1.975338 1.971537 2.018576 2.209136 2.082787
0.003636 1.760656 1.993954 2.016034 2.036688 2.076503 2.447305
0.003899 1.743815 1.901424 1.982504 1.961625 2.151776 2.085841
0.004180 1.743053 1.771902 2.006736 2.249132 2.168892 2.293243
0.004482 1.735435 1.843934 1.857867 2.036027 2.219154 2.302454
0.004806 1.668984 1.781340 1.762248 1.859670 2.151054 2.226729
0.005154 1.751527 1.739708 1.791603 1.674103 1.819339 2.095455
0.005526 1.714960 1.732120 1.802967 1.993988 1.896527 1.982764
0.005926 1.692104 1.723022 1.674967 1.811300 1.979894 2.001938
0.006354 1.713360 1.679323 1.737035 1.628732 1.710615 1.865590
0.006813 1.788820 1.731696 1.744088 1.706847 1.633266 1.789635
0.007305 1.812380 1.748140 1.731754 1.813787 1.754228 1.606611
0.007833 1.850080 1.786246 1.670307 1.681874 1.876192 1.996695
0.008399 1.861134 1.848490 1.654627 1.630789 1.653275 1.727960
0.009006 1.848379 1.902218 1.765940 1.658139 1.543850 1.551689
0.009657 1.839391 1.903138 1.793667 1.697502 1.672012 1.626926
0.010355 1.821284 1.962293 1.853368 1.724440 1.703000 1.697040
0.011103 1.855212 1.904153 1.910684 1.750336 1.670493 1.698486
0.011906 1.854972 1.939217 1.927525 1.964404 1.758057 1.635293
0.012766 1.813578 1.942446 1.862338 1.834707 1.791884 1.696520
0.013689 1.793596 1.943280 1.932913 1.854888 1.854739 1.767221
0.014678 1.787034 1.896374 1.993132 1.868601 1.820185 1.853454
0.015739 1.803775 1.896205 1.991124 2.019376 1.901835 1.803171
0.016876 1.809202 1.909631 1.921786 1.963005 1.964915 1.903759
0.018096 1.793925 1.902691 1.933390 1.942149 1.944105 1.833891
0.019403 1.803300 1.871380 1.954871 1.925812 1.951545 1.884472
0.020806 1.796650 1.858217 1.942459 2.008463 1.967088 1.990801
0.022309 1.809779 1.875174 1.874480 1.976806 2.035034 1.995775
0.023921 1.810428 1.877830 1.851469 1.888999 1.982574 2.030657
0.025650 1.787811 1.882852 1.848562 1.885921 1.935001 1.978963
0.027504 1.781727 1.882682 1.895646 1.891455 1.928269 1.940380
0.029492 1.763409 1.871525 1.895243 1.858698 1.914313 1.982293
0.031623 1.768815 1.873035 1.907503 1.865244 1.848222 1.886463
0.033908 1.771319 1.873660 1.881655 1.868974 1.839217 1.868225
0.036359 1.774054 1.869514 1.889684 1.874549 1.849033 1.833366
0.038986 1.767615 1.868976 1.899876 1.914234 1.884150 1.847344
0.041803 1.771421 1.861387 1.915863 1.921744 1.921552 1.853426
0.044824 1.778377 1.856155 1.905613 1.933338 1.929961 1.885085
0.048064 1.788631 1.864030 1.892618 1.935174 1.944618 1.924633
0.051537 1.803209 1.887430 1.878630 1.913653 1.949913 1.963342
0.055262 1.798871 1.891373 1.878467 1.906325 1.933461 1.968429
0.059255 1.799328 1.902548 1.915740 1.915681 1.945276 1.954356
0.063538 1.797407 1.909099 1.926309 1.931752 1.944048 1.954165
0.068129 1.795640 1.915314 1.926274 1.938922 1.949024 1.944847
0.073053 1.786516 1.911500 1.935957 1.934614 1.956838 1.969122
0.078332 1.785171 1.910176 1.953028 1.952173 1.954047 1.987018
0.083993 1.771183 1.899018 1.950143 1.979148 1.974624 1.982116
0.090063 1.772058 1.882376 1.944223 1.960434 1.985070 2.002263
0.096571 1.752622 1.875495 1.942601 1.976700 1.987102 1.999022
0.103550 1.734809 1.866099 1.921263 1.972695 1.996112 2.006298
0.111034 1.718183 1.853901 1.907713 1.949795 2.003374 2.016972
0.119058 1.709683 1.837579 1.894063 1.947714 1.977008 2.015882
0.127662 1.711339 1.841160 1.881808 1.940000 1.980020 2.007883
0.136887 1.707933 1.838593 1.877096 1.926194 1.965223 2.011676
0.146780 1.700252 1.840906 1.896579 1.926972 1.954933 1.981808
0.157387 1.695680 1.835095 1.906684 1.934563 1.951524 1.986999
0.168761 1.681404 1.832149 1.902915 1.943761 1.962805 1.984458
0.180957 1.665514 1.829415 1.908735 1.945315 1.970823 2.009866
