# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.931272 5.781082 4.802868 nan nan nan nan
0.001072 5.861545 5.714605 4.715929 nan nan nan nan
0.001150 5.791817 5.646085 4.661492 nan nan nan nan
0.001233 5.722426 5.577861 4.603134 nan nan nan nan
0.001322 5.652388 5.514166 4.470599 4.343805 nan nan nan
0.001417 5.582733 5.438593 4.384922 4.574711 nan nan nan
0.001520 5.512759 5.372092 4.333933 4.762174 nan nan nan
0.001630 5.442978 5.300559 4.203720 4.628235 nan nan nan
0.001748 5.373197 5.230425 4.117241 4.343805 nan nan nan
0.001874 5.303524 5.161449 4.052153 3.959754 nan nan nan
0.002009 5.233804 5.089183 3.964238 3.988984 nan nan nan
0.002154 5.164089 5.018049 3.916893 3.936019 nan nan nan
0.002310 5.094206 4.944597 3.840716 3.750064 nan nan nan
0.002477 5.024385 4.872620 3.761388 3.719876 nan nan nan
0.002656 4.954358 4.802878 3.673356 3.554634 2.995732 nan nan
0.002848 4.884502 4.733078 3.576097 3.437377 3.349904 nan nan
0.003054 4.814771 4.663506 3.486969 3.339412 3.676301 nan nan
0.003275 4.744866 4.591608 3.412835 3.179864 3.135494 1.609438 nan
0.003511 4.675063 4.522460 3.340357 3.166412 3.360375 1.609438 nan
0.003765 4.605387 4.452442 3.272009 3.086772 3.060271 2.197225 nan
0.004037 4.535601 4.385673 3.206857 3.028522 2.878396 2.639057 nan
0.004329 4.465709 4.315412 3.144520 2.995891 2.862201 2.890372 nan
0.004642 4.395848 4.244582 3.074621 2.925968 2.988564 3.044522 nan
0.004977 4.326030 4.175462 3.003825 2.807486 2.805954 2.456736 nan
0.005337 4.256188 4.105388 2.935150 2.724516 2.802715 2.463853 nan
0.005722 4.186473 4.036799 2.864525 2.688603 2.708050 2.580217 nan
0.006136 4.116739 3.967675 2.792064 2.643012 2.590267 2.772589 nan
0.006579 4.047022 3.898507 2.725697 2.580507 2.532025 2.693125 nan
0.007055 3.977281 3.828639 2.658832 2.525489 2.479857 2.639057 nan
0.007565 3.907542 3.758227 2.591247 2.461664 2.402466 2.461917 2.397895
0.008111 3.837837 3.688703 2.520813 2.393514 2.322441 2.197225 2.104134
0.008697 3.767997 3.619157 2.451753 2.326845 2.266131 2.216872 2.079442
0.009326 3.698209 3.549345 2.381823 2.253546 2.224510 2.222867 1.945910
0.010000 3.628555 3.479327 2.310451 2.178278 2.140180 2.109000 1.783791
0.010723 3.558746 3.409963 2.241430 2.111779 2.074249 2.057583 1.609438
0.011498 3.488919 3.340786 2.173198 2.043995 1.982288 1.898716 1.571816
0.012328 3.419199 3.271656 2.104641 1.973324 1.905272 1.805609 1.569433
0.013219 3.349482 3.202628 2.036809 1.909423 1.831734 1.764778 1.644777
0.014175 3.279839 3.132917 1.968856 1.842910 1.757094 1.719884 1.639887
0.015199 3.210127 3.063605 1.901527 1.774193 1.683680 1.655744 1.645438
0.016298 3.140459 2.994268 1.834553 1.706080 1.619928 1.577834 1.588376
0.017475 3.070827 2.924722 1.766719 1.638159 1.552552 1.507744 1.485950
0.018738 3.001187 2.855386 1.699450 1.571045 1.482239 1.423442 1.402859
0.020092 2.931504 2.786411 1.633562 1.504448 1.418747 1.368219 1.341385
0.021544 2.861867 2.717359 1.567664 1.439134 1.355345 1.305594 1.286245
0.023101 2.792278 2.648165 1.501957 1.374188 1.290177 1.241491 1.221013
0.024771 2.722705 2.579701 1.438089 1.310298 1.223924 1.177082 1.156181
0.026561 2.653220 2.511270 1.373183 1.246039 1.159538 1.114590 1.096604
0.028480 2.583733 2.442878 1.309732 1.183914 1.097216 1.047723 1.029017
0.030539 2.514310 2.374923 1.247306 1.122230 1.036125 0.987549 0.964837
0.032745 2.444929 2.307177 1.186226 1.062229 0.976680 0.929150 0.905222
0.035112 2.375615 2.239858 1.126177 1.003145 0.917463 0.868768 0.847601
