# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.002739 0.000018 0.000009 0.000007 0.000006 0.000005 0.000004
0.001070 0.002931 0.000021 0.000011 0.000008 0.000006 0.000005 0.000004
0.001145 0.003136 0.000024 0.000012 0.000009 0.000007 0.000006 0.000005
0.001225 0.003356 0.000027 0.000014 0.000011 0.000008 0.000007 0.000005
0.001311 0.003591 0.000031 0.000016 0.000012 0.000009 0.000007 0.000006
0.001402 0.003843 0.000035 0.000019 0.000014 0.000010 0.000008 0.000007
0.001501 0.004113 0.000041 0.000021 0.000016 0.000012 0.000010 0.000008
0.001606 0.004400 0.000046 0.000025 0.000018 0.000014 0.000011 0.000009
0.001718 0.004707 0.000052 0.000028 0.000021 0.000017 0.000013 0.000010
0.001838 0.005037 0.000060 0.000033 0.000025 0.000019 0.000015 0.000012
0.001967 0.005388 0.000067 0.000037 0.000028 0.000022 0.000017 0.000014
0.002104 0.005764 0.000076 0.000042 0.000032 0.000025 0.000020 0.000016
0.002252 0.006166 0.000086 0.000048 0.000037 0.000029 0.000023 0.000019
0.002409 0.006597 0.000098 0.000055 0.000042 0.000033 0.000026 0.000021
0.002578 0.007058 0.000110 0.000062 0.000048 0.000038 0.000031 0.000025
0.002758 0.007551 0.000124 0.000070 0.000055 0.000044 0.000036 0.000029
0.002951 0.008078 0.000140 0.000080 0.000062 0.000050 0.000041 0.000034
0.003158 0.008644 0.000159 0.000092 0.000072 0.000058 0.000047 0.000039
0.003379 0.009248 0.000179 0.000104 0.000081 0.000066 0.000054 0.000045
0.003615 0.009893 0.000201 0.000117 0.000092 0.000075 0.000062 0.000052
0.003868 0.010583 0.000227 0.000133 0.000104 0.000085 0.000070 0.000060
0.004139 0.011323 0.000256 0.000150 0.000117 0.000096 0.000080 0.000068
0.004429 0.012114 0.000287 0.000168 0.000131 0.000107 0.000089 0.000075
0.004739 0.012958 0.000322 0.000189 0.000147 0.000119 0.000099 0.000084
0.005070 0.013862 0.000361 0.000212 0.000165 0.000134 0.000112 0.000095
0.005425 0.014828 0.000407 0.000239 0.000185 0.000151 0.000126 0.000107
0.005805 0.015865 0.000457 0.000268 0.000207 0.000168 0.000140 0.000119
0.006211 0.016972 0.000515 0.000302 0.000232 0.000188 0.000156 0.000132
0.006645 0.018157 0.000582 0.000341 0.000261 0.000211 0.000175 0.000148
0.007110 0.019425 0.000659 0.000387 0.000295 0.000238 0.000196 0.000166
0.007608 0.020782 0.000746 0.000440 0.000335 0.000268 0.000220 0.000186
0.008140 0.022233 0.000846 0.000503 0.000382 0.000305 0.000250 0.000210
0.008710 0.023785 0.000959 0.000573 0.000435 0.000347 0.000283 0.000237
0.009320 0.025444 0.001085 0.000651 0.000492 0.000391 0.000318 0.000266
0.009972 0.027219 0.001227 0.000741 0.000561 0.000445 0.000360 0.000300
0.010670 0.029116 0.001391 0.000847 0.000643 0.000510 0.000412 0.000343
