# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 2.079565 2.546477 inf nan nan nan
0.001110 1.951964 3.527510 0.000000 nan nan nan
0.001191 2.065499 3.860004 0.000000 nan nan nan
0.001277 1.917187 3.513026 0.000000 nan nan nan
0.001369 2.029012 2.819196 0.000000 nan nan nan
0.001468 1.906193 2.354745 9.933990 nan nan nan
0.001574 2.029056 2.757020 0.000000 nan nan nan
0.001688 1.965945 2.687432 0.000000 nan nan nan
0.001810 2.041497 3.242516 5.811012 nan nan nan
0.001940 2.003094 2.935056 12.143234 nan nan nan
0.002081 1.996192 3.033017 0.000000 nan nan nan
0.002231 2.000303 2.567349 0.000000 nan nan nan
0.002392 1.990719 2.834346 5.111765 nan nan nan
0.002565 2.005317 2.878391 5.811012 nan nan nan
0.002750 1.980379 3.154135 0.924948 nan nan nan
0.002949 2.047876 3.102756 5.201059 nan nan nan
0.003162 1.955717 2.911959 1.757102 nan nan nan
0.003391 1.967544 2.851769 1.565013 nan nan nan
0.003636 2.007391 3.074357 5.645325 nan nan nan
0.003899 1.996883 2.853007 3.527510 nan nan nan
0.004180 2.019332 3.137771 4.057686 inf nan nan
0.004482 2.025598 2.978974 3.315344 0.000000 nan nan
0.004806 2.024390 2.858851 5.496016 5.811012 nan nan
0.005154 1.971300 3.003845 4.746195 7.321009 nan nan
0.005526 1.996321 3.063808 4.480584 9.933990 nan nan
0.005926 1.967279 2.998424 3.364358 1.365959 nan nan
0.006354 1.996664 2.985498 4.045599 6.238856 nan nan
0.006813 1.994001 3.006397 4.230643 6.630190 inf nan
0.007305 2.009614 3.021060 3.689507 4.897854 9.933990 nan
0.007833 1.997682 3.041062 3.852561 2.423154 5.811012 nan
0.008399 1.994855 3.006671 4.203187 4.822225 0.000000 nan
0.009006 2.000537 3.061051 4.090220 6.036713 0.000000 nan
0.009657 2.010852 2.953332 3.995328 6.679867 9.933990 nan
0.010355 1.995770 2.976238 4.062359 5.334831 12.143234 nan
0.011103 1.996178 3.045777 4.163808 4.219489 2.782589 inf
0.011906 2.002406 2.951775 3.845095 5.087698 8.140187 9.933990
0.012766 2.006530 2.976375 4.081497 5.365785 6.126007 9.933990
0.013689 2.003246 2.957517 3.932267 5.016367 5.389460 5.811012
0.014678 1.998500 2.992504 3.953548 4.695603 7.105490 4.122978
0.015739 1.999620 2.974774 4.042462 5.213854 6.572167 9.933990
0.016876 2.003725 2.969963 3.958070 4.849093 6.715353 9.009042
0.018096 1.992764 3.021599 3.951954 4.957466 5.214501 8.686967
0.019403 1.990224 2.952045 3.946661 5.164930 5.691080 4.634880
0.020806 1.990290 2.948219 3.875194 4.865764 5.915010 5.684740
0.022309 1.984691 2.948365 3.932218 4.913334 5.911623 7.219184
0.023921 1.990894 2.942708 3.913171 4.845286 6.295237 7.654320
0.025650 1.991494 2.938752 3.924150 4.904135 5.704049 7.248945
0.027504 1.988740 2.930864 3.853084 4.865441 6.045133 6.779917
0.029492 1.986586 2.907130 3.845595 4.790167 5.821994 6.889174
0.031623 1.984763 2.912676 3.829892 4.756200 5.720237 6.520362
0.033908 1.974455 2.886237 3.849813 4.759679 5.952264 6.857960
0.036359 1.971199 2.866030 3.809071 4.735790 5.629527 6.637636
0.038986 1.969972 2.863964 3.765166 4.684446 5.651362 6.454930
0.041803 1.966360 2.838952 3.739796 4.681281 5.635993 6.557267
0.044824 1.958942 2.809475 3.692604 4.635418 5.525794 6.447100
0.048064 1.957755 2.791489 3.659788 4.554537 5.487426 6.481588
0.051537 1.951931 2.767018 3.616518 4.495946 5.360341 6.317603
0.055262 1.945254 2.730067 3.563909 4.434131 5.345708 6.225986
0.059255 1.938147 2.699511 3.506318 4.348626 5.234509 6.119457
0.063538 1.928356 2.661801 3.438454 4.256974 5.118856 6.031777
0.068129 1.922133 2.620320 3.380194 4.185769 5.002584 5.858267
0.073053 1.912627 2.579385 3.293619 4.074793 4.896602 5.724484
0.078332 1.903267 2.534384 3.211828 3.963481 4.750326 5.573162
0.083993 1.892302 2.486638 3.125753 3.839312 4.594058 5.407792
0.090063 1.881748 2.438570 3.038820 3.707647 4.439449 5.206383
0.096571 1.869951 2.389418 2.946485 3.571143 4.245897 4.981413
0.103550 1.857203 2.338570 2.852563 3.437392 4.074910 4.764252
0.111034 1.843590 2.283244 2.752355 3.286571 3.878214 4.527647
0.119058 1.829940 2.235591 2.655064 3.138581 3.677258 4.271978
0.127662 1.815865 2.189366 2.569392 3.002800 3.486833 4.022566
0.136887 1.799582 2.140679 2.481887 2.865779 3.291290 3.774452
0.146780 1.784449 2.100552 2.401659 2.737953 3.109618 3.527180
0.157387 1.768947 2.062762 2.333668 2.626033 2.945795 3.303776
0.168761 1.752642 2.028701 2.270156 2.525130 2.799268 3.099114
0.180957 1.735301 1.998142 2.220009 2.442676 2.675586 2.920089
0.194034 1.717933 1.970171 2.172384 2.368544 2.572261 2.772912
0.208057 1.698437 1.946534 2.136575 2.306278 2.484946 2.650387
