# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.002549 0.000007 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 0.002734 0.000008 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 0.002932 0.000009 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 0.003144 0.000011 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 0.003371 0.000012 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 0.003616 0.000014 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 0.003877 0.000016 0.000000 0.000000 0.000000 0.000000 0.000000
0.001630 0.004156 0.000019 0.000000 0.000000 0.000000 0.000000 0.000000
0.001748 0.004456 0.000022 0.000000 0.000000 0.000000 0.000000 0.000000
0.001874 0.004779 0.000025 0.000000 0.000000 0.000000 0.000000 0.000000
0.002009 0.005123 0.000029 0.000001 0.000000 0.000000 0.000000 0.000000
0.002154 0.005493 0.000033 0.000001 0.000000 0.000000 0.000000 0.000000
0.002310 0.005890 0.000038 0.000001 0.000000 0.000000 0.000000 0.000000
0.002477 0.006315 0.000044 0.000001 0.000000 0.000000 0.000000 0.000000
0.002656 0.006770 0.000050 0.000001 0.000000 0.000000 0.000000 0.000000
0.002848 0.007260 0.000058 0.000002 0.000000 0.000000 0.000000 0.000000
0.003054 0.007785 0.000067 0.000002 0.000000 0.000000 0.000000 0.000000
0.003275 0.008348 0.000076 0.000002 0.000000 0.000000 0.000000 0.000000
0.003511 0.008950 0.000088 0.000003 0.000000 0.000000 0.000000 0.000000
0.003765 0.009596 0.000101 0.000004 0.000000 0.000000 0.000000 0.000000
0.004037 0.010290 0.000116 0.000005 0.000000 0.000000 0.000000 0.000000
0.004329 0.011031 0.000134 0.000006 0.000000 0.000000 0.000000 0.000000
0.004642 0.011827 0.000154 0.000007 0.000000 0.000000 0.000000 0.000000
0.004977 0.012683 0.000177 0.000008 0.000000 0.000000 0.000000 0.000000
0.005337 0.013599 0.000203 0.000011 0.000001 0.000000 0.000000 0.000000
0.005722 0.014584 0.000233 0.000013 0.000001 0.000000 0.000000 0.000000
0.006136 0.015636 0.000268 0.000016 0.000001 0.000000 0.000000 0.000000
0.006579 0.016764 0.000307 0.000020 0.000001 0.000000 0.000000 0.000000
0.007055 0.017975 0.000354 0.000024 0.000002 0.000000 0.000000 0.000000
0.007565 0.019274 0.000407 0.000030 0.000003 0.000000 0.000000 0.000000
0.008111 0.020668 0.000468 0.000037 0.000003 0.000000 0.000000 0.000000
0.008697 0.022164 0.000538 0.000046 0.000005 0.000000 0.000000 0.000000
0.009326 0.023766 0.000619 0.000056 0.000006 0.000001 0.000000 0.000000
0.010000 0.025484 0.000712 0.000069 0.000008 0.000001 0.000000 0.000000
0.010723 0.027326 0.000818 0.000085 0.000010 0.000001 0.000000 0.000000
0.011498 0.029299 0.000940 0.000105 0.000014 0.000002 0.000000 0.000000
0.012328 0.031417 0.001082 0.000129 0.000018 0.000003 0.000000 0.000000
0.013219 0.033685 0.001243 0.000159 0.000024 0.000004 0.000001 0.000000
0.014175 0.036119 0.001430 0.000196 0.000031 0.000005 0.000001 0.000000
0.015199 0.038726 0.001645 0.000241 0.000041 0.000008 0.000001 0.000000
0.016298 0.041520 0.001890 0.000297 0.000054 0.000011 0.000002 0.000000
0.017475 0.044517 0.002173 0.000364 0.000071 0.000015 0.000003 0.000001
0.018738 0.047727 0.002497 0.000448 0.000093 0.000021 0.000005 0.000001
0.020092 0.051165 0.002869 0.000550 0.000123 0.000030 0.000007 0.000002
0.021544 0.054854 0.003296 0.000675 0.000160 0.000042 0.000011 0.000003
0.023101 0.058806 0.003785 0.000827 0.000210 0.000058 0.000017 0.000005
0.024771 0.063044 0.004348 0.001013 0.000274 0.000081 0.000025 0.000008
0.026561 0.067586 0.004993 0.001239 0.000357 0.000112 0.000037 0.000013
0.028480 0.072452 0.005736 0.001516 0.000465 0.000156 0.000054 0.000020
0.030539 0.077662 0.006587 0.001853 0.000605 0.000215 0.000079 0.000031
0.032745 0.083240 0.007558 0.002259 0.000783 0.000296 0.000116 0.000048
0.035112 0.089216 0.008670 0.002750 0.001011 0.000405 0.000168 0.000073
0.037649 0.095619 0.009942 0.003342 0.001300 0.000551 0.000242 0.000111
0.040370 0.102472 0.011401 0.004058 0.001668 0.000747 0.000346 0.000168
0.043288 0.109807 0.013070 0.004917 0.002135 0.001009 0.000492 0.000252
0.046416 0.117657 0.014977 0.005942 0.002717 0.001351 0.000693 0.000373
0.049770 0.126058 0.017154 0.007166 0.003444 0.001799 0.000969 0.000547
0.053367 0.135037 0.019636 0.008620 0.004347 0.002380 0.001343 0.000794
