# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.971974 5.862638 4.533181 4.304065 nan nan nan
0.001072 5.902023 5.793321 4.476705 4.499810 nan nan nan
0.001150 5.832223 5.733989 4.442207 4.663439 nan nan nan
0.001233 5.762189 5.667927 4.321761 4.226834 nan nan nan
0.001322 5.692507 5.601634 4.296313 3.982792 nan nan nan
0.001417 5.622470 5.534067 4.232118 3.673766 nan nan nan
0.001520 5.552816 5.461200 4.177204 3.688879 nan nan nan
0.001630 5.483138 5.390982 4.148764 3.703064 nan nan nan
0.001748 5.413431 5.323490 4.062820 3.792676 nan nan nan
0.001874 5.343576 5.252019 3.994045 3.597312 nan nan nan
0.002009 5.273945 5.182576 3.914552 3.735836 nan nan nan
0.002154 5.204217 5.114289 3.861112 3.719651 nan nan nan
0.002310 5.134477 5.040290 3.817491 3.683867 nan nan nan
0.002477 5.064881 4.970617 3.735629 3.722677 nan nan nan
0.002656 4.995184 4.900534 3.641249 3.523973 3.610918 nan nan
0.002848 4.925356 4.833087 3.581045 3.440549 3.891820 nan nan
0.003054 4.855581 4.761237 3.506484 3.405421 3.449988 nan nan
0.003275 4.785741 4.692956 3.451627 3.347084 3.701302 nan nan
0.003511 4.716047 4.623809 3.389996 3.297616 3.545779 nan nan
0.003765 4.646376 4.554035 3.320402 3.133765 3.225520 nan nan
0.004037 4.576626 4.482797 3.246764 3.077405 3.208825 2.079442 nan
0.004329 4.507017 4.411930 3.166005 2.973778 3.128221 2.484907 nan
0.004642 4.437358 4.343494 3.107150 2.903323 2.990161 2.890372 nan
0.004977 4.367503 4.273535 3.035531 2.846821 2.852631 2.602690 nan
0.005337 4.297747 4.204470 2.961604 2.770286 2.800165 2.944439 nan
0.005722 4.227843 4.134506 2.888583 2.732571 2.796534 2.793208 nan
0.006136 4.158179 4.067669 2.818145 2.667518 2.669888 3.191847 nan
0.006579 4.088508 3.998663 2.746859 2.596462 2.559235 2.890372 nan
0.007055 4.018767 3.928561 2.670900 2.505074 2.412758 2.570849 2.564949
0.007565 3.948987 3.858580 2.604144 2.428927 2.350581 2.590267 2.890372
0.008111 3.879153 3.788497 2.536942 2.379319 2.250217 2.200144 2.028148
0.008697 3.809287 3.717783 2.464019 2.310221 2.209340 2.153874 1.810109
0.009326 3.739515 3.647548 2.396611 2.255522 2.138909 2.062937 1.722767
0.010000 3.669697 3.578068 2.328321 2.182491 2.099837 2.042760 1.998096
0.010723 3.599930 3.508979 2.259288 2.106405 2.044986 1.993214 1.981001
0.011498 3.530212 3.439268 2.192387 2.040754 1.979266 1.952637 2.010974
0.012328 3.460408 3.368856 2.125113 1.966621 1.894154 1.927118 1.869146
0.013219 3.390696 3.299420 2.055655 1.900958 1.821005 1.846283 1.783131
0.014175 3.320942 3.228968 1.986701 1.831676 1.745044 1.762821 1.695839
0.015199 3.251255 3.158919 1.918646 1.763653 1.685265 1.689972 1.587378
0.016298 3.181577 3.089360 1.852111 1.699435 1.607440 1.582293 1.506910
0.017475 3.111878 3.019872 1.785464 1.635577 1.545265 1.526613 1.439189
0.018738 3.042263 2.950270 1.717852 1.567591 1.473194 1.456685 1.378939
0.020092 2.972708 2.881181 1.651281 1.501926 1.410371 1.388938 1.301214
0.021544 2.903084 2.812092 1.585669 1.436481 1.348201 1.312360 1.231273
0.023101 2.833512 2.743147 1.521441 1.371487 1.280893 1.249255 1.181274
0.024771 2.763925 2.674191 1.457213 1.306241 1.216070 1.185302 1.133672
0.026561 2.694355 2.605355 1.393934 1.244429 1.154959 1.118526 1.072148
0.028480 2.624831 2.536174 1.330807 1.181672 1.092658 1.056905 1.011625
0.030539 2.555395 2.467294 1.268421 1.119559 1.033208 0.996225 0.953950
0.032745 2.486021 2.399084 1.207670 1.059656 0.972890 0.938219 0.891104
0.035112 2.416699 2.331156 1.148276 1.001074 0.914251 0.880241 0.830779
0.037649 2.347383 2.263625 1.090060 0.944365 0.857705 0.824892 0.776670
0.040370 2.278165 2.195892 1.033044 0.888769 0.803244 0.770412 0.724107
0.043288 2.209028 2.128406 0.977617 0.834386 0.749367 0.717283 0.671401
0.046416 2.139985 2.061287 0.924397 0.782643 0.698729 0.667223 0.620687
0.049770 2.071015 1.994514 0.872885 0.732566 0.649694 0.618781 0.572388
0.053367 2.002210 1.928191 0.823289 0.684607 0.602405 0.572444 0.525588
0.057224 1.933480 1.862156 0.776063 0.639311 0.558123 0.528701 0.481626
0.061359 1.864942 1.796577 0.731079 0.596638 0.516642 0.488035 0.441125
0.065793 1.796534 1.731482 0.688289 0.556422 0.477812 0.450058 0.403702
0.070548 1.728357 1.666961 0.648027 0.519163 0.442096 0.415350 0.369151
0.075646 1.660350 1.602831 0.610275 0.484667 0.409236 0.383887 0.338122
