# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 1.002508 2.018729 2.066075 2.007275 1.963557 1.787457 1.691855
0.001070 0.999528 2.181220 2.234134 2.090754 1.993327 1.679804 1.316411
0.001145 1.002061 1.947517 1.926933 1.855348 1.790031 1.630658 1.375814
0.001225 1.000456 1.929459 1.895056 1.971193 1.992817 1.895316 1.763111
0.001311 0.999161 1.872620 1.939263 2.070666 2.188206 2.219864 2.145424
0.001402 1.000091 1.967452 2.111169 2.186504 2.128835 2.030611 2.005493
0.001500 1.001346 1.990174 2.151872 2.150051 2.023089 1.962271 2.050511
0.001605 0.999239 1.898287 2.045112 2.142072 2.191202 2.288370 2.368886
0.001717 0.998656 1.904287 2.046927 2.036409 1.995000 2.032656 1.979079
0.001838 0.999026 1.919416 2.083233 2.096484 2.075722 2.083125 2.017111
0.001966 0.997775 1.832069 1.922605 2.038357 2.187950 2.280726 2.242568
0.002104 1.001837 1.912081 1.997052 2.135051 2.246341 2.340061 2.380869
0.002251 0.998221 1.879412 1.960656 2.098446 2.244916 2.326422 2.326869
0.002408 0.995829 1.788365 1.792493 1.890417 2.018550 2.114064 2.257410
0.002577 0.997942 1.771540 1.734294 1.708482 1.784697 1.843887 1.902061
0.002757 0.998417 1.928805 2.009104 1.967752 2.027796 2.111753 2.196779
0.002950 1.000445 1.872289 1.934187 2.000030 2.095581 2.186768 2.332845
0.003156 0.997558 1.786255 1.804776 1.887144 1.972919 2.056197 2.195860
0.003377 0.999158 1.820708 1.850985 1.920350 1.997798 2.038089 2.072861
0.003613 0.998421 1.797469 1.797143 1.826829 1.824265 1.827686 1.879631
0.003866 0.998470 1.813056 1.882630 1.943185 1.992123 2.041105 2.113173
0.004136 0.997635 1.733799 1.747561 1.780566 1.822865 1.899980 1.978506
0.004425 0.997003 1.735397 1.737852 1.735277 1.718161 1.802739 1.911220
0.004735 1.000379 1.735863 1.696695 1.687259 1.682627 1.727090 1.757151
0.005066 0.997613 1.741946 1.713015 1.690325 1.663363 1.669601 1.667609
0.005421 0.996671 1.702836 1.633193 1.621040 1.627244 1.647071 1.643561
0.005800 0.997459 1.793132 1.757627 1.717513 1.687825 1.673246 1.682088
0.006205 0.996473 1.794757 1.740995 1.702765 1.659725 1.644094 1.648897
0.006639 0.997899 1.818222 1.758499 1.683163 1.609089 1.576032 1.578120
0.007104 0.996777 1.807728 1.747415 1.664588 1.592278 1.563414 1.554093
0.007601 0.998893 1.900500 1.900794 1.828122 1.754048 1.708717 1.683987
0.008132 0.997408 1.906492 1.936094 1.890354 1.849325 1.812033 1.775656
0.008701 0.997144 1.905500 1.952504 1.903879 1.846891 1.797385 1.745789
0.009310 0.997887 1.888632 1.920037 1.881692 1.835516 1.772471 1.706395
0.009961 0.997487 1.915231 1.982238 1.970280 1.943385 1.870217 1.807117
0.010658 0.996399 1.895279 1.956476 1.953163 1.935506 1.871533 1.814909
0.011403 0.996723 1.877844 1.932511 1.936092 1.927077 1.859701 1.802532
0.012201 0.996779 1.872052 1.950169 1.990539 2.028530 2.008981 1.974371
0.013054 0.996453 1.881310 1.949255 1.969941 1.984643 1.970831 1.954491
0.013967 0.995494 1.873373 1.936556 1.984426 2.028050 2.038404 2.043717
0.014944 0.993414 1.840322 1.876817 1.898745 1.925875 1.935413 1.941115
0.015989 0.994461 1.836296 1.871410 1.895902 1.934368 1.964517 2.001194
0.017108 0.994476 1.840370 1.856065 1.863334 1.895025 1.926582 1.969349
0.018304 0.994116 1.859876 1.884075 1.884236 1.915902 1.959946 2.011430
0.019585 0.993923 1.867103 1.895915 1.876225 1.865337 1.884258 1.925475
0.020954 0.993871 1.858777 1.891710 1.863923 1.846518 1.860829 1.899944
0.022420 0.991494 1.850646 1.899621 1.878367 1.851573 1.832259 1.833779
0.023988 0.991679 1.846691 1.911453 1.911746 1.896735 1.867388 1.857934
0.025666 0.990806 1.840034 1.911591 1.924448 1.911441 1.868368 1.844725
0.027461 0.989326 1.837185 1.908811 1.925555 1.924740 1.893597 1.875134
0.029382 0.989279 1.827354 1.885081 1.897049 1.903043 1.889510 1.890376
0.031437 0.987572 1.821066 1.879756 1.900237 1.920592 1.926093 1.941678
0.033636 0.986566 1.819693 1.878079 1.893116 1.908168 1.918947 1.939124
0.035989 0.986248 1.824545 1.883514 1.910903 1.941030 1.958547 1.984581
0.038506 0.985867 1.833927 1.892415 1.916875 1.942080 1.950797 1.967820
0.041200 0.984499 1.839631 1.894568 1.903872 1.920818 1.920435 1.929273
0.044081 0.984370 1.853933 1.912691 1.919437 1.933156 1.928826 1.929358
0.047165 0.983285 1.854900 1.915491 1.922532 1.936798 1.934992 1.936725
