# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 1.056612 1.677709 1.681303 1.762384 1.694355 1.700176
0.001110 1.046426 1.646400 1.647259 1.752725 1.692598 1.680622
0.001191 1.041657 1.624315 1.625437 1.744902 1.696898 1.696493
0.001277 1.041492 1.625798 1.616575 1.723440 1.692527 1.686123
0.001369 1.046363 1.619666 1.611167 1.726722 1.702525 1.692917
0.001468 1.063163 1.606808 1.599185 1.733038 1.757166 1.740394
0.001574 1.080517 1.601648 1.589881 1.717681 1.772570 1.752910
0.001688 1.081767 1.598231 1.574331 1.693432 1.781746 1.762651
0.001810 1.055388 1.592739 1.562530 1.674192 1.789619 1.766191
0.001940 1.040466 1.597201 1.555272 1.668017 1.782074 1.762353
0.002081 1.031389 1.606188 1.554102 1.666889 1.787950 1.761319
0.002231 1.026556 1.623114 1.553499 1.662584 1.802707 1.766897
0.002392 1.017298 1.661407 1.550785 1.658936 1.801972 1.758008
0.002565 0.966342 1.671021 1.544502 1.670627 1.827712 1.777753
0.002750 0.870403 1.686227 1.530642 1.672074 1.834446 1.798017
0.002949 0.812279 1.649926 1.511833 1.676945 1.824622 1.802749
0.003162 0.775246 1.596519 1.499216 1.702104 1.838126 1.804256
0.003391 0.749188 1.532690 1.485305 1.723390 1.886560 1.851142
0.003636 0.722247 1.482462 1.481046 1.735413 1.879405 1.850725
0.003899 0.713748 1.462980 1.485973 1.753889 1.885031 1.856670
0.004180 0.697615 1.445569 1.506039 1.798110 1.896675 1.866725
0.004482 0.683083 1.414743 1.510156 1.832380 1.899199 1.861592
0.004806 0.673117 1.403773 1.500619 1.844404 1.991029 1.947650
0.005154 0.647074 1.369010 1.486353 1.836991 2.043120 1.997519
0.005526 0.633446 1.338802 1.470744 1.822772 2.049605 2.006565
0.005926 0.606425 1.291280 1.459953 1.837756 2.055267 2.009215
0.006354 0.582353 1.242875 1.439912 1.859106 2.079250 2.007285
0.006813 0.568650 1.205275 1.414562 1.864125 2.119337 2.025954
0.007305 0.531915 1.135810 1.362153 1.849516 2.132204 2.058141
0.007833 0.525734 1.077756 1.322775 1.831131 2.141601 2.103013
0.008399 0.527538 1.040857 1.293963 1.810401 2.125322 2.131305
0.009006 0.489094 0.993167 1.253563 1.768444 2.097912 2.102591
0.009657 0.477235 0.957441 1.213556 1.716370 2.058999 2.074572
0.010355 0.464840 0.928401 1.173447 1.656986 2.019374 2.045713
0.011103 0.444076 0.892867 1.138453 1.604356 1.974686 2.011872
0.011906 0.428210 0.854805 1.101242 1.549940 1.922462 1.985996
0.012766 0.428449 0.840751 1.084885 1.511955 1.878965 1.958600
0.013689 0.429076 0.830658 1.065908 1.474472 1.833429 1.918477
0.014678 0.416596 0.809005 1.046613 1.444279 1.792008 1.885479
0.015739 0.404948 0.787651 1.023552 1.409368 1.745681 1.848633
0.016876 0.416053 0.787874 1.021978 1.388616 1.705350 1.807590
0.018096 0.409617 0.778029 1.014601 1.368347 1.685284 1.788898
0.019403 0.380709 0.745628 0.991909 1.337215 1.687298 1.819557
0.020806 0.329732 0.676285 0.924161 1.278235 1.653310 1.806493
0.022309 0.316218 0.625578 0.847518 1.183800 1.557359 1.754246
0.023921 0.308314 0.595235 0.797851 1.107570 1.458417 1.675008
0.025650 0.296356 0.566809 0.762263 1.053328 1.392148 1.614895
0.027504 0.293405 0.546889 0.733251 1.005300 1.325131 1.547175
0.029492 0.267777 0.506723 0.683230 0.943289 1.258864 1.481526
0.031623 0.259517 0.484989 0.647003 0.884482 1.181854 1.407655
0.033908 0.268835 0.483134 0.632684 0.848473 1.130114 1.358726
0.036359 0.254941 0.464080 0.609972 0.814715 1.088205 1.318756
0.038986 0.262603 0.465730 0.603956 0.794032 1.062298 1.291115
0.041803 0.271374 0.470398 0.598804 0.776532 1.036680 1.258551
0.044824 0.266644 0.461747 0.588753 0.763605 1.024172 1.240218
0.048064 0.239469 0.426090 0.557310 0.732861 0.997263 1.214828
0.051537 0.240404 0.417195 0.542076 0.708379 0.963598 1.178641
0.055262 0.226747 0.394260 0.512510 0.671368 0.917248 1.135061
0.059255 0.223408 0.385915 0.505357 0.659480 0.886759 1.087297
0.063538 0.225922 0.384310 0.497632 0.644036 0.855654 1.038552
0.068129 0.238498 0.397127 0.504533 0.644055 0.840242 1.006586
0.073053 0.220995 0.373630 0.486680 0.629167 0.822870 0.976388
0.078332 0.208675 0.354664 0.463996 0.601397 0.785207 0.937957
0.083993 0.223508 0.366465 0.468321 0.595388 0.764049 0.904305
0.090063 0.209949 0.351421 0.454236 0.583079 0.751124 0.886523
0.096571 0.203320 0.338214 0.441188 0.568294 0.730334 0.859925
0.103550 0.208865 0.341968 0.443599 0.565885 0.719321 0.840048
0.111034 0.221623 0.357245 0.454343 0.572535 0.721004 0.836308
0.119058 0.222181 0.357743 0.452075 0.567180 0.710375 0.820090
0.127662 0.233715 0.372812 0.467856 0.580999 0.720490 0.822357
0.136887 0.209621 0.337879 0.429747 0.539412 0.673372 0.786334
0.146780 0.211996 0.336678 0.426753 0.533515 0.662635 0.770229
0.157387 0.215517 0.338597 0.431097 0.539179 0.667323 0.767619
0.168761 0.208659 0.327753 0.418613 0.524262 0.649448 0.750990
0.180957 0.199467 0.315425 0.405363 0.509250 0.631157 0.738858
0.194034 0.191527 0.304393 0.396549 0.501268 0.622191 0.729088
0.208057 0.185602 0.292270 0.379281 0.480055 0.597180 0.703239
0.223092 0.186221 0.290963 0.377576 0.476343 0.590791 0.700717
0.239215 0.189514 0.292910 0.380629 0.479430 0.593216 0.702026
0.256502 0.203403 0.313958 0.405174 0.505275 0.615414 0.726691
0.275039 0.164592 0.261294 0.361135 0.471151 0.588969 0.725146
0.294915 0.145106 0.230338 0.347907 0.473784 0.604792 0.740033
0.316228 0.143178 0.225510 0.378511 0.531951 0.682165 0.831674
0.339081 0.136333 0.213643 0.333848 0.461670 0.594887 0.782158
0.363585 0.135118 0.210066 0.298658 0.396120 0.500471 0.634503
0.389860 0.138455 0.214147 0.301875 0.396596 0.498489 0.616103
0.418034 0.142976 0.219815 0.306721 0.399288 0.498231 0.610578
0.448245 0.134843 0.208034 0.288757 0.375279 0.468509 0.573163
0.480638 0.143906 0.219428 0.300137 0.384742 0.473765 0.570006
0.515372 0.141494 0.215227 0.293611 0.375558 0.461523 0.553633
0.552617 0.141120 0.215333 0.293556 0.374804 0.459380 0.549871
0.592553 0.137711 0.209496 0.284552 0.362392 0.443187 0.527760
0.635375 0.152983 0.230032 0.309709 0.390438 0.472927 0.559820
0.681292 0.104754 0.163111 0.225421 0.291764 0.362568 0.438087
0.730527 0.085455 0.132447 0.182809 0.236904 0.294939 0.357152
0.783320 0.079445 0.121832 0.166395 0.213389 0.262800 0.315297
0.839929 0.032097 0.055391 0.082985 0.115159 0.152215 0.193639
0.900628 0.003249 0.009807 0.019327 0.032697 0.049825 0.070406
0.965714 0.001803 0.005439 0.010589 0.017702 0.026769 0.037529
