# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.013308 0.000173 0.000002 0.000000 0.000000 0.000000 0.000000
0.001072 0.014269 0.000199 0.000003 0.000000 0.000000 0.000000 0.000000
0.001150 0.015298 0.000229 0.000003 0.000000 0.000000 0.000000 0.000000
0.001233 0.016404 0.000263 0.000004 0.000000 0.000000 0.000000 0.000000
0.001322 0.017587 0.000302 0.000005 0.000000 0.000000 0.000000 0.000000
0.001417 0.018859 0.000347 0.000006 0.000000 0.000000 0.000000 0.000000
0.001520 0.020224 0.000399 0.000007 0.000000 0.000000 0.000000 0.000000
0.001630 0.021684 0.000458 0.000009 0.000000 0.000000 0.000000 0.000000
0.001748 0.023250 0.000527 0.000011 0.000000 0.000000 0.000000 0.000000
0.001874 0.024929 0.000606 0.000014 0.000000 0.000000 0.000000 0.000000
0.002009 0.026730 0.000696 0.000017 0.000000 0.000000 0.000000 0.000000
0.002154 0.028662 0.000800 0.000021 0.000001 0.000000 0.000000 0.000000
0.002310 0.030730 0.000919 0.000026 0.000001 0.000000 0.000000 0.000000
0.002477 0.032950 0.001057 0.000033 0.000001 0.000000 0.000000 0.000000
0.002656 0.035329 0.001215 0.000040 0.000001 0.000000 0.000000 0.000000
0.002848 0.037880 0.001397 0.000050 0.000002 0.000000 0.000000 0.000000
0.003054 0.040613 0.001606 0.000061 0.000002 0.000000 0.000000 0.000000
0.003275 0.043540 0.001846 0.000075 0.000003 0.000000 0.000000 0.000000
0.003511 0.046681 0.002121 0.000093 0.000004 0.000000 0.000000 0.000000
0.003765 0.050045 0.002438 0.000114 0.000005 0.000000 0.000000 0.000000
0.004037 0.053654 0.002804 0.000141 0.000007 0.000000 0.000000 0.000000
0.004329 0.057520 0.003222 0.000174 0.000009 0.000000 0.000000 0.000000
0.004642 0.061660 0.003702 0.000214 0.000012 0.000001 0.000000 0.000000
0.004977 0.066101 0.004254 0.000264 0.000016 0.000001 0.000000 0.000000
0.005337 0.070858 0.004887 0.000325 0.000021 0.000001 0.000000 0.000000
0.005722 0.075960 0.005615 0.000400 0.000027 0.000002 0.000000 0.000000
0.006136 0.081420 0.006452 0.000493 0.000036 0.000003 0.000000 0.000000
0.006579 0.087271 0.007413 0.000607 0.000047 0.000004 0.000000 0.000000
0.007055 0.093538 0.008515 0.000748 0.000062 0.000005 0.000000 0.000000
0.007565 0.100248 0.009780 0.000921 0.000082 0.000008 0.000001 0.000000
0.008111 0.107430 0.011231 0.001132 0.000108 0.000011 0.000001 0.000000
0.008697 0.115118 0.012897 0.001393 0.000143 0.000015 0.000002 0.000000
0.009326 0.123347 0.014807 0.001713 0.000189 0.000022 0.000003 0.000000
0.010000 0.132150 0.016998 0.002108 0.000249 0.000030 0.000004 0.000001
0.010723 0.141556 0.019505 0.002591 0.000328 0.000043 0.000006 0.000001
0.011498 0.151612 0.022378 0.003183 0.000432 0.000060 0.000009 0.000001
0.012328 0.162357 0.025666 0.003911 0.000569 0.000085 0.000014 0.000002
0.013219 0.173828 0.029424 0.004801 0.000747 0.000120 0.000021 0.000003
0.014175 0.186067 0.033714 0.005892 0.000983 0.000168 0.000031 0.000005
0.015199 0.199119 0.038611 0.007221 0.001290 0.000237 0.000046 0.000009
0.016298 0.213016 0.044192 0.008844 0.001690 0.000332 0.000069 0.000014
0.017475 0.227806 0.050544 0.010819 0.002213 0.000464 0.000104 0.000022
0.018738 0.243534 0.057773 0.013225 0.002894 0.000651 0.000156 0.000036
0.020092 0.260241 0.065979 0.016144 0.003776 0.000907 0.000232 0.000057
0.021544 0.277945 0.075268 0.019678 0.004918 0.001261 0.000344 0.000090
0.023101 0.296680 0.085775 0.023947 0.006395 0.001752 0.000510 0.000142
0.024771 0.316467 0.097614 0.029085 0.008290 0.002424 0.000753 0.000224
0.026561 0.337320 0.110923 0.035250 0.010720 0.003342 0.001105 0.000350
0.028480 0.359255 0.125842 0.042616 0.013817 0.004591 0.001616 0.000544
0.030539 0.382250 0.142497 0.051381 0.017746 0.006279 0.002351 0.000842
0.032745 0.406278 0.161022 0.061758 0.022703 0.008545 0.003401 0.001296
0.035112 0.431284 0.181506 0.073960 0.028907 0.011562 0.004883 0.001975
0.037649 0.457207 0.204046 0.088229 0.036620 0.015545 0.006960 0.002985
0.040370 0.483932 0.228686 0.104781 0.046123 0.020748 0.009832 0.004466
0.043288 0.511349 0.255440 0.123814 0.057709 0.027462 0.013748 0.006602
0.046416 0.539281 0.284247 0.145498 0.071697 0.036038 0.019024 0.009641
0.049770 0.567546 0.314987 0.169930 0.088358 0.046820 0.026007 0.013880
0.053367 0.595907 0.347462 0.197139 0.107939 0.060160 0.035078 0.019671
0.057224 0.624107 0.381371 0.227003 0.130569 0.076352 0.046606 0.027389
0.061359 0.651855 0.416340 0.259312 0.156303 0.095654 0.060953 0.037440
0.065793 0.678866 0.451922 0.293729 0.185041 0.118180 0.078376 0.050174
0.070548 0.704801 0.487533 0.329676 0.216441 0.143829 0.098963 0.065818
0.075646 0.729383 0.522622 0.366538 0.250020 0.172321 0.122597 0.084439
0.081113 0.752334 0.556589 0.403584 0.285135 0.203184 0.148965 0.105904
0.086975 0.773433 0.588871 0.440028 0.320976 0.235697 0.177469 0.129802
0.093260 0.792528 0.618994 0.475122 0.356673 0.269014 0.207337 0.155508
0.100000 0.809544 0.646598 0.508227 0.391419 0.302279 0.237734 0.182295
0.107227 0.824513 0.671505 0.538899 0.424548 0.334716 0.267872 0.209419
0.114976 0.837553 0.693702 0.566895 0.455584 0.365719 0.297096 0.236234
0.123285 0.848850 0.713327 0.592183 0.484283 0.394916 0.324999 0.262308
0.132194 0.858681 0.730717 0.615032 0.510761 0.422326 0.351561 0.287583
0.141747 0.867328 0.746248 0.635783 0.535247 0.448101 0.376920 0.312155
0.151991 0.875079 0.760344 0.654884 0.558125 0.472584 0.401402 0.336309
0.162975 0.882195 0.773407 0.672787 0.579827 0.496196 0.425430 0.360437
0.174753 0.888883 0.785774 0.689887 0.600751 0.519329 0.449389 0.384898
0.187382 0.895309 0.797718 0.706517 0.621246 0.542344 0.473635 0.410025
0.200923 0.901572 0.809400 0.722870 0.641514 0.565434 0.498351 0.435985
0.215444 0.907738 0.820936 0.739091 0.661709 0.588732 0.523644 0.462860
0.231013 0.913834 0.832367 0.755229 0.681878 0.612249 0.549486 0.490598
0.247708 0.919853 0.843683 0.771266 0.701986 0.635892 0.575718 0.518984
0.265609 0.925755 0.854826 0.787126 0.721943 0.659507 0.602111 0.547737
0.284804 0.931475 0.865693 0.802665 0.741586 0.682878 0.628390 0.576535
0.305386 0.936938 0.876147 0.817692 0.760682 0.705708 0.654218 0.605007
0.327455 0.942144 0.886174 0.832176 0.779196 0.727953 0.679570 0.633143
0.351119 0.947123 0.895813 0.846151 0.797161 0.749637 0.704477 0.660978
0.376494 0.951895 0.905083 0.859639 0.814595 0.770776 0.728949 0.688517
0.403702 0.956473 0.914004 0.872660 0.831520 0.791389 0.752970 0.715705
0.432876 0.960943 0.922737 0.885443 0.848211 0.811793 0.776853 0.742850
0.464159 0.965392 0.931452 0.898235 0.864972 0.832345 0.800967 0.770337
0.497702 0.969975 0.940450 0.911477 0.882370 0.853738 0.826110 0.799057
0.533670 0.974765 0.949880 0.925391 0.900716 0.876370 0.852779 0.829606
0.572237 0.979761 0.959744 0.939983 0.920044 0.900308 0.881059 0.862089
0.613591 0.984741 0.969603 0.954612 0.939510 0.924518 0.909744 0.895138
0.657933 0.989205 0.978467 0.967801 0.957104 0.946458 0.935871 0.925373
0.705480 0.992814 0.985649 0.978517 0.971398 0.964297 0.957209 0.950164
0.756463 0.995776 0.991555 0.987347 0.983151 0.978958 0.974765 0.970591
0.811131 0.998354 0.996706 0.995061 0.993418 0.991774 0.990127 0.988485
0.869749 0.999771 0.999541 0.999311 0.999081 0.998852 0.998622 0.998392
