# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 1.164106 1.681385 2.104293 0.643452 1.369337 1.242538 0.530042
0.001070 1.135299 1.639096 2.065810 0.646260 1.360222 1.239412 0.531559
0.001145 1.106936 1.596138 2.028421 0.649443 1.351919 1.236169 0.532987
0.001226 1.078966 1.552425 1.991776 0.652742 1.342397 1.230133 0.534600
0.001312 1.051327 1.508539 1.955109 0.656494 1.334058 1.223643 0.536328
0.001404 1.024052 1.464921 1.917938 0.660500 1.325016 1.215549 0.539035
0.001503 0.997001 1.421658 1.880658 0.664515 1.313666 1.204195 0.542310
0.001608 0.970252 1.378750 1.842932 0.668947 1.302680 1.191337 0.545179
0.001721 0.943681 1.336100 1.804704 0.673994 1.291422 1.178099 0.548313
0.001842 0.917273 1.293941 1.765368 0.680157 1.280975 1.165740 0.551062
0.001972 0.890879 1.252362 1.724109 0.687431 1.269639 1.153845 0.553504
0.002110 0.864474 1.211407 1.680278 0.696680 1.258503 1.140375 0.555340
0.002258 0.837875 1.170669 1.633675 0.708852 1.245252 1.127971 0.557024
0.002417 0.811011 1.129727 1.584744 0.723303 1.231191 1.117667 0.558606
0.002587 0.784629 1.089998 1.540381 0.732791 1.215964 1.110316 0.560415
0.002769 0.760783 1.056022 1.496792 0.734954 1.197362 1.103318 0.561320
0.002963 0.739675 1.025097 1.451429 0.732280 1.177524 1.095418 0.562613
0.003171 0.719604 0.995614 1.405478 0.727483 1.154390 1.087571 0.564515
0.003394 0.699812 0.966032 1.358933 0.721372 1.131539 1.077345 0.566324
0.003632 0.680725 0.937701 1.313208 0.713349 1.106908 1.065003 0.568893
0.003887 0.662223 0.909774 1.266898 0.704398 1.080921 1.052453 0.572677
0.004161 0.644205 0.882250 1.221514 0.694782 1.053243 1.039311 0.576588
0.004453 0.626635 0.854672 1.175882 0.684968 1.024299 1.024658 0.581179
0.004766 0.608997 0.826484 1.129506 0.675258 0.996228 1.006733 0.585815
0.005100 0.592330 0.799396 1.085047 0.663271 0.967320 0.984271 0.587234
0.005459 0.576315 0.773004 1.041638 0.650561 0.938635 0.960871 0.587408
0.005842 0.561336 0.747931 1.001457 0.637540 0.908562 0.938654 0.587126
0.006252 0.547193 0.723626 0.964188 0.624291 0.877856 0.916449 0.586536
0.006692 0.533935 0.700451 0.929285 0.610612 0.847325 0.894490 0.585799
0.007162 0.520727 0.677910 0.896036 0.596325 0.817820 0.872094 0.584150
0.007665 0.508893 0.657579 0.865241 0.581120 0.788334 0.849954 0.582267
0.008203 0.496777 0.637255 0.834782 0.566165 0.759847 0.827685 0.579173
0.008780 0.484839 0.617548 0.805303 0.551400 0.732501 0.806260 0.576288
0.009396 0.473039 0.598369 0.776491 0.536648 0.705832 0.784813 0.572197
0.010056 0.461017 0.579269 0.747854 0.522910 0.680497 0.764126 0.567242
0.010763 0.449181 0.560759 0.720224 0.508873 0.655478 0.743223 0.561735
