# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 2.252172 2.834711 2.359465 1.586814 1.358554 1.874736
0.001110 2.230830 2.905602 3.488589 2.741005 1.785087 1.570399
0.001191 2.075646 2.662455 4.494540 4.058429 2.900704 2.861631
0.001277 2.305156 2.464862 2.655275 2.697008 2.913940 3.649460
0.001369 2.195954 2.418102 2.898402 2.997762 2.191592 2.199718
0.001468 2.198322 2.769414 2.768117 3.370683 3.144318 2.317736
0.001574 2.106516 2.498754 3.146505 3.459367 3.496257 3.191544
0.001688 2.082157 2.281079 2.585628 3.456571 4.172899 3.418216
0.001810 2.082216 2.308551 2.431332 2.484575 3.767570 3.923539
0.001940 2.167921 2.407643 2.409569 2.626352 2.775826 3.073885
0.002081 2.070336 2.326217 2.458188 2.559148 2.582619 3.025733
0.002231 1.826182 2.052788 2.371889 2.572883 2.742397 3.061763
0.002392 1.838014 2.028128 2.262557 2.485535 2.875024 3.089729
0.002565 1.928606 2.025237 2.224986 2.286498 2.283153 2.982131
0.002750 1.917870 2.017016 2.004867 2.268782 2.461169 2.499965
0.002949 1.865189 2.001715 2.030337 2.230716 2.386818 2.471870
0.003162 1.857262 1.991930 2.238481 2.223459 2.465692 2.809532
0.003391 1.909224 1.889805 2.375543 2.308583 2.336040 2.406170
0.003636 1.904775 1.921867 1.914870 2.273266 2.383055 2.409589
0.003899 1.837484 1.952255 1.835902 1.944329 2.248718 2.482293
0.004180 1.825718 1.922654 1.835537 1.932598 1.993014 2.128908
0.004482 1.901062 1.865818 1.987364 2.023662 2.062263 2.234453
0.004806 1.893838 1.892725 1.877854 1.948748 2.131442 2.237868
0.005154 1.945740 2.008753 1.893912 1.826514 1.915769 2.057407
0.005526 1.934747 1.998104 1.984727 1.914702 1.839747 1.911588
0.005926 1.921732 2.011519 2.003139 1.931452 1.900417 1.876290
0.006354 1.914352 1.956920 2.022853 2.016714 1.935518 1.933935
0.006813 1.886133 1.932914 1.875999 1.917073 1.998904 1.967483
0.007305 1.864085 1.950864 1.953116 1.920000 1.912733 1.981551
0.007833 1.839841 1.912662 1.988415 1.999188 1.956273 1.879387
0.008399 1.867007 1.941217 2.000291 1.973862 1.987719 1.946477
0.009006 1.867352 1.924682 1.965468 1.970011 1.944414 1.920228
0.009657 1.850576 1.915429 1.935665 1.985718 1.977260 1.961581
0.010355 1.840416 1.901021 1.937208 1.959214 1.930326 1.920773
0.011103 1.862962 1.897339 1.931734 1.940832 1.962675 1.951654
0.011906 1.857932 1.917163 1.927897 1.942861 1.919877 1.962472
0.012766 1.859359 1.909809 1.896899 1.927943 1.972352 1.950622
0.013689 1.848289 1.908594 1.891899 1.904304 1.927937 1.965991
0.014678 1.848283 1.910388 1.905679 1.882282 1.940031 1.952044
0.015739 1.833680 1.887272 1.882322 1.892899 1.905112 1.969261
0.016876 1.811325 1.883721 1.876961 1.872586 1.910450 1.950458
0.018096 1.806771 1.893955 1.930554 1.883772 1.867471 1.908247
0.019403 1.814100 1.890990 1.925208 1.911751 1.881540 1.884565
0.020806 1.804528 1.883531 1.924500 1.932679 1.910305 1.893871
0.022309 1.807327 1.883818 1.912821 1.901589 1.896728 1.887593
0.023921 1.808572 1.872909 1.915204 1.922138 1.886718 1.874805
0.025650 1.810963 1.882117 1.907819 1.922393 1.927075 1.919546
0.027504 1.826046 1.875144 1.901549 1.908058 1.931752 1.915266
0.029492 1.826771 1.881499 1.894085 1.906758 1.930173 1.957303
0.031623 1.831861 1.887713 1.896948 1.906998 1.932261 1.939830
0.033908 1.846742 1.904123 1.901665 1.902355 1.930830 1.961196
0.036359 1.846610 1.913931 1.910941 1.908415 1.917375 1.936763
0.038986 1.847929 1.917042 1.923059 1.911118 1.920244 1.937792
0.041803 1.844993 1.930980 1.929709 1.925843 1.916032 1.919405
0.044824 1.835128 1.933385 1.950471 1.938361 1.931202 1.933888
0.048064 1.827111 1.928020 1.952045 1.957415 1.940823 1.926054
0.051537 1.817947 1.933082 1.959821 1.961929 1.952686 1.940373
0.055262 1.802969 1.926655 1.967037 1.977558 1.969345 1.960016
0.059255 1.784703 1.918589 1.958772 1.974275 1.971888 1.970006
0.063538 1.778373 1.919382 1.963685 1.978319 1.978101 1.974887
0.068129 1.777654 1.912944 1.954685 1.973280 1.979266 1.991904
0.073053 1.763200 1.886758 1.939488 1.966176 1.972572 1.980747
0.078332 1.746954 1.878344 1.928316 1.966911 1.977839 1.993139
0.083993 1.733819 1.868462 1.933318 1.978872 1.985565 1.989414
0.090063 1.716967 1.862693 1.935865 1.975177 1.989895 1.983616
0.096571 1.694346 1.855851 1.939526 1.978469 2.000649 1.996706
0.103550 1.680458 1.853214 1.951791 2.003618 2.020997 2.008352
