# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.003863 0.000017 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 0.004142 0.000019 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 0.004442 0.000022 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 0.004763 0.000025 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 0.005107 0.000029 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 0.005477 0.000033 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 0.005874 0.000038 0.000001 0.000000 0.000000 0.000000 0.000000
0.001630 0.006298 0.000044 0.000001 0.000000 0.000000 0.000000 0.000000
0.001748 0.006754 0.000051 0.000001 0.000000 0.000000 0.000000 0.000000
0.001874 0.007243 0.000058 0.000001 0.000000 0.000000 0.000000 0.000000
0.002009 0.007767 0.000067 0.000001 0.000000 0.000000 0.000000 0.000000
0.002154 0.008327 0.000077 0.000002 0.000000 0.000000 0.000000 0.000000
0.002310 0.008929 0.000089 0.000002 0.000000 0.000000 0.000000 0.000000
0.002477 0.009574 0.000102 0.000002 0.000000 0.000000 0.000000 0.000000
0.002656 0.010266 0.000117 0.000003 0.000000 0.000000 0.000000 0.000000
0.002848 0.011007 0.000135 0.000004 0.000000 0.000000 0.000000 0.000000
0.003054 0.011805 0.000155 0.000005 0.000000 0.000000 0.000000 0.000000
0.003275 0.012657 0.000178 0.000006 0.000000 0.000000 0.000000 0.000000
0.003511 0.013573 0.000205 0.000007 0.000000 0.000000 0.000000 0.000000
0.003765 0.014554 0.000236 0.000009 0.000000 0.000000 0.000000 0.000000
0.004037 0.015605 0.000271 0.000011 0.000000 0.000000 0.000000 0.000000
0.004329 0.016733 0.000311 0.000013 0.000001 0.000000 0.000000 0.000000
0.004642 0.017942 0.000358 0.000016 0.000001 0.000000 0.000000 0.000000
0.004977 0.019236 0.000412 0.000020 0.000001 0.000000 0.000000 0.000000
0.005337 0.020626 0.000474 0.000024 0.000001 0.000000 0.000000 0.000000
0.005722 0.022115 0.000544 0.000030 0.000002 0.000000 0.000000 0.000000
0.006136 0.023713 0.000626 0.000037 0.000002 0.000000 0.000000 0.000000
0.006579 0.025427 0.000719 0.000045 0.000003 0.000000 0.000000 0.000000
0.007055 0.027266 0.000828 0.000056 0.000004 0.000000 0.000000 0.000000
0.007565 0.029236 0.000952 0.000069 0.000005 0.000001 0.000000 0.000000
0.008111 0.031346 0.001093 0.000084 0.000007 0.000001 0.000000 0.000000
0.008697 0.033609 0.001257 0.000104 0.000009 0.000001 0.000000 0.000000
0.009326 0.036035 0.001445 0.000128 0.000012 0.000001 0.000000 0.000000
0.010000 0.038637 0.001661 0.000158 0.000016 0.000002 0.000000 0.000000
0.010723 0.041427 0.001909 0.000194 0.000022 0.000003 0.000000 0.000000
0.011498 0.044419 0.002196 0.000239 0.000029 0.000004 0.000001 0.000000
0.012328 0.047625 0.002524 0.000295 0.000038 0.000005 0.000001 0.000000
0.013219 0.051062 0.002901 0.000363 0.000050 0.000008 0.000001 0.000000
0.014175 0.054743 0.003335 0.000446 0.000066 0.000011 0.000002 0.000000
0.015199 0.058690 0.003831 0.000549 0.000087 0.000015 0.000003 0.000001
0.016298 0.062918 0.004402 0.000675 0.000115 0.000021 0.000004 0.000001
0.017475 0.067446 0.005056 0.000829 0.000151 0.000030 0.000006 0.000001
0.018738 0.072301 0.005808 0.001019 0.000199 0.000042 0.000009 0.000002
0.020092 0.077507 0.006672 0.001251 0.000261 0.000059 0.000014 0.000003
0.021544 0.083085 0.007662 0.001534 0.000341 0.000083 0.000021 0.000005
0.023101 0.089064 0.008798 0.001882 0.000447 0.000116 0.000031 0.000009
0.024771 0.095459 0.010098 0.002305 0.000584 0.000162 0.000046 0.000014
0.026561 0.102308 0.011590 0.002821 0.000762 0.000225 0.000069 0.000022
0.028480 0.109643 0.013298 0.003449 0.000992 0.000312 0.000102 0.000034
0.030539 0.117495 0.015255 0.004215 0.001291 0.000432 0.000150 0.000053
0.032745 0.125900 0.017492 0.005140 0.001673 0.000595 0.000220 0.000083
0.035112 0.134897 0.020053 0.006265 0.002166 0.000818 0.000321 0.000129
0.037649 0.144514 0.022975 0.007617 0.002790 0.001116 0.000464 0.000197
0.040370 0.154799 0.026311 0.009247 0.003588 0.001519 0.000668 0.000300
0.043288 0.165795 0.030119 0.011203 0.004595 0.002055 0.000955 0.000453
0.046416 0.177538 0.034456 0.013545 0.005861 0.002763 0.001353 0.000677
0.049770 0.190072 0.039392 0.016339 0.007447 0.003696 0.001903 0.001001
0.053367 0.203454 0.045004 0.019658 0.009418 0.004907 0.002651 0.001463
0.057224 0.217722 0.051369 0.023582 0.011846 0.006463 0.003654 0.002110
0.061359 0.232915 0.058575 0.028202 0.014815 0.008441 0.004980 0.002996
0.065793 0.249101 0.066737 0.033632 0.018437 0.010942 0.006719 0.004205
0.070548 0.266307 0.075950 0.039969 0.022807 0.014062 0.008962 0.005814
0.075646 0.284599 0.086354 0.047354 0.028052 0.017919 0.011817 0.007923
0.081113 0.303995 0.098051 0.055899 0.034286 0.022623 0.015389 0.010629
0.086975 0.324551 0.111198 0.065764 0.041658 0.028319 0.019814 0.014056
0.093260 0.346297 0.125930 0.077097 0.050311 0.035142 0.025216 0.018319
0.100000 0.369266 0.142413 0.090072 0.060410 0.043256 0.031754 0.023568
0.107227 0.393481 0.160826 0.104879 0.072140 0.052844 0.039597 0.029957
0.114976 0.418941 0.181323 0.121693 0.085672 0.064083 0.048921 0.037657
0.123285 0.445658 0.204098 0.140728 0.101220 0.077192 0.059939 0.046876
0.132194 0.473608 0.229349 0.162210 0.119016 0.092427 0.072911 0.057874
0.141747 0.502765 0.257267 0.186349 0.139277 0.110021 0.088076 0.070904
0.151991 0.533066 0.288002 0.213329 0.162208 0.130208 0.105692 0.086245
0.162975 0.564426 0.321720 0.243348 0.188035 0.153233 0.126024 0.104180
0.174753 0.596730 0.358527 0.276573 0.216965 0.179310 0.149307 0.124974
0.187382 0.629818 0.398459 0.313117 0.249182 0.208623 0.175755 0.148860
0.200923 0.663492 0.441442 0.353040 0.284839 0.241312 0.205529 0.175992
0.215444 0.697506 0.487294 0.396368 0.324140 0.277610 0.238895 0.206642
0.231013 0.731558 0.535657 0.443032 0.367261 0.317745 0.276129 0.241082
0.247708 0.765294 0.585988 0.492874 0.414405 0.362058 0.317635 0.279749
0.265609 0.798251 0.637453 0.545469 0.465617 0.410864 0.363872 0.323201
0.284804 0.829964 0.689108 0.600261 0.520883 0.464519 0.415425 0.372199
0.305386 0.859867 0.739684 0.656204 0.579630 0.522921 0.472563 0.427332
0.327455 0.887378 0.787793 0.711932 0.640760 0.585462 0.535204 0.489057
0.351119 0.911908 0.831922 0.765674 0.702397 0.650600 0.602318 0.557027
0.376494 0.932931 0.870615 0.815344 0.761869 0.715703 0.671603 0.629537
0.403702 0.950116 0.902813 0.858823 0.815925 0.776985 0.739023 0.702428
