# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 0.999376 2.053248 2.467971 nan nan nan nan
0.001072 1.000602 2.048777 2.920053 0.000000 nan nan nan
0.001150 1.000682 1.985180 2.809758 9.933990 nan nan nan
0.001233 1.000962 2.017464 2.757020 5.811012 nan nan nan
0.001322 0.999995 1.943117 2.724513 4.122978 nan nan nan
0.001417 1.004763 2.000064 3.382009 0.000000 nan nan nan
0.001520 0.998182 2.001833 3.279693 5.811012 nan nan nan
0.001630 1.001544 2.028845 3.179406 7.321009 nan nan nan
0.001748 1.001636 1.985965 3.059450 7.604814 nan nan nan
0.001874 1.002015 2.001031 3.413190 4.942157 0.000000 nan nan
0.002009 0.997286 2.006171 3.026162 5.407274 0.000000 nan nan
0.002154 0.999911 1.988962 2.808558 4.224984 0.000000 nan nan
0.002310 0.999265 1.986949 3.053593 4.424710 9.933990 nan nan
0.002477 1.001342 2.000733 3.185263 2.273083 0.000000 nan nan
0.002656 0.999014 2.015006 3.262264 5.092643 15.745000 nan nan
0.002848 1.001924 2.004165 2.883722 3.542114 0.000000 nan nan
0.003054 0.998795 1.982658 3.070351 3.912214 2.209244 nan nan
0.003275 1.001406 2.020391 2.968441 4.063138 6.477723 nan nan
0.003511 1.000253 1.998955 3.084042 4.710426 4.445053 0.000000 nan
0.003765 0.999763 1.986196 3.013743 4.390269 5.488937 9.933990 nan
0.004037 1.000161 1.995447 2.953697 3.825979 4.445053 0.000000 nan
0.004329 0.999578 2.006796 2.894836 3.784442 4.822225 13.132020 nan
0.004642 0.998054 2.017475 3.065553 3.758693 6.693242 2.612981 0.000000
0.004977 0.999722 1.994233 2.989706 3.880154 3.743667 2.209244 0.000000
0.005337 0.999131 1.995928 2.945369 3.985252 4.367971 5.111765 0.000000
0.005722 0.999870 1.996806 2.975069 3.995788 6.288780 6.735959 5.811012
0.006136 1.000322 1.996600 3.010880 3.773174 4.642091 5.201059 0.000000
0.006579 1.000677 2.008324 2.996506 4.208433 5.331003 7.195840 9.933990
0.007055 0.999696 1.998987 2.977942 3.891619 4.489243 5.811012 2.209244
0.007565 0.999054 1.989866 2.966170 3.855010 4.115839 3.740777 3.601767
0.008111 0.998975 2.001161 2.997198 3.964318 4.674569 4.457959 5.270128
0.008697 0.998995 1.996408 2.980023 3.918388 4.846499 5.952212 2.975829
0.009326 0.998937 1.991903 2.979375 3.954137 4.390562 4.606504 8.020256
0.010000 0.999509 2.002348 3.001002 4.068019 4.987059 6.278755 6.477723
0.010723 0.999181 2.003831 2.992347 4.018576 5.287749 6.757857 7.643083
0.011498 0.998882 1.997278 2.999680 4.026048 5.041858 5.609024 6.735959
0.012328 0.998568 1.991817 2.961900 3.899455 4.774764 5.767797 6.126007
0.013219 0.997765 2.000734 2.972210 3.975872 5.051515 5.995305 7.006013
0.014175 0.997598 1.985885 2.962856 3.960465 4.932324 5.726667 6.646105
0.015199 0.997119 1.989199 2.963662 3.953564 5.005877 6.006151 6.807141
0.016298 0.995946 1.986272 2.946997 3.944530 4.920646 5.828946 6.873106
0.017475 0.996279 1.988687 2.947881 3.889931 4.827559 5.822956 6.998145
0.018738 0.996416 1.986825 2.944613 3.889138 4.827151 5.646103 6.510596
0.020092 0.995900 1.982853 2.928639 3.869132 4.779080 5.715507 6.574498
0.021544 0.995925 1.981588 2.926963 3.875169 4.830407 5.786013 6.813022
0.023101 0.993868 1.974575 2.903152 3.824325 4.753344 5.637714 6.689620
0.024771 0.993125 1.974543 2.894299 3.804522 4.717145 5.633292 6.608953
0.026561 0.992323 1.970168 2.881867 3.783430 4.693849 5.592320 6.487268
0.028480 0.991210 1.968454 2.874526 3.774002 4.670180 5.569055 6.485210
