# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.556269 5.452723 4.660205 nan nan nan nan
0.001072 5.486537 5.379188 4.631267 5.176150 nan nan nan
0.001150 5.416720 5.306052 4.570474 5.379897 nan nan nan
0.001233 5.346897 5.237358 4.512939 4.882802 nan nan nan
0.001322 5.277055 5.166431 4.461336 4.669709 nan nan nan
0.001417 5.207280 5.100625 4.406814 4.572130 nan nan nan
0.001520 5.137172 5.031177 4.310388 4.808111 nan nan nan
0.001630 5.067524 4.961147 4.221225 4.631487 nan nan nan
0.001748 4.997641 4.889467 4.140944 4.342506 nan nan nan
0.001874 4.927751 4.820785 4.066042 4.025352 2.833213 nan nan
0.002009 4.857835 4.751078 3.967508 3.918668 3.178054 nan nan
0.002154 4.788249 4.680683 3.896338 3.752525 3.555348 nan nan
0.002310 4.718480 4.611672 3.839150 3.653693 3.850148 nan nan
0.002477 4.648756 4.542756 3.764725 3.558023 3.465736 nan nan
0.002656 4.578887 4.473023 3.682074 3.621671 3.624341 nan nan
0.002848 4.509181 4.402132 3.595046 3.493955 2.881069 nan nan
0.003054 4.439271 4.332200 3.533675 3.448016 3.128221 nan nan
0.003275 4.369580 4.263551 3.457781 3.389275 3.247047 nan nan
0.003511 4.299706 4.192451 3.391630 3.312892 3.078568 2.397895 nan
0.003765 4.229914 4.122766 3.315918 3.199410 3.097085 2.708050 nan
0.004037 4.160155 4.053937 3.244220 3.103363 3.020425 2.397895 nan
0.004329 4.090368 3.984491 3.177358 3.042499 2.977229 2.708050 nan
0.004642 4.020622 3.914212 3.115395 2.980427 2.904817 2.128232 0.916291
0.004977 3.950983 3.843082 3.042265 2.932063 2.700058 2.412933 1.098612
0.005337 3.881227 3.773689 2.972806 2.869931 2.709582 2.519998 1.252763
0.005722 3.811512 3.704137 2.906558 2.797373 2.682877 2.468100 1.609438
0.006136 3.741746 3.634576 2.838299 2.726152 2.522883 2.436897 1.673976
0.006579 3.671948 3.565060 2.767528 2.672963 2.462254 2.397895 2.036882
0.007055 3.602126 3.494751 2.698577 2.588400 2.383926 2.267776 1.845827
0.007565 3.532372 3.425026 2.630270 2.524648 2.342227 2.175549 2.097141
0.008111 3.462662 3.355891 2.562148 2.462629 2.324028 2.201719 2.106841
0.008697 3.392959 3.285964 2.492649 2.395148 2.274470 2.216833 2.050171
0.009326 3.323253 3.216369 2.424017 2.329673 2.209710 2.139682 2.257849
0.010000 3.253552 3.147084 2.355116 2.261659 2.179259 2.124614 2.019654
0.010723 3.183811 3.077111 2.285435 2.187208 2.115132 2.034486 2.005771
0.011498 3.114093 3.007011 2.216461 2.115602 2.026575 1.931909 1.944004
0.012328 3.044396 2.937348 2.146518 2.043987 1.955697 1.892334 1.865371
0.013219 2.974720 2.868044 2.078830 1.978569 1.894622 1.823045 1.840377
0.014175 2.905101 2.798061 2.011045 1.908538 1.819569 1.757192 1.769855
0.015199 2.835493 2.729103 1.942876 1.838930 1.751757 1.701766 1.705701
0.016298 2.765919 2.659880 1.874883 1.769859 1.678332 1.631972 1.649811
0.017475 2.696427 2.590780 1.807848 1.700256 1.610223 1.568595 1.576955
0.018738 2.626911 2.521534 1.740920 1.634524 1.544800 1.499141 1.494956
0.020092 2.557386 2.452428 1.674090 1.568619 1.479349 1.441998 1.434635
0.021544 2.487896 2.383564 1.608097 1.502996 1.415857 1.376659 1.374699
0.023101 2.418405 2.314789 1.542134 1.436835 1.349205 1.309981 1.303039
0.024771 2.349058 2.246359 1.477342 1.372560 1.284383 1.248274 1.229642
0.026561 2.279762 2.177881 1.413166 1.309049 1.220704 1.184349 1.161565
0.028480 2.210523 2.109651 1.349552 1.246142 1.157179 1.121658 1.099120
0.030539 2.141361 2.041464 1.286330 1.183381 1.094648 1.058939 1.035195
0.032745 2.072266 1.973766 1.224620 1.122366 1.033351 0.995876 0.975316
0.035112 2.003244 1.906113 1.163441 1.062291 0.974150 0.935552 0.914570
0.037649 1.934380 1.838965 1.104037 1.004205 0.916648 0.878092 0.856669
0.040370 1.865626 1.772135 1.045658 0.946631 0.859616 0.821132 0.799774
0.043288 1.797001 1.705605 0.988963 0.891237 0.804820 0.766576 0.745143
0.046416 1.728570 1.639514 0.933688 0.837627 0.751948 0.714012 0.692162
0.049770 1.660354 1.573827 0.880015 0.785744 0.700661 0.663834 0.642579
0.053367 1.592316 1.508688 0.828254 0.735885 0.651910 0.615613 0.594444
0.057224 1.524537 1.444187 0.778529 0.688524 0.605955 0.570072 0.549459
0.061359 1.457081 1.380359 0.730939 0.643707 0.562614 0.527682 0.507945
0.065793 1.389899 1.317095 0.685297 0.601105 0.521765 0.487619 0.468737
0.070548 1.323105 1.254569 0.641966 0.561052 0.483598 0.450464 0.432686
0.075646 1.256675 1.192627 0.600799 0.523592 0.448209 0.416334 0.399777
0.081113 1.190745 1.131518 0.561946 0.488817 0.415764 0.385301 0.370109
0.086975 1.125312 1.071131 0.525237 0.456571 0.385960 0.357170 0.343348
0.093260 1.060458 1.011572 0.490663 0.426843 0.358814 0.331939 0.319517
0.100000 0.996237 0.952784 0.458119 0.399468 0.334000 0.309136 0.298113
0.107227 0.932723 0.894711 0.427515 0.374204 0.311265 0.288583 0.278999
0.114976 0.870026 0.837449 0.398781 0.350968 0.290359 0.269961 0.261688
