# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.004071 0.000027 0.000013 0.000008 0.000005 0.000004 0.000002
0.001070 0.004357 0.000031 0.000015 0.000010 0.000007 0.000005 0.000003
0.001146 0.004663 0.000036 0.000018 0.000012 0.000008 0.000006 0.000004
0.001226 0.004990 0.000042 0.000021 0.000014 0.000010 0.000007 0.000005
0.001312 0.005342 0.000049 0.000025 0.000017 0.000012 0.000009 0.000006
0.001404 0.005716 0.000056 0.000029 0.000020 0.000014 0.000010 0.000007
0.001503 0.006119 0.000065 0.000034 0.000023 0.000017 0.000012 0.000008
0.001609 0.006548 0.000075 0.000039 0.000027 0.000020 0.000014 0.000010
0.001722 0.007009 0.000086 0.000046 0.000031 0.000023 0.000017 0.000012
0.001843 0.007501 0.000099 0.000054 0.000037 0.000027 0.000020 0.000014
0.001972 0.008029 0.000114 0.000062 0.000043 0.000032 0.000023 0.000017
0.002111 0.008592 0.000129 0.000070 0.000049 0.000036 0.000027 0.000020
0.002259 0.009195 0.000146 0.000080 0.000056 0.000042 0.000032 0.000024
0.002418 0.009841 0.000166 0.000092 0.000065 0.000049 0.000037 0.000028
0.002588 0.010532 0.000189 0.000105 0.000074 0.000057 0.000043 0.000033
0.002770 0.011270 0.000215 0.000120 0.000085 0.000065 0.000050 0.000038
0.002965 0.012061 0.000244 0.000136 0.000096 0.000074 0.000057 0.000043
0.003173 0.012908 0.000278 0.000155 0.000110 0.000084 0.000065 0.000050
0.003396 0.013815 0.000316 0.000177 0.000125 0.000096 0.000074 0.000057
0.003635 0.014783 0.000359 0.000202 0.000143 0.000109 0.000084 0.000065
0.003890 0.015821 0.000407 0.000230 0.000163 0.000125 0.000097 0.000074
0.004164 0.016931 0.000463 0.000262 0.000187 0.000143 0.000110 0.000085
0.004457 0.018117 0.000526 0.000300 0.000214 0.000164 0.000126 0.000097
0.004770 0.019386 0.000599 0.000342 0.000244 0.000187 0.000144 0.000111
0.005105 0.020746 0.000683 0.000393 0.000280 0.000213 0.000165 0.000127
0.005464 0.022201 0.000779 0.000449 0.000320 0.000244 0.000189 0.000145
0.005848 0.023758 0.000887 0.000513 0.000366 0.000280 0.000217 0.000167
0.006259 0.025423 0.001008 0.000586 0.000419 0.000321 0.000248 0.000190
0.006699 0.027202 0.001144 0.000667 0.000477 0.000365 0.000282 0.000216
0.007170 0.029108 0.001299 0.000760 0.000544 0.000417 0.000321 0.000245
0.007674 0.031143 0.001472 0.000864 0.000619 0.000474 0.000365 0.000279
0.008213 0.033322 0.001670 0.000983 0.000705 0.000540 0.000416 0.000319
0.008790 0.035652 0.001896 0.001120 0.000805 0.000617 0.000476 0.000365
0.009408 0.038142 0.002150 0.001274 0.000915 0.000702 0.000543 0.000417
0.010069 0.040807 0.002437 0.001449 0.001041 0.000798 0.000618 0.000477
0.010777 0.043656 0.002766 0.001649 0.001183 0.000907 0.000703 0.000544
0.011535 0.046705 0.003138 0.001877 0.001346 0.001030 0.000799 0.000618
0.012345 0.049966 0.003560 0.002138 0.001533 0.001172 0.000908 0.000703
0.013213 0.053450 0.004037 0.002433 0.001744 0.001333 0.001031 0.000797
0.014142 0.057174 0.004572 0.002767 0.001986 0.001517 0.001172 0.000905
0.015136 0.061156 0.005177 0.003147 0.002261 0.001727 0.001333 0.001029
0.016199 0.065408 0.005855 0.003573 0.002572 0.001965 0.001516 0.001170
0.017338 0.069948 0.006619 0.004055 0.002925 0.002236 0.001725 0.001333
0.018557 0.074801 0.007486 0.004605 0.003329 0.002546 0.001967 0.001521
0.019861 0.079986 0.008463 0.005226 0.003785 0.002897 0.002241 0.001736
0.021257 0.085525 0.009569 0.005932 0.004303 0.003296 0.002554 0.001981
0.022751 0.091443 0.010823 0.006735 0.004891 0.003748 0.002906 0.002257
0.024350 0.097762 0.012242 0.007650 0.005561 0.004263 0.003307 0.002569
0.026062 0.104515 0.013861 0.008700 0.006332 0.004855 0.003767 0.002927
0.027893 0.111731 0.015700 0.009903 0.007214 0.005531 0.004290 0.003331
0.029854 0.119433 0.017782 0.011274 0.008224 0.006307 0.004889 0.003792
0.031952 0.127662 0.020153 0.012844 0.009379 0.007194 0.005574 0.004320
0.034198 0.136444 0.022842 0.014643 0.010707 0.008216 0.006364 0.004928
0.036602 0.145820 0.025887 0.016698 0.012226 0.009388 0.007271 0.005629
0.039174 0.155823 0.029327 0.019038 0.013961 0.010730 0.008313 0.006438
0.041928 0.166490 0.033216 0.021715 0.015956 0.012277 0.009513 0.007370
0.044875 0.177850 0.037577 0.024744 0.018228 0.014047 0.010891 0.008444
0.048029 0.189956 0.042483 0.028184 0.020817 0.016067 0.012467 0.009678
0.051405 0.202834 0.047998 0.032081 0.023748 0.018354 0.014259 0.011088
0.055018 0.216530 0.054198 0.036494 0.027072 0.020955 0.016304 0.012703
0.058885 0.231078 0.061152 0.041478 0.030833 0.023911 0.018635 0.014543
0.063023 0.246539 0.068978 0.047139 0.035129 0.027308 0.021317 0.016649
0.067453 0.262937 0.077738 0.053558 0.040046 0.031220 0.024414 0.019069
0.072194 0.280304 0.087513 0.060801 0.045639 0.035699 0.027965 0.021832
0.077268 0.298694 0.098425 0.069001 0.052027 0.040836 0.032054 0.025023
0.082699 0.318133 0.110563 0.078250 0.059287 0.046706 0.036773 0.028747
0.088512 0.338691 0.124085 0.088727 0.067571 0.053451 0.042248 0.033131
0.094733 0.360372 0.139055 0.100537 0.077001 0.061192 0.048616 0.038344
0.101392 0.383198 0.155626 0.113847 0.087750 0.070107 0.056044 0.044535
0.108518 0.407217 0.174024 0.128907 0.100045 0.080410 0.064736 0.051879
0.116146 0.432402 0.194378 0.145907 0.114099 0.092344 0.074942 0.060586
0.124309 0.458754 0.216920 0.165123 0.130119 0.106151 0.086874 0.070823
0.133046 0.486279 0.241901 0.186846 0.148372 0.122191 0.100866 0.082901
0.142398 0.514911 0.269485 0.211179 0.168988 0.140534 0.116974 0.096959
0.152406 0.544633 0.299863 0.238115 0.192042 0.161240 0.135346 0.113289
0.163118 0.575395 0.333182 0.267709 0.217560 0.184311 0.155982 0.131930
0.174583 0.607094 0.369663 0.300263 0.245721 0.209932 0.179093 0.153037
0.186854 0.639405 0.409069 0.335685 0.276540 0.238113 0.204818 0.176717
0.199988 0.672051 0.451282 0.373900 0.310257 0.269008 0.233265 0.203061
0.214044 0.705063 0.496478 0.415253 0.347254 0.302991 0.264782 0.232455
0.229088 0.738197 0.544265 0.459810 0.387705 0.340394 0.299752 0.265207
0.245190 0.771289 0.594372 0.507655 0.431977 0.381742 0.338555 0.301662
0.262424 0.803818 0.645852 0.558198 0.479851 0.427069 0.381352 0.342028
0.280869 0.834930 0.697099 0.611043 0.532356 0.477770 0.429723 0.387858
0.300610 0.864100 0.746955 0.665495 0.589553 0.534246 0.484424 0.440161
0.321739 0.890950 0.794327 0.720109 0.649803 0.595601 0.545571 0.499755
0.344353 0.915042 0.837952 0.772928 0.710484 0.659513 0.611366 0.565787
0.368556 0.935678 0.876094 0.821648 0.768862 0.723119 0.678827 0.636143
