# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.503869 5.018840 0.745934 0.450280 0.395755 0.419870 0.382077
0.001070 5.435876 4.937606 0.728671 0.431932 0.372966 0.398935 0.402680
0.001146 5.368102 4.856614 0.711263 0.414514 0.361476 0.384448 0.407352
0.001226 5.300259 4.770418 0.685001 0.398731 0.340493 0.356483 0.397237
0.001312 5.232141 4.694700 0.671107 0.391847 0.328241 0.343508 0.396415
0.001404 5.164414 4.621383 0.662216 0.392926 0.321365 0.341313 0.387804
0.001503 5.096420 4.551758 0.650372 0.386214 0.317260 0.330395 0.366798
0.001609 5.028545 4.474871 0.638564 0.384252 0.312132 0.323199 0.354003
0.001722 4.960500 4.402504 0.626913 0.376956 0.307969 0.319825 0.337487
0.001843 4.892688 4.327521 0.613581 0.371567 0.306819 0.310507 0.324405
0.001972 4.824670 4.258821 0.607536 0.369066 0.298524 0.300206 0.317659
0.002111 4.756881 4.199258 0.604996 0.363598 0.293536 0.291551 0.306973
0.002259 4.689149 4.140300 0.599530 0.355621 0.283470 0.282751 0.298954
0.002418 4.621220 4.080346 0.593989 0.350165 0.274682 0.274681 0.290878
0.002588 4.553336 4.019095 0.589366 0.344695 0.271461 0.270082 0.278857
0.002770 4.485598 3.958182 0.586660 0.343467 0.270579 0.265784 0.271055
0.002965 4.417744 3.899788 0.585856 0.345405 0.268421 0.262746 0.268222
0.003173 4.349918 3.839404 0.582384 0.347547 0.269100 0.259726 0.265308
0.003396 4.282008 3.778206 0.580097 0.346330 0.266578 0.257058 0.261113
0.003635 4.214258 3.718660 0.576432 0.344593 0.266435 0.258732 0.261503
0.003890 4.146415 3.659661 0.572397 0.342414 0.266317 0.258620 0.260344
0.004164 4.078639 3.600219 0.566642 0.338953 0.267474 0.260390 0.262135
0.004457 4.010920 3.539354 0.562180 0.337201 0.268630 0.259898 0.261861
0.004770 3.943185 3.476926 0.559212 0.337718 0.269404 0.258589 0.262734
0.005105 3.875384 3.412903 0.554604 0.339266 0.269891 0.257595 0.262837
0.005464 3.807602 3.350231 0.550696 0.339869 0.269096 0.256279 0.261775
0.005848 3.739843 3.288285 0.546586 0.338383 0.267639 0.255867 0.263839
0.006259 3.672117 3.227819 0.542639 0.336211 0.266287 0.256615 0.265605
0.006699 3.604448 3.168753 0.539412 0.335834 0.266806 0.259284 0.267845
0.007170 3.536746 3.109329 0.535509 0.334458 0.267152 0.261189 0.268173
0.007674 3.469165 3.051864 0.533052 0.333666 0.266918 0.261605 0.267751
0.008213 3.401551 2.993194 0.530341 0.332672 0.265829 0.260877 0.266623
0.008790 3.333962 2.933854 0.526290 0.331008 0.264736 0.259513 0.264897
0.009408 3.266432 2.875799 0.523355 0.330632 0.264810 0.257881 0.262687
0.010069 3.198892 2.817944 0.520113 0.330473 0.265380 0.256246 0.259152
0.010777 3.131410 2.759039 0.517339 0.331669 0.266391 0.254843 0.256419
0.011535 3.063893 2.700258 0.514023 0.332443 0.267240 0.254851 0.255882
0.012345 2.996416 2.641466 0.510081 0.332820 0.268249 0.255572 0.256258
0.013213 2.929012 2.583337 0.506242 0.332700 0.269043 0.256908 0.257877
0.014142 2.861651 2.526126 0.502073 0.331706 0.269245 0.258221 0.258549
0.015136 2.794327 2.469255 0.497837 0.330417 0.269372 0.259251 0.259035
0.016199 2.727113 2.413317 0.494053 0.328666 0.269075 0.259603 0.258961
0.017338 2.660006 2.357820 0.490036 0.326699 0.268662 0.259182 0.258248
