# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 1.994278 3.446324 0.000000 nan nan nan
0.001110 1.994207 2.594736 0.000000 nan nan nan
0.001191 2.005516 2.884252 0.000000 nan nan nan
0.001277 2.043732 3.376066 0.000000 nan nan nan
0.001369 1.955216 2.183945 0.000000 nan nan nan
0.001468 1.972320 2.027228 0.000000 nan nan nan
0.001574 2.027951 2.751523 19.867980 nan nan nan
0.001688 2.026963 2.521986 0.000000 nan nan nan
0.001810 1.943335 3.445395 5.811012 nan nan nan
0.001940 1.981432 2.854188 0.000000 nan nan nan
0.002081 1.997665 2.836691 4.122978 nan nan nan
0.002231 1.996019 3.019994 5.811012 nan nan nan
0.002392 1.999692 3.103914 7.321009 nan nan nan
0.002565 1.994701 3.058866 4.301014 nan nan nan
0.002750 2.005349 2.745149 3.719241 nan nan nan
0.002949 1.973646 2.708302 0.796411 nan nan nan
0.003162 1.995317 3.023180 4.599159 nan nan nan
0.003391 1.999435 3.067017 4.942157 nan nan nan
0.003636 1.998168 3.152509 5.270128 inf nan nan
0.003899 1.986061 2.995383 3.198030 4.122978 nan nan
0.004180 1.991941 3.031828 4.260125 3.198030 nan nan
0.004482 1.998396 3.064875 3.665323 6.735959 nan nan
0.004806 1.998262 2.904938 3.721053 1.688033 nan nan
0.005154 2.004466 3.031242 4.709984 5.270128 nan nan
0.005526 2.000561 3.036282 4.315353 7.539818 nan nan
0.005926 1.988867 3.004724 4.329938 3.959185 nan nan
0.006354 1.994919 3.010509 4.094055 3.098849 inf nan
0.006813 1.994172 2.998750 4.370547 5.543121 9.933990 nan
0.007305 1.993835 2.985474 4.125646 5.900866 13.132020 nan
0.007833 2.001763 2.935083 4.104962 3.760131 6.735959 nan
0.008399 1.995949 2.951585 4.032557 6.440091 3.198030 inf
0.009006 1.995905 3.016931 3.840148 5.424849 4.822225 0.000000
0.009657 2.001466 2.986986 4.112567 5.320991 5.111765 15.745001
0.010355 1.998197 2.973571 3.857544 4.881447 4.301014 0.000000
0.011103 1.993739 2.996947 3.875662 5.114719 7.321009 0.000000
0.011906 1.995989 2.967431 4.029314 5.155128 6.735959 9.933990
0.012766 2.000929 2.981067 4.036194 4.953578 5.407274 5.811012
0.013689 1.992003 2.961968 3.958828 5.095411 5.946858 1.509997
0.014678 1.995129 2.978450 3.888184 5.116775 6.019802 9.198869
0.015739 1.993188 2.963228 3.891179 4.842249 6.802430 8.339935
0.016876 1.990434 2.971494 3.951362 4.654331 5.798725 7.405066
0.018096 1.988240 2.980182 3.944571 4.983628 6.175088 5.726954
0.019403 1.987570 2.954483 3.891050 4.898622 6.027722 7.752820
0.020806 1.985923 2.953039 3.956748 4.907127 5.549850 7.360220
0.022309 1.985821 2.948809 3.909841 4.858065 5.777732 7.191202
0.023921 1.981585 2.948290 3.910764 4.908874 6.042364 6.196956
0.025650 1.978418 2.926125 3.902796 4.817437 5.815174 7.153873
0.027504 1.978070 2.920371 3.881509 4.840695 5.715664 6.807579
0.029492 1.977056 2.915983 3.868270 4.787919 5.861200 6.968210
0.031623 1.973143 2.903033 3.847141 4.810742 5.689575 6.604768
0.033908 1.967616 2.888499 3.828977 4.747018 5.672905 6.645701
0.036359 1.962228 2.871967 3.800639 4.745201 5.707908 6.546345
0.038986 1.956569 2.855220 3.774259 4.713414 5.631989 6.721482
0.041803 1.950337 2.831342 3.748683 4.677058 5.621723 6.664303
0.044824 1.943814 2.808535 3.720900 4.645182 5.577344 6.509091
0.048064 1.937042 2.781602 3.674327 4.594658 5.503855 6.421888
0.051537 1.926612 2.754118 3.628572 4.530474 5.469787 6.445852
0.055262 1.917609 2.723743 3.567289 4.447017 5.375236 6.273832
0.059255 1.908905 2.687037 3.516003 4.379050 5.269245 6.198850
0.063538 1.896317 2.649347 3.457524 4.292686 5.162413 6.055598
0.068129 1.883535 2.608801 3.388203 4.202683 5.050977 5.948817
0.073053 1.867537 2.562035 3.314210 4.096923 4.924932 5.782259
0.078332 1.852912 2.514072 3.234467 3.987610 4.785728 5.622786
0.083993 1.835744 2.459740 3.147985 3.869808 4.635582 5.445009
0.090063 1.818099 2.405906 3.055927 3.738994 4.465009 5.241784
0.096571 1.799321 2.351605 2.962348 3.603565 4.298289 5.042384
0.103550 1.778032 2.294040 2.865783 3.464927 4.111368 4.807548
0.111034 1.754895 2.236481 2.767582 3.320538 3.923960 4.574898
0.119058 1.732034 2.179177 2.672797 3.180443 3.733453 4.335338
0.127662 1.706199 2.123441 2.577510 3.040227 3.542567 4.094311
0.136887 1.677927 2.068572 2.488630 2.904157 3.355841 3.852664
0.146780 1.648722 2.015405 2.401632 2.780884 3.184096 3.624484
0.157387 1.617432 1.962829 2.322250 2.667592 3.026227 3.415753
0.168761 1.583608 1.912026 2.245264 2.565496 2.888519 3.231839
0.180957 1.547460 1.862831 2.173644 2.472275 2.769674 3.077540
0.194034 1.508692 1.812305 2.102327 2.385850 2.663690 2.950682
0.208057 1.466134 1.762223 2.034390 2.302763 2.570223 2.845336
0.223092 1.419426 1.710510 1.966974 2.220088 2.478399 2.751053
