# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.004164 0.000018 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 0.004465 0.000020 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 0.004787 0.000023 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 0.005132 0.000027 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 0.005503 0.000031 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 0.005902 0.000036 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 0.006327 0.000041 0.000001 0.000000 0.000000 0.000000 0.000000
0.001630 0.006785 0.000047 0.000001 0.000000 0.000000 0.000000 0.000000
0.001748 0.007275 0.000054 0.000001 0.000000 0.000000 0.000000 0.000000
0.001874 0.007800 0.000062 0.000001 0.000000 0.000000 0.000000 0.000000
0.002009 0.008364 0.000071 0.000001 0.000000 0.000000 0.000000 0.000000
0.002154 0.008968 0.000082 0.000002 0.000000 0.000000 0.000000 0.000000
0.002310 0.009616 0.000094 0.000002 0.000000 0.000000 0.000000 0.000000
0.002477 0.010311 0.000108 0.000003 0.000000 0.000000 0.000000 0.000000
0.002656 0.011055 0.000124 0.000003 0.000000 0.000000 0.000000 0.000000
0.002848 0.011853 0.000143 0.000004 0.000000 0.000000 0.000000 0.000000
0.003054 0.012711 0.000164 0.000005 0.000000 0.000000 0.000000 0.000000
0.003275 0.013631 0.000189 0.000006 0.000000 0.000000 0.000000 0.000000
0.003511 0.014617 0.000217 0.000008 0.000000 0.000000 0.000000 0.000000
0.003765 0.015673 0.000249 0.000009 0.000000 0.000000 0.000000 0.000000
0.004037 0.016805 0.000287 0.000012 0.000000 0.000000 0.000000 0.000000
0.004329 0.018018 0.000329 0.000014 0.000001 0.000000 0.000000 0.000000
0.004642 0.019320 0.000379 0.000018 0.000001 0.000000 0.000000 0.000000
0.004977 0.020715 0.000435 0.000022 0.000001 0.000000 0.000000 0.000000
0.005337 0.022212 0.000501 0.000027 0.000002 0.000000 0.000000 0.000000
0.005722 0.023816 0.000576 0.000033 0.000002 0.000000 0.000000 0.000000
0.006136 0.025536 0.000662 0.000041 0.000003 0.000000 0.000000 0.000000
0.006579 0.027380 0.000760 0.000050 0.000003 0.000000 0.000000 0.000000
0.007055 0.029357 0.000874 0.000062 0.000005 0.000000 0.000000 0.000000
0.007565 0.031477 0.001005 0.000076 0.000006 0.000001 0.000000 0.000000
