# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 0.998536 2.033429 3.445135 9.933990 nan nan nan
0.001072 0.999322 1.936473 3.025506 5.811012 nan nan nan
0.001150 0.998552 2.034602 2.621244 4.122978 nan nan nan
0.001233 0.998697 1.994378 2.320913 3.198030 nan nan nan
0.001322 1.002649 1.983444 2.148900 -0.000000 nan nan nan
0.001417 0.997617 1.968498 3.137431 4.822225 nan nan nan
0.001520 1.001809 2.024044 3.438905 5.111765 nan nan nan
0.001630 0.999203 2.000730 2.549143 3.760131 nan nan nan
0.001748 0.998443 1.946331 3.338102 3.844684 nan nan nan
0.001874 1.000409 2.007713 2.913921 6.089306 nan nan nan
0.002009 0.999536 1.986867 2.774071 4.663862 nan nan nan
0.002154 0.999595 1.952567 2.581705 2.875956 -0.000000 nan nan
0.002310 0.999756 2.027131 3.109519 4.681946 -0.000000 nan nan
0.002477 0.999082 2.001246 3.011228 3.523237 15.745000 nan nan
0.002656 0.999100 1.998177 3.187813 4.530543 12.143230 nan nan
0.002848 1.001076 1.991636 2.961187 3.437119 -0.000000 nan nan
0.003054 1.002184 1.977269 3.105229 3.613472 3.601767 nan nan
0.003275 1.000134 1.998184 2.859129 3.665323 1.509997 nan nan
0.003511 0.999974 1.997375 3.005332 5.250602 2.612981 nan nan
0.003765 0.999245 2.009502 3.096468 4.297758 8.020256 nan nan
0.004037 0.999211 1.978623 2.956604 4.204178 3.601767 -0.000000 nan
0.004329 0.999625 1.999244 3.004281 4.506459 5.270128 -0.000000 nan
0.004642 0.999186 1.998482 3.046334 4.303642 4.395972 -0.000000 nan
0.004977 1.000055 2.006356 3.038741 4.067040 5.538018 5.811012 nan
0.005337 0.999610 2.001794 3.004288 3.838282 5.687992 19.867980 nan
0.005722 0.998891 1.992362 2.929468 3.817060 4.428570 4.122978 5.811012
0.006136 0.999490 1.987024 2.969535 4.175062 6.633549 4.563989 -0.000000
0.006579 0.999087 2.003032 2.973243 3.904702 4.968303 5.811012 4.122978
0.007055 0.999327 2.000329 3.005980 4.115553 5.304247 7.579245 8.020256
0.007565 0.999518 1.992471 2.961471 3.929190 5.222864 3.994442 -0.000000
0.008111 0.999858 1.999592 3.004028 3.848890 4.386833 3.730304 -0.000000
0.008697 0.998447 1.991177 2.952740 3.945635 5.124593 7.049738 5.111765
0.009326 0.999331 2.000181 2.988938 3.956774 5.389311 7.174204 15.259130
0.010000 0.998544 1.995540 2.953848 3.962930 4.967242 5.569199 8.090682
0.010723 0.998287 1.994197 2.976323 3.954762 5.028243 6.637136 6.271878
0.011498 0.998539 1.995089 2.971587 3.940287 5.059853 6.037450 8.200531
0.012328 0.997977 1.996085 2.978210 3.920694 4.790370 5.397089 6.014302
0.013219 0.998224 1.995448 2.961128 3.913323 4.790840 5.639885 6.744368
0.014175 0.997457 1.990006 2.959978 3.882644 4.784654 6.113839 7.463198
0.015199 0.996435 1.990379 2.958114 3.905930 4.770650 5.490639 6.188832
0.016298 0.995686 1.984833 2.946782 3.933985 4.862675 5.798238 6.711620
0.017475 0.996147 1.982014 2.938039 3.882314 4.825046 5.842924 6.986241
0.018738 0.995386 1.988915 2.945619 3.908606 4.856296 5.675309 6.597367
0.020092 0.994411 1.981994 2.927282 3.872197 4.791522 5.741238 6.746283
0.021544 0.993319 1.977727 2.912602 3.847889 4.810332 5.748490 6.713214
0.023101 0.992772 1.978606 2.906053 3.817941 4.709500 5.624900 6.618393
0.024771 0.991602 1.977565 2.898899 3.827500 4.731487 5.659720 6.579306
0.026561 0.990362 1.970852 2.879134 3.780758 4.680438 5.577197 6.498919
0.028480 0.988987 1.967279 2.858807 3.745206 4.630227 5.499136 6.370308
0.030539 0.987156 1.961451 2.840767 3.712467 4.577237 5.442100 6.334913
0.032745 0.985809 1.957945 2.820369 3.685477 4.536019 5.386863 6.228079
0.035112 0.983413 1.949747 2.794440 3.635540 4.463318 5.288538 6.110287
0.037649 0.980499 1.943033 2.766097 3.587713 4.388082 5.186905 5.955390
0.040370 0.978246 1.936936 2.740342 3.533054 4.313051 5.087851 5.862510
0.043288 0.975126 1.927365 2.706202 3.475434 4.227143 4.967790 5.705114
0.046416 0.971671 1.919175 2.671790 3.408908 4.118767 4.822974 5.532904
0.049770 0.967314 1.906725 2.631037 3.340632 4.021482 4.694902 5.364385
0.053367 0.963079 1.896717 2.591232 3.270112 3.915811 4.550531 5.178365
0.057224 0.958078 1.883043 2.544618 3.189965 3.796584 4.390284 4.980896
0.061359 0.952194 1.869578 2.497539 3.107464 3.671411 4.219737 4.760335
0.065793 0.945360 1.853592 2.447081 3.021431 3.545575 4.052485 4.545606
0.070548 0.938132 1.836010 2.393523 2.931054 3.414481 3.878664 4.325654
0.075646 0.929974 1.819822 2.344826 2.847002 3.289189 3.708999 4.110080
0.081113 0.920611 1.799967 2.289138 2.755654 3.156009 3.533356 3.891222
0.086975 0.910591 1.780482 2.238268 2.672095 3.037562 3.377488 3.696024
0.093260 0.898813 1.756348 2.182052 2.583181 2.913914 3.217867 3.498672
0.100000 0.886394 1.733879 2.131105 2.504485 2.806068 3.082056 3.335503
0.107227 0.872245 1.708205 2.078823 2.424557 2.700351 2.951666 3.182831
0.114976 0.856394 1.680989 2.028667 2.350029 2.603097 2.834140 3.050730
0.123285 0.838808 1.651055 1.977614 2.276789 2.510447 2.725740 2.934317
0.132194 0.819501 1.619030 1.926702 2.204289 2.419261 2.620363 2.824018
0.141747 0.798417 1.584946 1.877173 2.136036 2.333509 2.520652 2.720280
0.151991 0.774911 1.547923 1.827330 2.069176 2.248450 2.421048 2.615545
0.162975 0.749410 1.507692 1.777323 2.005746 2.167797 2.325438 2.511578
0.174753 0.721606 1.463793 1.726611 1.945768 2.092506 2.237104 2.413636
0.187382 0.691143 1.414758 1.673591 1.887445 2.021562 2.155379 2.319485
0.200923 0.657884 1.359198 1.617582 1.831964 1.958934 2.086986 2.238873
0.215444 0.621642 1.295257 1.555576 1.775347 1.901971 2.030857 2.171944
0.231013 0.581593 1.220139 1.483864 1.713979 1.848223 1.985390 2.119453
0.247708 0.537645 1.133572 1.400041 1.641901 1.790424 1.940886 2.071922
0.265609 0.489927 1.035869 1.302502 1.554916 1.722642 1.891354 2.025055
0.284804 0.439294 0.930004 1.193093 1.452781 1.640449 1.828307 1.969807
0.305386 0.386445 0.818075 1.073172 1.335097 1.540420 1.746524 1.901747
0.327455 0.333773 0.705410 0.947641 1.204032 1.419466 1.637328 1.807988
0.351119 0.282189 0.593773 0.816865 1.056261 1.269023 1.486565 1.667002
0.376494 0.233970 0.488906 0.687866 0.900852 1.099226 1.304208 1.483560
0.403702 0.190390 0.394422 0.566004 0.747279 0.923721 1.107293 1.274993
0.432876 0.152834 0.313961 0.457688 0.607090 0.758458 0.916009 1.064744
0.464159 0.122431 0.249801 0.368375 0.489806 0.615623 0.746021 0.871936
0.497702 0.098822 0.200707 0.298303 0.397093 0.499612 0.605268 0.708506
0.533670 0.080596 0.163166 0.243659 0.324349 0.407334 0.492463 0.576221
0.572237 0.065126 0.131397 0.196725 0.261520 0.327492 0.394828 0.461541
0.613591 0.050090 0.100694 0.151081 0.200434 0.250282 0.300873 0.351349
