# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.481244 5.456882 4.518475 5.214936 nan nan nan
0.001072 5.411571 5.384672 4.419973 4.762174 nan nan nan
0.001150 5.341843 5.319282 4.343985 4.567814 nan nan nan
0.001233 5.272169 5.246991 4.303052 4.463030 nan nan nan
0.001322 5.202485 5.177517 4.280268 4.401829 nan nan nan
0.001417 5.132524 5.109082 4.268723 4.551769 nan nan nan
0.001520 5.062915 5.041338 4.187161 4.434212 nan nan nan
0.001630 4.993014 4.970012 4.088438 4.317488 nan nan nan
0.001748 4.923294 4.900130 4.050173 4.232991 nan nan nan
0.001874 4.853628 4.833991 3.953061 4.197644 nan nan nan
0.002009 4.783824 4.763706 3.889831 3.976081 nan nan nan
0.002154 4.714081 4.694814 3.834903 3.844220 3.583519 nan nan
0.002310 4.644334 4.628320 3.791005 3.823688 3.784190 nan nan
0.002477 4.574575 4.556635 3.715481 3.713972 4.110874 nan nan
0.002656 4.504864 4.486709 3.645009 3.678246 3.258097 nan nan
0.002848 4.435152 4.416998 3.562002 3.584557 2.726919 nan nan
0.003054 4.365301 4.347881 3.494351 3.551348 2.966745 nan nan
0.003275 4.295374 4.279844 3.415648 3.515886 2.967561 nan nan
0.003511 4.225589 4.210205 3.355575 3.459633 3.117950 nan nan
0.003765 4.155816 4.140611 3.285244 3.302969 3.301991 nan nan
0.004037 4.086093 4.070120 3.209401 3.219149 3.042252 2.351375 nan
0.004329 4.016373 4.001781 3.141162 3.132099 3.084286 2.602690 nan
0.004642 3.946623 3.932033 3.071035 3.027284 3.031000 2.970414 nan
0.004977 3.876905 3.862306 2.997921 2.939555 3.024558 3.277145 nan
0.005337 3.807126 3.792091 2.925886 2.867805 2.921920 3.258097 nan
0.005722 3.737378 3.722164 2.855937 2.809613 2.792856 2.268684 1.791759
0.006136 3.667680 3.652844 2.790550 2.747681 2.750188 2.290006 1.673976
0.006579 3.597940 3.583939 2.721995 2.663565 2.578646 2.434410 1.992430
0.007055 3.528228 3.513888 2.654298 2.598572 2.504433 2.375610 2.110213
0.007565 3.458500 3.444043 2.584129 2.521151 2.421492 2.216872 2.079442
0.008111 3.388758 3.374759 2.516516 2.453628 2.331225 2.302585 2.358155
0.008697 3.318993 3.305002 2.446431 2.394678 2.293690 2.348395 2.618438
0.009326 3.249326 3.235734 2.379338 2.325398 2.211428 2.214067 2.753661
0.010000 3.179597 3.165900 2.310347 2.257867 2.111472 2.089526 2.189532
0.010723 3.109924 3.096334 2.243481 2.187458 2.041396 2.047524 2.013595
0.011498 3.040268 3.026844 2.174953 2.119187 1.966493 1.935263 2.039081
0.012328 2.970595 2.957310 2.106817 2.051596 1.888375 1.867051 1.888151
0.013219 2.900960 2.887666 2.038289 1.985834 1.827693 1.824717 1.845085
0.014175 2.831309 2.818085 1.970909 1.919394 1.766464 1.765474 1.768019
0.015199 2.761711 2.748829 1.903229 1.855015 1.703526 1.672730 1.673868
0.016298 2.692185 2.679476 1.835705 1.788880 1.643190 1.622493 1.625151
0.017475 2.622710 2.610458 1.768584 1.719998 1.578391 1.557213 1.561419
0.018738 2.553204 2.541669 1.701878 1.654111 1.512611 1.486191 1.481644
0.020092 2.483751 2.472345 1.635123 1.586918 1.446486 1.429044 1.417307
0.021544 2.414365 2.403436 1.569166 1.520987 1.382340 1.362777 1.347180
0.023101 2.345056 2.334749 1.503934 1.455727 1.315185 1.297317 1.279866
0.024771 2.275785 2.265962 1.439221 1.392099 1.252976 1.233445 1.210545
0.026561 2.206596 2.197166 1.374935 1.327306 1.189900 1.168677 1.146380
0.028480 2.137493 2.128752 1.311559 1.264395 1.127125 1.106105 1.082067
0.030539 2.068486 2.060492 1.249353 1.202546 1.065372 1.045477 1.021281
0.032745 1.999607 1.992510 1.187998 1.141723 1.005032 0.985131 0.958984
0.035112 1.930822 1.924679 1.127822 1.081360 0.945685 0.925763 0.900288
