# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.004471 0.000032 0.000016 0.000011 0.000008 0.000005 0.000003
0.001070 0.004785 0.000037 0.000019 0.000013 0.000009 0.000007 0.000004
0.001145 0.005120 0.000043 0.000022 0.000015 0.000011 0.000008 0.000006
0.001225 0.005479 0.000050 0.000026 0.000018 0.000013 0.000010 0.000007
0.001311 0.005864 0.000058 0.000031 0.000021 0.000015 0.000011 0.000008
0.001403 0.006276 0.000066 0.000036 0.000025 0.000018 0.000014 0.000010
0.001502 0.006717 0.000076 0.000042 0.000029 0.000022 0.000016 0.000012
0.001607 0.007188 0.000087 0.000048 0.000033 0.000025 0.000019 0.000014
0.001720 0.007691 0.000099 0.000055 0.000039 0.000029 0.000022 0.000016
0.001840 0.008230 0.000112 0.000064 0.000045 0.000034 0.000026 0.000019
0.001969 0.008806 0.000128 0.000074 0.000052 0.000039 0.000030 0.000022
0.002108 0.009424 0.000145 0.000084 0.000059 0.000045 0.000035 0.000026
0.002255 0.010085 0.000165 0.000096 0.000068 0.000052 0.000040 0.000030
0.002414 0.010790 0.000187 0.000109 0.000077 0.000059 0.000046 0.000035
0.002583 0.011545 0.000212 0.000125 0.000088 0.000068 0.000053 0.000041
0.002764 0.012355 0.000241 0.000142 0.000100 0.000078 0.000061 0.000047
0.002958 0.013220 0.000273 0.000162 0.000115 0.000089 0.000070 0.000054
0.003165 0.014144 0.000309 0.000183 0.000130 0.000101 0.000080 0.000062
0.003387 0.015135 0.000351 0.000209 0.000148 0.000115 0.000090 0.000070
0.003625 0.016194 0.000399 0.000238 0.000168 0.000131 0.000103 0.000081
0.003879 0.017327 0.000452 0.000270 0.000191 0.000148 0.000117 0.000091
0.004151 0.018541 0.000513 0.000308 0.000217 0.000169 0.000133 0.000103
0.004442 0.019836 0.000583 0.000351 0.000248 0.000193 0.000152 0.000118
0.004753 0.021224 0.000662 0.000401 0.000284 0.000221 0.000174 0.000135
0.005087 0.022709 0.000752 0.000458 0.000324 0.000252 0.000198 0.000153
0.005444 0.024297 0.000855 0.000525 0.000372 0.000289 0.000227 0.000176
0.005825 0.025994 0.000970 0.000600 0.000427 0.000331 0.000260 0.000202
