# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 0.999953 2.178846 2.412435 2.703532 2.975368 3.301800 3.915020
0.001070 0.997160 2.124446 2.315744 2.422785 2.627479 3.114555 3.757118
0.001145 1.001881 2.101364 2.263500 2.357743 2.418728 2.565476 2.820436
0.001225 1.001232 2.101384 2.406962 2.436296 2.440644 2.555364 2.848066
0.001311 1.002467 2.071995 2.329117 2.454182 2.562556 2.753143 2.969936
0.001403 1.001227 2.043527 2.218959 2.316975 2.389678 2.481797 2.482761
0.001502 0.999529 1.917035 2.025368 2.021162 2.089032 2.112301 2.086413
0.001607 0.997736 1.921700 2.115226 2.191246 2.261498 2.241865 2.179452
0.001720 0.999724 1.890502 2.092603 2.178831 2.263711 2.364587 2.500926
0.001840 0.998638 1.932592 2.098098 2.136514 2.174899 2.212328 2.312173
0.001969 1.000882 1.906592 2.000470 2.072862 2.139591 2.258509 2.438018
0.002108 0.999239 1.833558 1.880539 1.908220 1.976476 2.046106 2.125602
0.002255 0.998032 1.878218 1.942741 1.929054 2.001862 2.068288 2.121162
0.002414 0.997218 1.862089 1.946571 1.970084 2.036189 2.119748 2.230205
0.002583 1.000757 1.846860 1.931206 1.939668 1.948278 1.969503 2.017113
0.002764 0.998070 1.871327 1.935539 1.955980 1.994402 2.089441 2.200476
0.002958 0.997064 1.819073 1.845014 1.833708 1.845751 1.896335 1.988659
0.003165 0.999418 1.876900 1.915370 1.875127 1.865826 1.868334 1.924002
0.003387 0.997827 1.892120 1.931233 1.929358 1.965206 1.990753 2.015055
0.003625 0.997654 1.864628 1.880633 1.857812 1.848739 1.834188 1.795261
0.003879 0.998725 1.864076 1.894033 1.905369 1.903977 1.896665 1.866563
0.004151 0.996446 1.876149 1.950841 1.987591 2.004732 1.994377 1.975197
0.004442 0.997894 1.881051 1.974112 1.979094 1.968036 1.944817 1.922986
0.004753 0.997799 1.871224 1.954152 1.965757 1.933171 1.910965 1.920089
0.005087 0.997449 1.896112 2.006101 2.033353 2.019772 2.016148 2.032863
0.005444 0.995785 1.865520 1.974653 2.021208 2.019911 2.032017 2.036103
0.005825 0.996578 1.869379 1.968154 2.004005 1.999732 2.012850 2.010361
0.006234 0.995482 1.863869 1.941789 1.986708 2.017668 2.056398 2.054241
0.006671 0.995489 1.849854 1.910276 1.928990 1.934809 1.948186 1.932303
0.007139 0.994234 1.828429 1.872110 1.877416 1.884551 1.903090 1.891143
0.007639 0.994455 1.841252 1.875953 1.866588 1.867377 1.875851 1.868670
0.008175 0.994726 1.844899 1.883572 1.872844 1.869616 1.877963 1.888427
0.008748 0.993163 1.840400 1.880876 1.876441 1.876474 1.891042 1.914487
0.009362 0.993241 1.830104 1.873511 1.870564 1.862989 1.859625 1.876137
0.010018 0.992501 1.827594 1.875783 1.869302 1.854612 1.851226 1.871057
0.010721 0.992114 1.840018 1.907342 1.912595 1.893242 1.880344 1.885132
0.011473 0.990245 1.817481 1.887504 1.902535 1.896676 1.903653 1.918050
0.012277 0.989794 1.817050 1.884266 1.900269 1.887390 1.889800 1.886590
0.013138 0.989309 1.822916 1.890195 1.914083 1.915604 1.921835 1.908957
0.014060 0.988401 1.802934 1.860234 1.885485 1.892345 1.904927 1.893599
0.015045 0.987444 1.795983 1.845062 1.869365 1.877619 1.891458 1.881326
0.016101 0.986534 1.797532 1.847499 1.870130 1.876099 1.882441 1.874689
0.017230 0.985384 1.789045 1.831444 1.847665 1.853877 1.860483 1.859434
0.018438 0.984331 1.802678 1.846813 1.861474 1.863729 1.867808 1.870142
0.019731 0.984023 1.813437 1.857461 1.870429 1.872319 1.880127 1.886998
0.021115 0.982623 1.813178 1.860021 1.873051 1.873475 1.879008 1.885594
0.022595 0.982066 1.822588 1.869293 1.879515 1.876937 1.881863 1.887001
0.024180 0.980472 1.833085 1.883449 1.896135 1.898339 1.905819 1.906810
0.025875 0.979042 1.838108 1.896141 1.908119 1.908741 1.916661 1.913996
0.027690 0.977740 1.847840 1.907391 1.917919 1.915923 1.922339 1.912824
0.029632 0.975152 1.844924 1.906649 1.913927 1.914725 1.922194 1.914207
0.031710 0.973066 1.848704 1.915687 1.920225 1.917414 1.924137 1.915400
0.033933 0.970662 1.849148 1.919268 1.929575 1.927136 1.933618 1.921217
0.036313 0.967428 1.836812 1.896374 1.906690 1.910940 1.921982 1.912816
0.038860 0.964724 1.835685 1.895246 1.905618 1.912919 1.925574 1.917565
0.041585 0.959838 1.810142 1.868121 1.884380 1.900120 1.918208 1.917875
0.044501 0.956218 1.800416 1.855351 1.876162 1.891209 1.905955 1.910213
0.047622 0.951027 1.784026 1.841777 1.867734 1.884564 1.898824 1.904990
0.050961 0.944070 1.761810 1.832216 1.869306 1.884013 1.891097 1.899250
0.054535 0.937934 1.749455 1.829249 1.875357 1.887970 1.890517 1.899170
0.058359 0.932332 1.744380 1.829920 1.881048 1.891610 1.893964 1.899274
0.062452 0.927764 1.749405 1.841537 1.893535 1.902940 1.909704 1.909597
0.066831 0.922955 1.749427 1.845271 1.900934 1.914226 1.927999 1.924210
0.071518 0.916630 1.739404 1.832424 1.893269 1.922262 1.947178 1.945053
0.076533 0.909311 1.724059 1.811635 1.874458 1.918458 1.951255 1.957558
0.081900 0.899363 1.702522 1.788004 1.849237 1.899210 1.934366 1.960077
0.087644 0.888714 1.682645 1.769954 1.836936 1.892867 1.930118 1.972654
0.093790 0.877308 1.665992 1.757173 1.834156 1.902044 1.945345 2.003140
0.100367 0.863969 1.652562 1.753734 1.834863 1.915138 1.966108 2.037427
0.107405 0.851503 1.639496 1.748898 1.837596 1.933589 1.994273 2.078990
0.114937 0.838301 1.623187 1.742391 1.842019 1.949056 2.023574 2.130156
