# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.410055 4.929564 0.687508 0.417594 0.340859 0.375020 0.444782
0.001070 5.342282 4.849662 0.671676 0.397864 0.322435 0.352895 0.403220
0.001145 5.274697 4.773258 0.658710 0.390609 0.308561 0.319883 0.359669
0.001225 5.206793 4.698738 0.647721 0.384222 0.304428 0.309936 0.342389
0.001311 5.138932 4.624173 0.627010 0.382234 0.304133 0.302161 0.322550
0.001403 5.070988 4.551684 0.609583 0.373757 0.296788 0.289244 0.307857
0.001502 5.003128 4.481040 0.597693 0.367114 0.291861 0.283000 0.307791
0.001607 4.935383 4.418854 0.590350 0.367399 0.287261 0.281423 0.309546
0.001720 4.867760 4.356231 0.577233 0.362246 0.282499 0.282754 0.313776
0.001840 4.800001 4.295857 0.563536 0.356402 0.276746 0.275917 0.304536
0.001969 4.732317 4.232556 0.552318 0.353798 0.274145 0.273380 0.297768
0.002108 4.664480 4.171170 0.545956 0.348892 0.269622 0.265320 0.285602
0.002255 4.596755 4.114623 0.542771 0.347016 0.264996 0.260601 0.280214
0.002414 4.529111 4.054966 0.538398 0.347944 0.260061 0.256098 0.276630
0.002583 4.461523 3.996348 0.532672 0.346350 0.255581 0.250435 0.269144
0.002764 4.393694 3.939002 0.526955 0.345776 0.254997 0.248996 0.265917
0.002958 4.326048 3.879815 0.522603 0.344391 0.252393 0.242555 0.258391
0.003165 4.258470 3.824102 0.520845 0.345157 0.251577 0.239126 0.252134
0.003387 4.190733 3.764629 0.518238 0.347885 0.252207 0.238956 0.248361
0.003625 4.123103 3.704016 0.515587 0.348012 0.249777 0.237225 0.246714
0.003879 4.055485 3.645255 0.514502 0.349559 0.250392 0.238211 0.249352
0.004151 3.987795 3.586604 0.512472 0.348790 0.250487 0.238707 0.251392
0.004442 3.920259 3.526981 0.507409 0.346299 0.249325 0.239409 0.252692
0.004753 3.852624 3.467123 0.501102 0.345962 0.250074 0.240982 0.254172
0.005087 3.784997 3.407925 0.495481 0.345175 0.252283 0.242487 0.253553
0.005444 3.717393 3.347017 0.488026 0.343328 0.253203 0.242733 0.252421
0.005825 3.649901 3.288069 0.480630 0.340173 0.253291 0.241913 0.252144
0.006234 3.582357 3.228913 0.473935 0.337743 0.253581 0.241023 0.252312
0.006671 3.514886 3.170056 0.468654 0.334698 0.251483 0.238398 0.252459
0.007139 3.447415 3.112150 0.464559 0.333430 0.251088 0.237492 0.253535
0.007639 3.380028 3.055611 0.461598 0.333070 0.250605 0.236235 0.254345
0.008175 3.312627 2.998217 0.459246 0.333705 0.250551 0.235661 0.254831
0.008748 3.245208 2.940595 0.456625 0.334432 0.250770 0.235095 0.254122
0.009362 3.177894 2.883172 0.453882 0.334733 0.250768 0.234108 0.252533
0.010018 3.110575 2.826452 0.450940 0.334933 0.251281 0.234336 0.251414
0.010721 3.043307 2.769852 0.447674 0.335372 0.252277 0.234565 0.250070
0.011473 2.976064 2.712384 0.443111 0.335016 0.253588 0.235439 0.249746
0.012277 2.908949 2.656316 0.438365 0.333997 0.253985 0.234967 0.248770
0.013138 2.841863 2.600247 0.433809 0.332913 0.254858 0.234803 0.248988
0.014060 2.774811 2.543748 0.429249 0.331294 0.254755 0.234381 0.249860
0.015045 2.707820 2.488541 0.425365 0.329582 0.254290 0.233528 0.250628
0.016101 2.640894 2.433741 0.422039 0.327935 0.253731 0.232590 0.251315
0.017230 2.574030 2.378774 0.418652 0.326401 0.253326 0.232160 0.251840
0.018438 2.507244 2.324304 0.415779 0.325302 0.252905 0.231713 0.251911
0.019731 2.440529 2.268839 0.412787 0.324308 0.252752 0.231436 0.251753
0.021115 2.373835 2.212624 0.409803 0.323429 0.252624 0.230907 0.251287
0.022595 2.307236 2.156332 0.406629 0.322546 0.252596 0.230532 0.250841
0.024180 2.240674 2.099364 0.403463 0.321853 0.252770 0.230198 0.250493
0.025875 2.174221 2.041576 0.400050 0.320993 0.252621 0.229691 0.250426
0.027690 2.107864 1.983351 0.396116 0.320181 0.252579 0.229154 0.250606
0.029632 2.041596 1.924379 0.392080 0.319468 0.252714 0.228719 0.251251
0.031710 1.975503 1.865428 0.387897 0.318975 0.252660 0.228213 0.251792
0.033933 1.909552 1.806080 0.383357 0.318667 0.252850 0.227758 0.252385
0.036313 1.843763 1.746539 0.378604 0.317968 0.253016 0.227318 0.253225
0.038860 1.778194 1.687615 0.374567 0.317269 0.252728 0.226570 0.253846
0.041585 1.712808 1.628584 0.370530 0.316566 0.252233 0.225712 0.254389
0.044501 1.647753 1.570953 0.366601 0.315464 0.251166 0.224486 0.254412
0.047622 1.582943 1.513736 0.362877 0.314054 0.250146 0.223487 0.254123
0.050961 1.518486 1.457278 0.358963 0.312294 0.249006 0.222520 0.253705
0.054535 1.454500 1.401854 0.354191 0.309781 0.248009 0.222040 0.253153
0.058359 1.390929 1.346851 0.348783 0.306656 0.247154 0.221868 0.252566
0.062452 1.327739 1.291813 0.342985 0.303190 0.246438 0.221708 0.252206
0.066831 1.264858 1.236125 0.336741 0.299666 0.245801 0.221250 0.252213
0.071518 1.202303 1.180109 0.330245 0.295893 0.244900 0.220316 0.252470
0.076533 1.140176 1.124344 0.323941 0.291770 0.242935 0.218628 0.252614
