# r C0m=2 C0m=3 C0m=4 C0m=5 C0m=6 C0m=7 C1m=2 C1m=3 C1m=4 C1m=5 C1m=6 C1m=7 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000008 0.000002 0.000001 0.000000 0.000000 0.000000
0.001072 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000009 0.000002 0.000001 0.000000 0.000000 0.000000
0.001150 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000011 0.000002 0.000001 0.000001 0.000000 0.000000
0.001233 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000013 0.000003 0.000001 0.000001 0.000000 0.000000
0.001322 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000015 0.000003 0.000002 0.000001 0.000001 0.000000
0.001417 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000017 0.000004 0.000002 0.000001 0.000001 0.000000
0.001520 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000020 0.000004 0.000002 0.000001 0.000001 0.000000
0.001630 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000024 0.000005 0.000003 0.000001 0.000001 0.000000
0.001748 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000028 0.000007 0.000003 0.000002 0.000001 0.000001
0.001874 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000032 0.000008 0.000004 0.000002 0.000001 0.000001
0.002009 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000037 0.000010 0.000005 0.000002 0.000002 0.000001
0.002154 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000043 0.000012 0.000006 0.000003 0.000002 0.000001
0.002310 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000051 0.000015 0.000008 0.000004 0.000002 0.000002
0.002477 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000059 0.000018 0.000009 0.000005 0.000003 0.000002
0.002656 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000068 0.000022 0.000012 0.000006 0.000004 0.000003
0.002848 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000078 0.000026 0.000015 0.000008 0.000005 0.000003
0.003054 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000090 0.000030 0.000018 0.000011 0.000006 0.000004
0.003275 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000105 0.000036 0.000021 0.000013 0.000008 0.000005
0.003511 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000121 0.000042 0.000025 0.000016 0.000010 0.000006
0.003765 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000139 0.000049 0.000029 0.000019 0.000013 0.000008
0.004037 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000158 0.000058 0.000034 0.000023 0.000015 0.000010
0.004329 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000181 0.000067 0.000040 0.000026 0.000018 0.000013
0.004642 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000207 0.000077 0.000047 0.000031 0.000021 0.000015
0.004977 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000235 0.000090 0.000055 0.000036 0.000025 0.000018
0.005337 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000266 0.000103 0.000065 0.000043 0.000030 0.000021
0.005722 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000303 0.000119 0.000076 0.000052 0.000036 0.000025
0.006136 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000346 0.000136 0.000088 0.000061 0.000043 0.000031
0.006579 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000394 0.000155 0.000100 0.000071 0.000051 0.000037
0.007055 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000448 0.000176 0.000114 0.000081 0.000060 0.000045
0.007565 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000508 0.000202 0.000130 0.000092 0.000069 0.000053
0.008111 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000577 0.000231 0.000148 0.000105 0.000078 0.000061
0.008697 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000656 0.000263 0.000169 0.000119 0.000089 0.000069
0.009326 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000748 0.000301 0.000193 0.000136 0.000101 0.000078
0.010000 1005951.239385 0.000000 0.000000 0.000000 0.000000 0.000000 1.000077 0.000000 0.000000 0.000000 0.000000 0.000000 0.000852 0.000345 0.000220 0.000156 0.000115 0.000088
0.010723 1193273.477358 0.000000 0.000000 0.000000 0.000000 0.000000 1.000081 0.000000 0.000000 0.000000 0.000000 0.000000 0.000972 0.000396 0.000252 0.000177 0.000131 0.000101
0.011498 1384361.295852 0.000000 0.000000 0.000000 0.000000 0.000000 1.000084 0.000000 0.000000 0.000000 0.000000 0.000000 0.001105 0.000453 0.000288 0.000202 0.000149 0.000114
0.012328 1617128.242324 0.000000 0.000000 0.000000 0.000000 0.000000 1.000087 0.000000 0.000000 0.000000 0.000000 0.000000 0.001258 0.000518 0.000329 0.000230 0.000170 0.000131
0.013219 1894002.343363 0.000000 0.000000 0.000000 0.000000 0.000000 1.000090 0.000000 0.000000 0.000000 0.000000 0.000000 0.001430 0.000595 0.000377 0.000263 0.000193 0.000148
0.014175 2194517.548468 0.000000 0.000000 0.000000 0.000000 0.000000 1.000093 0.000000 0.000000 0.000000 0.000000 0.000000 0.001623 0.000682 0.000433 0.000302 0.000220 0.000169
0.015199 2550232.527004 0.000000 0.000000 0.000000 0.000000 0.000000 1.000096 0.000000 0.000000 0.000000 0.000000 0.000000 0.001844 0.000782 0.000499 0.000347 0.000252 0.000191
0.016298 2958785.273357 0.000000 0.000000 0.000000 0.000000 0.000000 1.000099 0.000000 0.000000 0.000000 0.000000 0.000000 0.002095 0.000896 0.000574 0.000399 0.000290 0.000219
0.017475 3420609.017313 0.000000 0.000000 0.000000 0.000000 0.000000 1.000103 0.000000 0.000000 0.000000 0.000000 0.000000 0.002375 0.001025 0.000660 0.000461 0.000334 0.000251
0.018738 3937235.900445 0.000000 0.000000 0.000000 0.000000 0.000000 1.000106 0.000000 0.000000 0.000000 0.000000 0.000000 0.002693 0.001170 0.000754 0.000529 0.000386 0.000290
0.020092 4533926.318347 0.000000 0.000000 0.000000 0.000000 0.000000 1.000109 0.000000 0.000000 0.000000 0.000000 0.000000 0.003060 0.001339 0.000863 0.000607 0.000445 0.000336
0.021544 5231987.185172 0.000000 0.000000 0.000000 0.000000 0.000000 1.000112 0.000000 0.000000 0.000000 0.000000 0.000000 0.003475 0.001531 0.000987 0.000694 0.000511 0.000388
0.023101 6018975.420134 2386848.092898 0.000000 0.000000 0.000000 0.000000 1.000115 1.000097 0.000000 0.000000 0.000000 0.000000 0.003944 0.001752 0.001127 0.000793 0.000584 0.000444
0.024771 6923931.642840 2871890.832923 0.000000 0.000000 0.000000 0.000000 1.000118 1.000100 0.000000 0.000000 0.000000 0.000000 0.004474 0.002004 0.001291 0.000907 0.000669 0.000509
0.026561 7963304.552049 3454691.772107 0.000000 0.000000 0.000000 0.000000 1.000121 1.000103 0.000000 0.000000 0.000000 0.000000 0.005077 0.002293 0.001480 0.001041 0.000766 0.000583
0.028480 9132779.331136 4046195.206005 0.000000 0.000000 0.000000 0.000000 1.000124 1.000106 0.000000 0.000000 0.000000 0.000000 0.005753 0.002620 0.001687 0.001190 0.000881 0.000669
0.030539 10445611.411904 4676795.388154 0.000000 0.000000 0.000000 0.000000 1.000127 1.000109 0.000000 0.000000 0.000000 0.000000 0.006506 0.002992 0.001927 0.001360 0.001011 0.000771
0.032745 11960798.352646 5418354.732621 0.000000 0.000000 0.000000 0.000000 1.000130 1.000113 0.000000 0.000000 0.000000 0.000000 0.007367 0.003419 0.002203 0.001551 0.001153 0.000883
0.035112 13684098.500898 6277468.628040 3846199.941800 0.000000 0.000000 0.000000 1.000133 1.000116 1.000106 0.000000 0.000000 0.000000 0.008337 0.003914 0.002528 0.001774 0.001315 0.001010
0.037649 15618620.036980 7240956.518186 4527715.336930 2954722.068044 2037255.722098 0.000000 1.000136 1.000119 1.000109 1.000101 1.000093 0.000000 0.009427 0.004470 0.002896 0.002031 0.001503 0.001155
0.040370 17805509.973041 8350585.098153 5289900.330914 3531656.925460 2429626.315665 0.000000 1.000138 1.000122 1.000112 1.000104 1.000097 0.000000 0.010659 0.005107 0.003318 0.002325 0.001719 0.001320
0.043288 20260234.010839 9608063.242320 6125340.686352 4129969.936315 2929180.813521 0.000000 1.000141 1.000125 1.000115 1.000107 1.000100 0.000000 0.012045 0.005832 0.003801 0.002664 0.001970 0.001512
0.046416 23036992.944043 11034921.925040 7085304.312693 4810710.233623 3427017.104791 0.000000 1.000144 1.000128 1.000118 1.000110 1.000103 0.000000 0.013614 0.006652 0.004353 0.003053 0.002258 0.001731
0.049770 26208427.214746 12680800.028780 8186160.596521 5608193.519633 4004012.770679 0.000000 1.000147 1.000131 1.000122 1.000114 1.000107 0.000000 0.015399 0.007593 0.004980 0.003501 0.002593 0.001986
0.053367 29773806.359649 14566773.136395 9426514.896591 6497327.604721 4665962.733069 3392899.156373 1.000150 1.000134 1.000125 1.000117 1.000110 1.000104 0.017415 0.008666 0.005686 0.004008 0.002977 0.002281
0.057224 33804302.445639 16717671.431261 10857092.682762 7543490.787678 5428588.166879 4014908.276169 1.000153 1.000137 1.000128 1.000120 1.000113 1.000107 0.019696 0.009887 0.006494 0.004588 0.003414 0.002614
0.061359 38410783.244704 19200868.546495 12488174.755430 8736427.624116 6329934.781835 4725004.254041 1.000156 1.000140 1.000131 1.000123 1.000116 1.000110 0.022299 0.011288 0.007414 0.005247 0.003917 0.003003
0.065793 43644123.159927 22050381.515205 14360774.862411 10088427.945607 7343719.073504 5525409.923152 1.000159 1.000144 1.000134 1.000126 1.000120 1.000114 0.025255 0.012899 0.008470 0.005999 0.004489 0.003449
0.070548 49629180.274413 25354201.530798 16519906.948731 11638251.704504 8503632.055284 6420504.095284 1.000162 1.000147 1.000137 1.000129 1.000123 1.000117 0.028623 0.014761 0.009682 0.006856 0.005137 0.003955
0.075646 56473751.147547 29166194.976027 19016789.884157 13426794.324114 9847405.468958 7470230.798344 1.000164 1.000150 1.000140 1.000133 1.000126 1.000120 0.032460 0.016913 0.011080 0.007841 0.005880 0.004537
0.081113 64286758.861057 33565598.808273 21909390.353240 15494904.961999 11397057.525888 8683286.263192 1.000167 1.000153 1.000144 1.000136 1.000129 1.000123 0.036806 0.019392 0.012700 0.008980 0.006730 0.005206
