# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 2.047393 2.366075 3.911548 3.472768 6.463159 17.828344
0.001110 2.082590 2.230222 2.261312 3.185931 1.499793 3.231713
0.001191 2.499792 2.474402 2.410155 2.745516 5.056536 4.908474
0.001277 2.164304 1.964471 1.569178 2.166348 1.929864 3.942703
0.001369 2.214012 2.648552 2.404768 2.899370 1.574738 0.358312
0.001468 2.205529 2.457384 2.505773 2.865743 2.646643 0.349571
0.001574 2.401258 2.952428 2.264042 1.902237 2.969260 1.475421
0.001688 2.336432 3.007451 2.430842 2.454432 3.064168 3.047696
0.001810 2.097220 2.809095 2.485685 2.247959 2.978415 4.279542
0.001940 2.143931 3.254729 3.907556 2.477019 2.236431 3.556019
0.002081 2.148694 2.819459 3.947843 3.432724 2.355035 3.060323
0.002231 2.253616 2.800687 2.969097 3.432248 3.561041 2.765261
0.002392 2.151248 2.752476 3.154995 3.265864 3.550216 3.550971
0.002565 2.081869 2.643815 3.111569 3.388649 2.786084 3.368298
0.002750 2.000703 2.405123 3.159177 3.744049 2.902249 2.615977
0.002949 2.041664 2.239419 2.862270 3.789076 4.078790 2.624624
0.003162 2.120400 2.322842 2.462376 3.122030 3.794198 3.237878
0.003391 2.085676 2.340884 2.230248 2.590385 3.346820 3.750945
0.003636 1.949636 2.339476 2.355888 2.531875 3.356661 3.917318
0.003899 1.874542 2.255251 2.428395 2.431663 2.802198 3.754154
0.004180 1.905539 2.133400 2.266145 2.198291 2.504289 3.139928
0.004482 1.900068 2.106238 2.205577 2.338348 2.324019 2.686020
0.004806 1.840033 2.069226 2.291606 2.364145 2.300473 2.290906
0.005154 1.805042 2.020424 2.357916 2.467026 2.430446 2.681242
0.005526 1.863540 2.029940 2.270146 2.511285 2.653166 2.405478
0.005926 1.886797 1.910380 2.086886 2.424486 2.701832 2.837729
0.006354 1.850512 1.893256 1.904481 2.110434 2.460700 2.524388
0.006813 1.829685 1.867364 1.803367 1.991280 2.413854 2.737705
0.007305 1.822768 1.945255 1.888577 1.831762 1.833436 2.369763
0.007833 1.825558 1.907018 1.910266 1.862760 1.892661 2.074411
0.008399 1.829348 1.872106 1.837524 1.825723 1.813562 1.775243
0.009006 1.892742 1.948203 1.899236 1.869055 1.828675 1.764529
0.009657 1.859680 1.955890 1.925268 1.936166 1.896099 1.800374
0.010355 1.881752 1.947600 1.947605 1.853556 1.828518 1.907350
0.011103 1.837374 1.923967 1.888160 1.879227 1.808829 1.772515
0.011906 1.863703 1.934917 1.916915 1.853350 1.917870 1.915204
0.012766 1.838025 1.979297 1.972026 1.919763 1.797453 1.783581
0.013689 1.811634 1.971711 1.972187 1.989001 1.907408 1.856943
0.014678 1.830162 1.962005 2.034522 1.974119 1.947319 1.796292
0.015739 1.827879 1.944464 2.006260 2.007399 2.013437 1.960825
0.016876 1.797239 1.928571 1.992929 2.073239 1.999275 1.964292
0.018096 1.805213 1.897437 1.905010 1.970255 2.090896 2.050171
0.019403 1.827254 1.927654 1.935489 1.965094 2.043996 2.124976
0.020806 1.825914 1.927091 1.927320 1.920489 1.955249 2.059094
0.022309 1.811506 1.927026 1.905621 1.908494 1.918687 1.925126
0.023921 1.810244 1.923897 1.947248 1.931899 1.946907 1.947627
0.025650 1.809487 1.933828 1.953584 1.965812 1.946921 1.945627
0.027504 1.793139 1.908176 1.876593 1.928184 1.997072 1.972880
0.029492 1.763325 1.904090 1.910448 1.906700 1.976263 2.035255
0.031623 1.780248 1.913589 1.917894 1.886229 1.889025 1.950032
0.033908 1.772757 1.935912 1.968559 1.925245 1.884589 1.927371
0.036359 1.761350 1.903249 1.946891 1.936051 1.912827 1.923636
0.038986 1.759980 1.910413 1.953301 1.940066 1.925520 1.911530
0.041803 1.752313 1.901803 1.946362 1.947875 1.951679 1.943126
