# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.002471 0.000007 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 0.002650 0.000008 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 0.002842 0.000010 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 0.003047 0.000011 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 0.003268 0.000013 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 0.003503 0.000015 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 0.003756 0.000017 0.000000 0.000000 0.000000 0.000000 0.000000
0.001630 0.004027 0.000019 0.000000 0.000000 0.000000 0.000000 0.000000
0.001748 0.004319 0.000022 0.000000 0.000000 0.000000 0.000000 0.000000
0.001874 0.004632 0.000025 0.000000 0.000000 0.000000 0.000000 0.000000
0.002009 0.004967 0.000029 0.000001 0.000000 0.000000 0.000000 0.000000
0.002154 0.005326 0.000033 0.000001 0.000000 0.000000 0.000000 0.000000
0.002310 0.005712 0.000038 0.000001 0.000000 0.000000 0.000000 0.000000
0.002477 0.006124 0.000044 0.000001 0.000000 0.000000 0.000000 0.000000
0.002656 0.006567 0.000051 0.000001 0.000000 0.000000 0.000000 0.000000
0.002848 0.007042 0.000058 0.000002 0.000000 0.000000 0.000000 0.000000
0.003054 0.007550 0.000067 0.000002 0.000000 0.000000 0.000000 0.000000
0.003275 0.008095 0.000077 0.000002 0.000000 0.000000 0.000000 0.000000
0.003511 0.008680 0.000089 0.000003 0.000000 0.000000 0.000000 0.000000
0.003765 0.009307 0.000102 0.000004 0.000000 0.000000 0.000000 0.000000
0.004037 0.009979 0.000117 0.000004 0.000000 0.000000 0.000000 0.000000
0.004329 0.010702 0.000135 0.000005 0.000000 0.000000 0.000000 0.000000
0.004642 0.011475 0.000155 0.000007 0.000000 0.000000 0.000000 0.000000
0.004977 0.012304 0.000178 0.000008 0.000000 0.000000 0.000000 0.000000
0.005337 0.013194 0.000204 0.000010 0.000001 0.000000 0.000000 0.000000
0.005722 0.014146 0.000235 0.000013 0.000001 0.000000 0.000000 0.000000
0.006136 0.015167 0.000270 0.000015 0.000001 0.000000 0.000000 0.000000
0.006579 0.016263 0.000310 0.000019 0.000001 0.000000 0.000000 0.000000
0.007055 0.017438 0.000357 0.000023 0.000002 0.000000 0.000000 0.000000
0.007565 0.018698 0.000411 0.000029 0.000002 0.000000 0.000000 0.000000
0.008111 0.020047 0.000472 0.000035 0.000003 0.000000 0.000000 0.000000
0.008697 0.021497 0.000543 0.000044 0.000004 0.000000 0.000000 0.000000
0.009326 0.023051 0.000624 0.000054 0.000006 0.000001 0.000000 0.000000
0.010000 0.024719 0.000718 0.000066 0.000008 0.000001 0.000000 0.000000
0.010723 0.026504 0.000824 0.000081 0.000010 0.000001 0.000000 0.000000
0.011498 0.028417 0.000947 0.000100 0.000013 0.000002 0.000000 0.000000
0.012328 0.030468 0.001088 0.000123 0.000017 0.000003 0.000000 0.000000
0.013219 0.032670 0.001250 0.000151 0.000023 0.000004 0.000001 0.000000
0.014175 0.035029 0.001437 0.000186 0.000030 0.000005 0.000001 0.000000
0.015199 0.037556 0.001650 0.000229 0.000039 0.000007 0.000001 0.000000
0.016298 0.040265 0.001896 0.000281 0.000051 0.000010 0.000002 0.000001
0.017475 0.043171 0.002178 0.000344 0.000068 0.000014 0.000003 0.000001
0.018738 0.046284 0.002501 0.000423 0.000088 0.000020 0.000005 0.000001
0.020092 0.049619 0.002874 0.000519 0.000116 0.000028 0.000007 0.000002
0.021544 0.053194 0.003301 0.000638 0.000152 0.000039 0.000011 0.000003
0.023101 0.057028 0.003791 0.000782 0.000199 0.000055 0.000016 0.000005
0.024771 0.061133 0.004351 0.000956 0.000260 0.000076 0.000024 0.000008
0.026561 0.065530 0.004993 0.001170 0.000338 0.000105 0.000035 0.000012
0.028480 0.070240 0.005730 0.001430 0.000439 0.000146 0.000051 0.000019
0.030539 0.075287 0.006573 0.001746 0.000570 0.000201 0.000075 0.000029
0.032745 0.080694 0.007537 0.002128 0.000738 0.000276 0.000109 0.000045
0.035112 0.086481 0.008644 0.002592 0.000953 0.000377 0.000158 0.000069
0.037649 0.092680 0.009909 0.003153 0.001228 0.000516 0.000228 0.000105
0.040370 0.099313 0.011356 0.003830 0.001578 0.000700 0.000327 0.000159
0.043288 0.106415 0.013008 0.004640 0.002017 0.000944 0.000465 0.000239
0.046416 0.114010 0.014894 0.005612 0.002570 0.001265 0.000655 0.000353
0.049770 0.122129 0.017038 0.006768 0.003257 0.001683 0.000914 0.000517
0.053367 0.130817 0.019487 0.008144 0.004108 0.002225 0.001265 0.000748
0.057224 0.140097 0.022267 0.009771 0.005156 0.002917 0.001731 0.001068
0.061359 0.150013 0.025431 0.011695 0.006437 0.003795 0.002344 0.001505
0.065793 0.160605 0.029023 0.013957 0.007995 0.004897 0.003139 0.002092
0.070548 0.171897 0.033094 0.016606 0.009872 0.006264 0.004152 0.002861
0.075646 0.183955 0.037711 0.019698 0.012120 0.007946 0.005433 0.003860
0.081113 0.196803 0.042931 0.023296 0.014797 0.009994 0.007027 0.005131
0.086975 0.210484 0.048824 0.027460 0.017954 0.012454 0.008974 0.006710
0.093260 0.225053 0.055478 0.032278 0.021670 0.015399 0.011339 0.008654
0.100000 0.240544 0.062972 0.037829 0.026018 0.018894 0.014180 0.011016
0.107227 0.257013 0.071401 0.044211 0.031081 0.023013 0.017558 0.013844
0.114976 0.274505 0.080874 0.051537 0.036964 0.027854 0.021565 0.017222
0.123285 0.293043 0.091480 0.059910 0.043763 0.033504 0.026274 0.021209
0.132194 0.312690 0.103367 0.069492 0.051626 0.040102 0.031812 0.025917
0.141747 0.333478 0.116657 0.080427 0.060695 0.047784 0.038308 0.031465
0.151991 0.355425 0.131478 0.092867 0.071121 0.056695 0.045901 0.037986
0.162975 0.378571 0.147968 0.106982 0.083085 0.067013 0.054767 0.045651
0.174753 0.402937 0.166305 0.122981 0.096798 0.078946 0.065116 0.054674
0.187382 0.428528 0.186624 0.141037 0.112461 0.092705 0.077179 0.065296
0.200923 0.455353 0.209107 0.161356 0.130294 0.108521 0.091194 0.077778
0.215444 0.483417 0.233943 0.184167 0.150558 0.126679 0.107469 0.092448
0.231013 0.512670 0.261296 0.209638 0.173438 0.147407 0.126261 0.109607
0.247708 0.543120 0.291415 0.238007 0.199174 0.170993 0.147897 0.129634
0.265609 0.574706 0.324508 0.269443 0.227920 0.197637 0.172615 0.152830
0.284804 0.607345 0.360784 0.304076 0.259753 0.227412 0.200486 0.179305
0.305386 0.640919 0.400456 0.342042 0.294781 0.260392 0.231542 0.209082
0.327455 0.675269 0.443671 0.383466 0.333157 0.296662 0.265769 0.242077
0.351119 0.710175 0.490517 0.428524 0.375169 0.336443 0.303282 0.278270
0.376494 0.745359 0.540908 0.477406 0.421202 0.380096 0.344379 0.317788
0.403702 0.780499 0.594618 0.530345 0.471830 0.428314 0.389810 0.361243
0.432876 0.815149 0.650999 0.587236 0.527504 0.481925 0.440678 0.409761
0.464159 0.848737 0.708909 0.647424 0.588318 0.541701 0.498345 0.465017
0.497702 0.880505 0.766508 0.709488 0.653591 0.607803 0.563958 0.528919
0.533670 0.909656 0.821581 0.771457 0.721724 0.679240 0.637492 0.602470
0.572237 0.935506 0.871907 0.830894 0.789995 0.753452 0.717001 0.684767
0.613591 0.957499 0.915454 0.884805 0.854229 0.825672 0.797089 0.770463
0.657933 0.975129 0.950555 0.930285 0.910078 0.890453 0.870811 0.851687
0.705480 0.987963 0.976109 0.965230 0.954391 0.943546 0.932696 0.921812
0.756463 0.995792 0.991673 0.987678 0.983697 0.979662 0.975628 0.971517
0.811131 0.999169 0.998368 0.997583 0.996799 0.996004 0.995210 0.994394
0.869749 0.999938 0.999879 0.999822 0.999764 0.999706 0.999648 0.999587
0.932603 0.999999 0.999998 0.999997 0.999996 0.999995 0.999994 0.999993
1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
