# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 1.004613 2.002665 2.507212 -0.000000 nan nan nan
0.001072 1.000012 2.018450 2.730455 9.933990 nan nan nan
0.001150 1.000029 1.994916 2.661646 -0.000000 nan nan nan
0.001233 1.000377 1.980287 2.243904 -0.000000 nan nan nan
0.001322 0.996068 2.081355 3.807983 -0.000000 nan nan nan
0.001417 0.998968 1.979497 2.875956 -0.000000 nan nan nan
0.001520 1.001401 1.970469 3.250051 5.811012 nan nan nan
0.001630 1.001681 1.942998 2.604324 7.321009 nan nan nan
0.001748 1.003318 1.991977 3.344494 -0.000000 nan nan nan
0.001874 1.001510 1.903796 2.822870 6.735959 nan nan nan
0.002009 1.000254 2.010148 3.056551 3.198030 nan nan nan
0.002154 1.000470 2.018068 2.931685 8.423993 nan nan nan
0.002310 0.999727 2.033330 3.164619 4.122978 nan nan nan
0.002477 0.999614 1.989549 3.078599 6.585888 nan nan nan
0.002656 1.000990 2.047300 3.094517 0.735121 -0.000000 nan nan
0.002848 0.998281 1.994142 2.934698 4.822225 -0.000000 nan nan
0.003054 0.999261 1.975742 2.975829 3.799449 -0.000000 nan nan
0.003275 0.999640 2.008611 2.939794 4.652951 13.132020 nan nan
0.003511 1.000011 2.021571 3.137449 4.369173 2.612981 nan nan
0.003765 1.000220 2.014009 3.081160 3.671339 2.209244 nan nan
0.004037 1.001536 2.014191 2.911523 4.600746 5.111765 nan nan
0.004329 1.000054 1.985474 2.971349 3.930802 4.822225 nan nan
0.004642 0.999702 1.981250 3.016791 4.388388 3.601767 nan nan
0.004977 1.000433 1.971443 2.883543 3.840816 4.708028 nan nan
0.005337 0.998998 1.993009 3.005294 4.122978 7.089847 9.933990 nan
0.005722 0.997996 1.995549 2.894978 3.760131 6.823083 13.132020 nan
0.006136 1.000074 1.992448 2.967284 3.866852 3.456267 2.612981 nan
0.006579 0.999807 2.015899 3.091964 4.318233 6.148244 5.811012 nan
0.007055 1.000391 2.004157 2.914091 3.974718 5.921682 9.933990 nan
0.007565 0.998277 2.000212 2.971885 4.027968 5.488937 6.332222 -0.000000
0.008111 1.000636 1.996986 2.997015 3.756163 4.445053 5.811012 15.745000
0.008697 1.000369 1.996800 2.992609 4.326243 6.053928 6.036713 9.933990
0.009326 1.000992 1.996963 2.995472 4.138974 4.959208 6.106521 7.321009
