# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 6.003179 5.836325 4.612204 4.219508 nan nan nan
0.001072 5.933082 5.766685 4.576999 4.394449 nan nan nan
0.001150 5.863306 5.695623 4.527319 3.891820 nan nan nan
0.001233 5.793529 5.626205 4.480798 4.077537 nan nan nan
0.001322 5.723727 5.557831 4.462404 4.234107 nan nan nan
0.001417 5.654226 5.482105 4.341928 4.499810 nan nan nan
0.001520 5.584523 5.413688 4.279377 4.700480 nan nan nan
0.001630 5.514650 5.346071 4.190094 4.521789 nan nan nan
0.001748 5.444757 5.280391 4.143950 4.192680 nan nan nan
0.001874 5.374750 5.211407 4.049577 4.426044 nan nan nan
0.002009 5.304870 5.148449 3.985449 4.153006 nan nan nan
0.002154 5.235077 5.077984 3.912436 4.143135 nan nan nan
0.002310 5.165269 5.006980 3.848688 3.759907 nan nan nan
0.002477 5.095512 4.934860 3.769752 3.693037 nan nan nan
0.002656 5.025764 4.865787 3.693763 3.448315 2.944439 nan nan
0.002848 4.955920 4.792781 3.620693 3.612943 2.995732 nan nan
0.003054 4.886264 4.723294 3.555065 3.481240 3.332205 nan nan
0.003275 4.816541 4.655160 3.485284 3.423772 3.597312 nan nan
0.003511 4.746790 4.584759 3.420311 3.304236 3.005683 nan nan
0.003765 4.677014 4.513479 3.342450 3.218292 3.128221 nan nan
0.004037 4.607224 4.442742 3.267989 3.177112 3.230240 nan nan
0.004329 4.537341 4.372083 3.205377 3.059246 3.194583 nan nan
0.004642 4.467562 4.303325 3.136588 2.992300 3.132384 nan nan
0.004977 4.397807 4.234838 3.064333 2.896596 3.187270 nan nan
0.005337 4.328002 4.167085 3.000690 2.829802 3.126761 3.218876 nan
0.005722 4.258297 4.097728 2.930058 2.751815 2.919746 3.020425 nan
0.006136 4.188661 4.028123 2.867300 2.691449 2.706028 2.580217 nan
0.006579 4.118881 3.958880 2.799280 2.628681 2.734677 2.639057 nan
0.007055 4.049119 3.887982 2.724198 2.543118 2.606987 2.662588 nan
0.007565 3.979316 3.817944 2.660707 2.469112 2.471137 2.382628 2.890372
