# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 0.999499 2.248019 2.645466 2.509729 2.588419 2.260371 1.832339
0.001070 1.000476 2.335877 2.521729 2.504242 2.482069 2.294288 1.994237
0.001145 0.997870 2.508219 2.852315 2.329618 1.941458 1.897574 2.267072
0.001225 0.998701 2.137350 2.673483 2.831020 2.592803 2.975998 3.714851
0.001311 0.998892 2.179828 2.905555 3.332172 3.381737 3.594846 4.190991
0.001402 0.996550 2.244557 2.995679 3.263957 3.149545 3.088233 3.397193
0.001500 1.003577 2.365431 3.309199 3.739644 3.811702 3.763665 3.466435
0.001605 0.999201 2.188081 2.811495 3.105787 3.287748 3.183680 2.952455
0.001718 1.002365 2.046612 2.500214 2.932563 3.188496 3.172394 3.091744
0.001838 1.000949 2.120117 2.582598 2.899550 3.312071 3.521527 3.468387
0.001966 0.999767 2.126407 2.497771 2.852609 3.422858 3.874994 4.025336
0.002104 1.001184 2.156804 2.519101 2.719842 3.059666 3.201058 3.316260
0.002251 0.998490 2.075465 2.373511 2.447577 2.720025 3.120755 3.443750
0.002408 1.001722 2.049142 2.401248 2.487406 2.623776 2.916600 3.320137
0.002577 1.000351 2.052870 2.305982 2.381246 2.454040 2.683287 2.978030
0.002757 0.999763 2.035258 2.331071 2.360269 2.342981 2.404633 2.558100
0.002950 1.001169 2.029987 2.256085 2.380648 2.414151 2.433663 2.557890
0.003156 0.997582 2.004726 2.193676 2.252323 2.328430 2.407963 2.510346
0.003377 0.998034 1.916002 2.039058 2.102663 2.249928 2.421537 2.561209
0.003613 0.997911 1.852811 2.027464 2.158261 2.340817 2.555982 2.735708
0.003866 0.998535 1.855972 1.987358 2.087454 2.226354 2.387841 2.548213
0.004137 0.996138 1.873502 1.978867 2.065786 2.160343 2.287278 2.416496
0.004426 0.998681 1.863622 1.924646 1.959661 2.023193 2.079387 2.188082
0.004735 0.997189 1.850499 1.917708 1.947168 2.014766 2.068516 2.166577
0.005067 0.998165 1.847831 1.893613 1.829793 1.818716 1.831045 1.864272
0.005421 0.995755 1.868143 1.934659 1.892714 1.877794 1.877144 1.874871
0.005800 0.998210 1.833618 1.911249 1.895456 1.835489 1.749858 1.682398
0.006206 0.996690 1.823153 1.895400 1.886510 1.849876 1.826519 1.798049
0.006640 0.996410 1.834316 1.931657 1.945823 1.942262 1.906679 1.896658
0.007105 0.994350 1.851418 1.943362 1.958226 1.937321 1.911700 1.898479
0.007602 0.995475 1.854034 1.952096 1.948862 1.924902 1.901130 1.859725
0.008133 0.994724 1.861574 1.953181 1.944708 1.913121 1.886233 1.825063
0.008702 0.996501 1.887796 1.987892 1.979329 1.973496 1.966809 1.916995
0.009311 0.995666 1.857418 1.966336 1.980398 2.003338 2.011742 2.006136
0.009962 0.994654 1.850065 1.965025 1.970202 1.963032 1.957708 1.954168
0.010659 0.993738 1.822877 1.923985 1.944288 1.929993 1.916396 1.904822
0.011405 0.993756 1.834212 1.945403 1.967907 1.969953 1.968555 1.984490
0.012203 0.993148 1.826881 1.942461 1.968593 1.979059 1.979858 2.005460
0.013056 0.993150 1.819413 1.926262 1.954470 1.982136 2.014028 2.044735
0.013970 0.992486 1.828916 1.939191 1.958239 1.982129 1.998102 1.999895
0.014947 0.991005 1.814158 1.913226 1.920959 1.929247 1.943427 1.927333
0.015992 0.990290 1.801263 1.897201 1.906018 1.927962 1.972794 1.998193
0.017111 0.990388 1.817132 1.906181 1.896967 1.901920 1.926024 1.945377
0.018308 0.990199 1.819797 1.930373 1.923774 1.915610 1.928882 1.956519
0.019588 0.988745 1.816923 1.930366 1.923164 1.922232 1.931992 1.954115
0.020959 0.988906 1.805703 1.918061 1.920499 1.909330 1.900695 1.919219
0.022425 0.986805 1.796779 1.918526 1.925475 1.908594 1.892445 1.896333
0.023993 0.985362 1.788763 1.917827 1.938057 1.931946 1.923492 1.930331
0.025672 0.983897 1.778725 1.908993 1.937512 1.939545 1.935900 1.947471
0.027467 0.982050 1.762925 1.896152 1.925938 1.931818 1.937976 1.951511
0.029389 0.981454 1.771261 1.903685 1.930151 1.940547 1.957778 1.966052
0.031445 0.979980 1.766937 1.899338 1.926668 1.949593 1.975836 1.987252
0.033644 0.977311 1.760920 1.888958 1.914740 1.936985 1.966829 1.983026
0.035998 0.975555 1.760848 1.894611 1.914838 1.931697 1.958270 1.975040
0.038516 0.973781 1.758337 1.889107 1.904469 1.916242 1.937458 1.958075
0.041210 0.971431 1.757966 1.890467 1.905138 1.918163 1.934506 1.956879
0.044092 0.970060 1.765589 1.904534 1.913748 1.920023 1.926971 1.946638
0.047177 0.967737 1.766863 1.906706 1.913503 1.916570 1.916138 1.933677
0.050477 0.966208 1.775276 1.923427 1.930371 1.934751 1.936523 1.958202
0.054008 0.965317 1.782015 1.929752 1.933155 1.938866 1.943461 1.964916
0.057785 0.964011 1.788426 1.948188 1.958701 1.964119 1.968005 1.989344
0.061828 0.962623 1.790674 1.951844 1.962392 1.971290 1.978244 1.999929
0.066152 0.960639 1.789896 1.956031 1.973075 1.986849 1.995458 2.018060
0.070780 0.959178 1.789214 1.956977 1.979197 1.994531 2.000989 2.022723
0.075731 0.957073 1.786115 1.954140 1.980801 2.001342 2.009057 2.026389
0.081028 0.954586 1.781542 1.952437 1.979476 2.002636 2.009594 2.028058
0.086696 0.952089 1.777032 1.949083 1.974198 2.001538 2.012089 2.030241
0.092761 0.947767 1.764736 1.937779 1.967032 2.002764 2.019057 2.033011
0.099249 0.943198 1.753107 1.927888 1.960779 2.000006 2.015547 2.020957
0.106192 0.939115 1.747689 1.929709 1.967120 2.014987 2.030915 2.026192
0.113620 0.932675 1.729480 1.915444 1.958924 2.019281 2.041944 2.037381
0.121568 0.925770 1.713244 1.905360 1.955666 2.026478 2.055856 2.056219
0.130071 0.919202 1.701355 1.901032 1.956093 2.035645 2.073040 2.078932
0.139170 0.912483 1.689645 1.897527 1.953817 2.035622 2.086120 2.108728
0.148905 0.903841 1.676055 1.889105 1.948692 2.036182 2.098764 2.139643
0.159321 0.895053 1.666429 1.885503 1.954028 2.048598 2.128923 2.181302
0.170465 0.883154 1.647119 1.872116 1.954684 2.052328 2.148965 2.210154
0.182390 0.868427 1.615318 1.839086 1.931521 2.031898 2.141733 2.217457
0.195148 0.855481 1.591004 1.813765 1.916197 2.017328 2.131959 2.224526
0.208798 0.841927 1.569861 1.794119 1.910034 2.013500 2.125358 2.235687
0.223404 0.828442 1.552418 1.775218 1.905450 2.014624 2.122822 2.236499
0.239031 0.813863 1.531873 1.743501 1.882365 2.001692 2.116728 2.240253
0.255752 0.799114 1.517052 1.715651 1.857263 1.984189 2.101913 2.228758
0.273641 0.782670 1.505387 1.685483 1.808045 1.927363 2.048656 2.179139
0.292783 0.763109 1.485583 1.641515 1.742867 1.848466 1.967821 2.085429
0.313263 0.735127 1.445754 1.578167 1.667159 1.750229 1.851133 1.953949
0.335176 0.706147 1.406045 1.526443 1.612557 1.683304 1.761642 1.843174
0.358622 0.676638 1.368687 1.489610 1.577645 1.642844 1.701089 1.757123
0.383707 0.644504 1.324737 1.458738 1.556917 1.626337 1.675613 1.710519
0.410548 0.612356 1.278729 1.432399 1.546151 1.628479 1.678716 1.701694
0.439266 0.571934 1.214687 1.399856 1.536743 1.633056 1.693874 1.723547
0.469993 0.513255 1.093783 1.290172 1.471124 1.614604 1.708844 1.774387
0.502869 0.446613 0.949605 1.159867 1.380895 1.570090 1.714037 1.832345
0.538045 0.384980 0.814980 1.040242 1.282296 1.498514 1.692001 1.866691
0.575681 0.321183 0.671474 0.884849 1.115148 1.336027 1.567857 1.796796
0.615950 0.250920 0.515876 0.700280 0.894557 1.088445 1.293588 1.503716
0.659036 0.179948 0.364006 0.518778 0.677564 0.840033 1.007862 1.180324
0.705136 0.106445 0.212686 0.318561 0.425205 0.534570 0.645308 0.759800
0.754460 0.034116 0.067262 0.099939 0.132633 0.166104 0.199652 0.234004
