# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 2.054066 2.962491 2.318231 3.329716 nan nan
0.001110 1.939840 3.159982 2.859025 1.957362 inf nan
0.001191 1.967436 3.044820 4.973885 3.618698 23.066010 nan
0.001277 2.015058 2.746300 5.702847 2.886719 0.000000 nan
0.001369 1.931342 2.598229 4.431777 5.351833 8.423993 nan
0.001468 1.974394 2.359217 3.976122 7.895922 19.048801 inf
0.001574 1.971922 2.329019 3.044229 5.565577 14.266194 34.365959
0.001688 1.997381 2.300547 3.345389 4.233298 9.215257 13.132020
0.001810 1.978899 2.129067 2.705050 3.942457 7.139696 7.832910
0.001940 1.952016 2.100014 2.086763 3.417286 4.779508 7.016067
0.002081 1.989195 2.289986 2.198037 3.530674 4.725130 6.266025
0.002231 1.992987 2.164398 2.118515 2.590286 4.250599 5.283902
0.002392 1.880812 2.082412 2.407293 2.995216 4.340488 5.206445
0.002565 1.916533 1.888322 2.445130 3.033687 4.151107 5.589109
0.002750 1.896862 1.808513 1.818539 1.953448 2.577811 4.186039
0.002949 1.910059 1.802934 1.686128 1.699596 2.520247 2.812453
0.003162 1.925353 1.913097 1.702631 1.742721 1.670794 1.802925
0.003391 1.862949 1.981926 1.553576 1.442975 1.377304 1.306527
0.003636 1.914825 2.006262 1.683648 1.414671 1.419580 1.503272
0.003899 1.908470 2.065285 1.973835 1.814174 1.662181 1.594510
0.004180 1.909232 2.028834 2.034643 2.028701 2.121634 2.552234
0.004482 1.925222 2.015179 1.947112 1.863416 2.104476 2.337268
0.004806 1.938575 2.040649 1.922639 1.451696 1.382895 1.616333
0.005154 1.952119 2.144967 1.987442 1.589323 1.204373 1.291596
0.005526 1.954865 2.106404 2.156940 1.777989 1.360789 1.064340
0.005926 1.940508 2.080598 2.082189 1.818549 1.329791 0.967365
0.006354 1.951381 2.069570 1.979850 1.950450 1.487656 0.884208
0.006813 1.977401 2.110558 1.959736 1.924425 1.667648 0.860446
0.007305 1.970061 2.116114 2.051213 1.956595 1.949018 1.377562
0.007833 1.985232 2.115527 2.106211 2.027588 1.958397 1.781074
0.008399 1.961536 2.167674 2.041570 2.031164 1.918847 1.734405
0.009006 1.960611 2.132020 2.135136 2.097956 2.108729 1.886421
0.009657 1.956018 2.119824 2.070647 2.010947 2.088281 2.226129
0.010355 1.945398 2.121634 2.119440 1.977851 2.010938 2.035409
0.011103 1.958034 2.142807 2.090368 2.004241 1.991627 1.933486
0.011906 1.956463 2.136309 2.046835 2.013759 2.133715 1.883172
0.012766 1.946979 2.110822 2.030321 1.953009 1.835861 1.841810
