# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.002956 0.000010 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 0.003170 0.000012 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 0.003398 0.000014 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 0.003644 0.000016 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 0.003908 0.000018 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 0.004191 0.000021 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 0.004494 0.000024 0.000000 0.000000 0.000000 0.000000 0.000000
0.001630 0.004820 0.000028 0.000000 0.000000 0.000000 0.000000 0.000000
0.001748 0.005168 0.000032 0.000000 0.000000 0.000000 0.000000 0.000000
0.001874 0.005542 0.000037 0.000000 0.000000 0.000000 0.000000 0.000000
0.002009 0.005943 0.000042 0.000000 0.000000 0.000000 0.000000 0.000000
0.002154 0.006373 0.000049 0.000001 0.000000 0.000000 0.000000 0.000000
0.002310 0.006833 0.000056 0.000001 0.000000 0.000000 0.000000 0.000000
0.002477 0.007326 0.000065 0.000001 0.000000 0.000000 0.000000 0.000000
0.002656 0.007856 0.000074 0.000001 0.000000 0.000000 0.000000 0.000000
0.002848 0.008422 0.000085 0.000001 0.000000 0.000000 0.000000 0.000000
0.003054 0.009030 0.000098 0.000001 0.000000 0.000000 0.000000 0.000000
0.003275 0.009683 0.000113 0.000002 0.000000 0.000000 0.000000 0.000000
0.003511 0.010383 0.000129 0.000002 0.000000 0.000000 0.000000 0.000000
0.003765 0.011132 0.000149 0.000003 0.000000 0.000000 0.000000 0.000000
0.004037 0.011937 0.000171 0.000003 0.000000 0.000000 0.000000 0.000000
0.004329 0.012799 0.000197 0.000004 0.000000 0.000000 0.000000 0.000000
0.004642 0.013723 0.000225 0.000005 0.000000 0.000000 0.000000 0.000000
0.004977 0.014715 0.000259 0.000006 0.000000 0.000000 0.000000 0.000000
0.005337 0.015777 0.000298 0.000008 0.000000 0.000000 0.000000 0.000000
0.005722 0.016919 0.000343 0.000010 0.000000 0.000000 0.000000 0.000000
0.006136 0.018141 0.000394 0.000012 0.000000 0.000000 0.000000 0.000000
0.006579 0.019453 0.000453 0.000015 0.000001 0.000000 0.000000 0.000000
0.007055 0.020859 0.000521 0.000018 0.000001 0.000000 0.000000 0.000000
0.007565 0.022365 0.000599 0.000023 0.000001 0.000000 0.000000 0.000000
0.008111 0.023979 0.000688 0.000028 0.000001 0.000000 0.000000 0.000000
0.008697 0.025714 0.000792 0.000034 0.000002 0.000000 0.000000 0.000000
0.009326 0.027571 0.000909 0.000042 0.000002 0.000000 0.000000 0.000000
0.010000 0.029563 0.001046 0.000052 0.000003 0.000000 0.000000 0.000000
0.010723 0.031696 0.001203 0.000064 0.000004 0.000000 0.000000 0.000000
0.011498 0.033987 0.001382 0.000079 0.000005 0.000000 0.000000 0.000000
0.012328 0.036439 0.001589 0.000098 0.000007 0.000001 0.000000 0.000000
0.013219 0.039070 0.001828 0.000120 0.000010 0.000001 0.000000 0.000000
0.014175 0.041887 0.002100 0.000148 0.000013 0.000001 0.000000 0.000000
0.015199 0.044906 0.002412 0.000182 0.000017 0.000002 0.000000 0.000000
0.016298 0.048144 0.002772 0.000224 0.000022 0.000002 0.000000 0.000000
0.017475 0.051618 0.003184 0.000275 0.000028 0.000003 0.000000 0.000000
0.018738 0.055341 0.003657 0.000338 0.000037 0.000005 0.000001 0.000000
0.020092 0.059326 0.004200 0.000415 0.000049 0.000006 0.000001 0.000000
0.021544 0.063596 0.004821 0.000509 0.000064 0.000009 0.000001 0.000000
0.023101 0.068176 0.005534 0.000624 0.000084 0.000013 0.000002 0.000000
0.024771 0.073084 0.006356 0.000765 0.000109 0.000018 0.000003 0.000001
0.026561 0.078338 0.007295 0.000936 0.000142 0.000024 0.000005 0.000001
0.028480 0.083965 0.008370 0.001145 0.000185 0.000033 0.000007 0.000002
0.030539 0.089993 0.009601 0.001399 0.000241 0.000046 0.000011 0.000003
0.032745 0.096444 0.011012 0.001708 0.000313 0.000064 0.000016 0.000004
0.035112 0.103349 0.012622 0.002083 0.000406 0.000088 0.000023 0.000006
0.037649 0.110741 0.014462 0.002534 0.000523 0.000120 0.000032 0.000009
0.040370 0.118649 0.016566 0.003080 0.000673 0.000163 0.000047 0.000014
0.043288 0.127104 0.018965 0.003736 0.000864 0.000222 0.000068 0.000022
0.046416 0.136146 0.021696 0.004521 0.001103 0.000299 0.000096 0.000032
0.049770 0.145816 0.024807 0.005461 0.001404 0.000401 0.000136 0.000048
0.053367 0.156137 0.028343 0.006582 0.001779 0.000533 0.000189 0.000070
0.057224 0.167164 0.032363 0.007916 0.002244 0.000707 0.000263 0.000101
0.061359 0.178923 0.036914 0.009492 0.002816 0.000929 0.000361 0.000145
0.065793 0.191474 0.042077 0.011354 0.003515 0.001211 0.000490 0.000205
0.070548 0.204837 0.047915 0.013544 0.004365 0.001566 0.000659 0.000285
0.075646 0.219070 0.054506 0.016114 0.005394 0.002011 0.000877 0.000391
0.081113 0.234215 0.061937 0.019121 0.006635 0.002565 0.001156 0.000530
0.086975 0.250310 0.070307 0.022637 0.008122 0.003247 0.001509 0.000711
0.093260 0.267396 0.079716 0.026737 0.009902 0.004083 0.001951 0.000942
0.100000 0.285526 0.090291 0.031523 0.012032 0.005109 0.002508 0.001238
0.107227 0.304743 0.102152 0.037104 0.014580 0.006366 0.003204 0.001614
0.114976 0.325062 0.115412 0.043605 0.017631 0.007907 0.004076 0.002094
0.123285 0.346527 0.130237 0.051193 0.021297 0.009804 0.005173 0.002709
0.132194 0.369162 0.146771 0.060053 0.025716 0.012151 0.006561 0.003505
0.141747 0.393008 0.165190 0.070411 0.031071 0.015074 0.008331 0.004544
0.151991 0.418089 0.185675 0.082522 0.037569 0.018724 0.010590 0.005903
0.162975 0.444417 0.208401 0.096672 0.045474 0.023301 0.013494 0.007698
0.174753 0.472000 0.233558 0.113197 0.055108 0.029063 0.017234 0.010071
0.187382 0.500843 0.261347 0.132486 0.066870 0.036345 0.022071 0.013224
0.200923 0.530931 0.291965 0.154967 0.081252 0.045585 0.028360 0.017437
0.215444 0.562268 0.325640 0.181150 0.098870 0.057381 0.036604 0.023111
0.231013 0.594769 0.362496 0.211506 0.120414 0.072446 0.047438 0.030777
0.247708 0.628318 0.402626 0.246583 0.146766 0.091756 0.061765 0.041222
0.265609 0.662757 0.446023 0.286874 0.178913 0.116492 0.080783 0.055564
0.284804 0.697815 0.492527 0.332834 0.217988 0.148166 0.106128 0.075441
0.305386 0.733091 0.541789 0.384724 0.265099 0.188491 0.139860 0.103095
0.327455 0.768143 0.593360 0.442641 0.321317 0.239463 0.184647 0.141644
0.351119 0.802359 0.646404 0.505988 0.387013 0.302603 0.243092 0.194581
0.376494 0.835089 0.699686 0.573314 0.461311 0.378082 0.316633 0.264555
0.403702 0.865581 0.751410 0.641895 0.541173 0.463186 0.403375 0.350755
0.432876 0.893100 0.799574 0.708197 0.621737 0.552302 0.497443 0.447543
0.464159 0.917129 0.842580 0.768970 0.697906 0.638860 0.591055 0.546361
0.497702 0.937575 0.879827 0.822529 0.766484 0.718291 0.678321 0.640155
0.533670 0.954715 0.911648 0.868852 0.826662 0.789058 0.756955 0.725830
0.572237 0.969032 0.938864 0.908877 0.879205 0.851752 0.827417 0.803566
0.613591 0.980841 0.961870 0.943003 0.924334 0.906406 0.889774 0.873345
0.657933 0.989975 0.979964 0.969999 0.960179 0.950419 0.940971 0.931595
0.705480 0.995968 0.991929 0.987900 0.983967 0.979937 0.975935 0.971952
0.756463 0.998900 0.997798 0.996696 0.995636 0.994519 0.993400 0.992285
0.811131 0.999826 0.999652 0.999477 0.999313 0.999134 0.998954 0.998775
0.869749 0.999987 0.999974 0.999961 0.999949 0.999935 0.999922 0.999908
0.932603 1.000000 0.999999 0.999999 0.999999 0.999998 0.999998 0.999998
1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
