# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 1.001184 1.997378 3.947127 nan nan nan nan
0.001072 0.997485 1.994295 3.719241 nan nan nan nan
0.001150 1.000266 1.992057 2.441342 nan nan nan nan
0.001233 1.003279 2.067720 4.548283 nan nan nan nan
0.001322 0.999872 1.991427 2.841628 nan nan nan nan
0.001417 1.002029 2.017566 3.463629 nan nan nan nan
0.001520 1.001620 2.025731 2.585966 nan nan nan nan
0.001630 1.000763 1.949874 2.702835 nan nan nan nan
0.001748 1.001677 1.992908 2.415688 nan nan nan nan
0.001874 1.000557 2.002046 2.707269 nan nan nan nan
0.002009 1.000071 2.054080 3.338309 23.066010 nan nan nan
0.002154 1.000013 2.014384 3.259939 2.612981 nan nan nan
0.002310 0.997948 2.002781 2.878202 2.209244 nan nan nan
0.002477 1.000925 1.984647 3.014940 3.601767 nan nan nan
0.002656 0.997291 1.997568 2.708209 8.245957 nan nan nan
0.002848 0.999676 1.988203 3.031650 3.897277 nan nan nan
0.003054 0.999236 1.972875 2.900874 4.122978 nan nan nan
0.003275 1.000557 1.995148 3.257064 4.748917 nan nan nan
0.003511 0.998277 2.002792 2.893473 3.560878 nan nan nan
0.003765 1.001117 1.982932 3.267885 4.194458 nan nan nan
0.004037 0.999250 1.998497 3.111360 4.852751 nan nan nan
0.004329 0.998977 1.971167 2.940732 3.736655 15.745000 nan nan
0.004642 0.999832 2.001149 2.906378 4.585332 0.000000 0.000000 nan
0.004977 0.999509 1.994323 3.094220 4.058854 9.933990 0.000000 nan
0.005337 1.001296 2.006862 2.955152 4.298634 7.321009 0.000000 nan
0.005722 0.999370 1.986322 2.997414 3.452865 7.604814 0.000000 nan
0.006136 1.001035 2.004935 2.967643 4.047943 4.332204 0.000000 nan
0.006579 0.999520 2.006121 2.958413 4.263349 6.017227 0.000000 nan
0.007055 0.999413 1.995737 3.052269 4.263716 4.526715 9.933990 nan
0.007565 0.998845 1.992559 3.017916 3.551538 4.779508 0.000000 nan
0.008111 1.001225 2.008182 3.003148 4.156340 5.739532 0.000000 nan
0.008697 0.998871 1.987103 2.923837 3.960752 3.760131 13.132020 nan
0.009326 1.000137 2.003449 3.008951 3.867374 5.363109 9.933990 0.000000
0.010000 0.998077 2.004326 2.981699 3.981491 5.374739 6.735959 0.000000
0.010723 1.000327 1.996782 3.033432 4.107023 4.970358 11.218290 9.933990
0.011498 0.998259 2.000022 2.972386 4.122978 4.540525 5.673865 15.745000
0.012328 0.999239 2.002492 2.987825 4.149892 5.039117 6.351895 5.811012
0.013219 0.997958 1.992381 2.978283 3.998075 5.147596 6.445517 7.321009
0.014175 0.997285 1.984104 2.969055 3.892917 4.833522 5.997868 6.126007
0.015199 0.997887 1.991429 2.943141 3.881857 4.658633 4.543723 5.601786
0.016298 0.998524 1.988312 2.952944 3.826891 4.546673 5.936650 9.065135
0.017475 0.998053 1.983322 2.949998 3.889353 4.868121 5.751321 6.252022
0.018738 0.996647 1.983656 2.949348 3.904547 4.808623 5.529120 5.469183
0.020092 0.996118 1.977475 2.926952 3.897496 4.897987 5.816433 5.711830
0.021544 0.996591 1.976515 2.919693 3.830042 4.866155 5.947676 7.636004
0.023101 0.996402 1.983608 2.929596 3.836477 4.780269 6.080493 7.429642
0.024771 0.994815 1.976031 2.896672 3.789578 4.569469 5.376732 6.252491
0.026561 0.994155 1.968722 2.890146 3.807094 4.689369 5.598093 6.253839
0.028480 0.993719 1.967421 2.866603 3.762765 4.657690 5.315454 6.346750
0.030539 0.992202 1.964469 2.863060 3.726948 4.570780 5.462133 6.201836
0.032745 0.991027 1.956494 2.841753 3.726405 4.575414 5.303888 6.211758
