# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.823884 5.643173 5.432230 nan nan nan nan
0.001072 5.754026 5.573664 5.296185 nan nan nan nan
0.001150 5.684426 5.504111 5.175827 nan nan nan nan
0.001233 5.614632 5.434908 5.144478 nan nan nan nan
0.001322 5.544628 5.360637 4.971396 nan nan nan nan
0.001417 5.474862 5.291451 4.912073 nan nan nan nan
0.001520 5.404945 5.220591 4.811173 nan nan nan nan
0.001630 5.335057 5.149134 4.772083 nan nan nan nan
0.001748 5.265228 5.082909 4.719545 nan nan nan nan
0.001874 5.195336 5.013745 4.690045 nan nan nan nan
0.002009 5.125522 4.943866 4.640838 5.902633 nan nan nan
0.002154 5.055741 4.870323 4.551230 4.526127 nan nan nan
0.002310 4.985965 4.799544 4.464321 4.571269 nan nan nan
0.002477 4.916333 4.729432 4.403239 4.617945 nan nan nan
0.002656 4.846493 4.660792 4.331350 4.576999 nan nan nan
0.002848 4.776907 4.590998 4.281765 4.190601 nan nan nan
0.003054 4.707154 4.522023 4.208958 4.130202 nan nan nan
0.003275 4.637432 4.454087 4.144206 4.044929 nan nan nan
0.003511 4.567618 4.384689 4.056156 3.940835 nan nan nan
0.003765 4.497963 4.314599 3.994008 3.894266 nan nan nan
0.004037 4.428110 4.246092 3.904350 3.829614 nan nan nan
0.004329 4.358387 4.176370 3.826700 3.708108 4.543295 nan nan
0.004642 4.288683 4.108535 3.759048 3.652573 3.705409 1.098612 nan
0.004977 4.218919 4.038668 3.695886 3.535423 4.025352 1.098612 nan
0.005337 4.149178 3.969254 3.619140 3.468115 3.615412 1.791759 nan
0.005722 4.079313 3.899090 3.552973 3.374373 3.404525 2.302585 nan
0.006136 4.009581 3.830225 3.482423 3.342594 3.114822 2.833213 nan
0.006579 3.939734 3.760178 3.415250 3.267216 3.094987 3.135494 nan
0.007055 3.869992 3.689942 3.348804 3.176164 2.972610 3.555348 nan
0.007565 3.800258 3.620423 3.275084 3.091635 2.954259 3.178054 nan
0.008111 3.730563 3.551086 3.203539 3.054401 2.868577 3.511545 nan
0.008697 3.660702 3.480826 3.134115 2.973937 2.758109 3.912023 nan
0.009326 3.591006 3.411872 3.068754 2.901585 2.772108 3.258097 1.609438
0.010000 3.521221 3.341865 2.998595 2.841689 2.667742 2.939162 2.302585
0.010723 3.451580 3.271654 2.930399 2.771928 2.570528 2.844182 2.772589
0.011498 3.381781 3.202126 2.858066 2.697018 2.510289 2.408231 2.862201
0.012328 3.312128 3.132228 2.790219 2.616735 2.481154 2.329152 2.159484
0.013219 3.242405 3.062225 2.721467 2.535651 2.419108 2.237553 2.197225
0.014175 3.172773 2.992839 2.652676 2.464495 2.338900 2.146990 2.136137
0.015199 3.103187 2.923983 2.583951 2.400032 2.273269 2.065747 2.127196
0.016298 3.033559 2.854659 2.517545 2.334533 2.219069 2.073765 2.053369
0.017475 2.963887 2.785596 2.450237 2.273553 2.168846 1.976779 1.835078
0.018738 2.894247 2.716849 2.382787 2.208009 2.100553 1.915153 1.800142
0.020092 2.824706 2.647980 2.315406 2.141360 2.037470 1.864881 1.804324
0.021544 2.755201 2.579505 2.249156 2.073640 1.967661 1.800796 1.811623
0.023101 2.685664 2.511131 2.183345 2.010120 1.895366 1.725332 1.693819
0.024771 2.616140 2.442248 2.117338 1.946842 1.829512 1.634609 1.599682
0.026561 2.546726 2.373784 2.053100 1.884539 1.775095 1.578282 1.538575
0.028480 2.477359 2.305783 1.988808 1.820559 1.713534 1.514875 1.492821
0.030539 2.408022 2.237842 1.926067 1.758029 1.651091 1.468979 1.420861
0.032745 2.338790 2.170002 1.863367 1.697751 1.592212 1.406785 1.369248
0.035112 2.269641 2.102636 1.801598 1.636024 1.532972 1.355956 1.305902
0.037649 2.200559 2.035670 1.741703 1.577924 1.475438 1.304103 1.254295
0.040370 2.131587 1.968838 1.682491 1.521042 1.416765 1.244641 1.195856
0.043288 2.062748 1.902435 1.624650 1.464600 1.360295 1.184696 1.139428
0.046416 1.994024 1.836594 1.568495 1.410633 1.306549 1.132917 1.088976
0.049770 1.925409 1.771213 1.513484 1.358042 1.253411 1.083491 1.042839
0.053367 1.857023 1.706342 1.460051 1.308506 1.204340 1.037732 0.998989
0.057224 1.788780 1.641968 1.408182 1.260778 1.154755 0.990622 0.952672
0.061359 1.720801 1.578354 1.358105 1.215071 1.108796 0.945332 0.912035
0.065793 1.653004 1.515239 1.309954 1.172410 1.065643 0.904212 0.873882
0.070548 1.585542 1.452778 1.263472 1.132236 1.024928 0.866379 0.839140
0.075646 1.518365 1.391082 1.218605 1.094333 0.986597 0.830250 0.807779
0.081113 1.451515 1.330122 1.175319 1.058511 0.950277 0.797206 0.778893
0.086975 1.385055 1.269824 1.133310 1.024944 0.916778 0.766360 0.752569
0.093260 1.319025 1.210256 1.092441 0.993304 0.885882 0.738564 0.728488
0.100000 1.253421 1.151296 1.052333 0.963173 0.856463 0.711701 0.706137
0.107227 1.188287 1.093006 1.012747 0.934064 0.828605 0.686775 0.685797
0.114976 1.123738 1.035505 0.973347 0.905518 0.801838 0.662769 0.666166
0.123285 1.059796 0.978602 0.933760 0.877041 0.775725 0.639446 0.646963
0.132194 0.996520 0.922359 0.893649 0.848110 0.749731 0.616273 0.627038
0.141747 0.933925 0.866734 0.852743 0.818070 0.723289 0.593016 0.606207
0.151991 0.872062 0.811693 0.810939 0.786870 0.696366 0.569877 0.584455
0.162975 0.810992 0.757301 0.768142 0.754186 0.668623 0.546271 0.561288
0.174753 0.750775 0.703550 0.724303 0.719833 0.639826 0.522603 0.537165
0.187382 0.691462 0.650443 0.679371 0.683727 0.609699 0.498802 0.512199
0.200923 0.633123 0.597997 0.633424 0.645654 0.577986 0.474601 0.486386
0.215444 0.575777 0.546185 0.586469 0.605518 0.544090 0.449554 0.459845
0.231013 0.519581 0.495162 0.538758 0.563322 0.508085 0.423430 0.432643
0.247708 0.464709 0.445037 0.490311 0.518856 0.469712 0.395789 0.404362
0.265609 0.411346 0.396039 0.441328 0.472144 0.429071 0.366066 0.374234
0.284804 0.359802 0.348405 0.391904 0.423204 0.386108 0.333683 0.341295
0.305386 0.310485 0.302394 0.342349 0.372425 0.341053 0.298404 0.304993
0.327455 0.263780 0.258174 0.293043 0.320329 0.294032 0.259954 0.265129
0.351119 0.220199 0.216131 0.244911 0.268056 0.246035 0.218982 0.222591
0.376494 0.180217 0.176906 0.199199 0.217360 0.198963 0.177366 0.179695
0.403702 0.144355 0.141449 0.157528 0.170685 0.155612 0.138262 0.139778
0.432876 0.113057 0.110620 0.121357 0.130205 0.118421 0.104615 0.105708
0.464159 0.086507 0.084780 0.091416 0.096967 0.088399 0.077776 0.078629
0.497702 0.064458 0.063572 0.067341 0.070570 0.064940 0.057254 0.057911
0.533670 0.046342 0.046160 0.048080 0.049777 0.046556 0.041537 0.041988
0.572237 0.031458 0.031627 0.032460 0.033192 0.031723 0.028987 0.029249
0.613591 0.019345 0.019532 0.019810 0.019995 0.019586 0.018520 0.018636
0.657933 0.010076 0.010163 0.010221 0.010175 0.010218 0.009990 0.010014
0.705480 0.004041 0.004064 0.004069 0.003989 0.004104 0.004092 0.004090
0.756463 0.001101 0.001104 0.001105 0.001064 0.001123 0.001125 0.001123
0.811131 0.000174 0.000174 0.000174 0.000165 0.000179 0.000180 0.000179
0.869749 0.000013 0.000013 0.000013 0.000012 0.000014 0.000014 0.000014
0.932603 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
