# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.003039 0.000017 0.000003 0.000001 0.000000 0.000000 0.000000
0.001070 0.003253 0.000019 0.000003 0.000001 0.000000 0.000000 0.000000
0.001146 0.003480 0.000022 0.000004 0.000001 0.000001 0.000000 0.000000
0.001226 0.003726 0.000025 0.000005 0.000002 0.000001 0.000000 0.000000
0.001312 0.003988 0.000029 0.000006 0.000002 0.000001 0.000000 0.000000
0.001404 0.004269 0.000033 0.000007 0.000003 0.000001 0.000001 0.000000
0.001503 0.004569 0.000037 0.000008 0.000003 0.000002 0.000001 0.000000
0.001609 0.004890 0.000043 0.000009 0.000004 0.000002 0.000001 0.000001
0.001722 0.005234 0.000049 0.000011 0.000005 0.000002 0.000001 0.000001
0.001843 0.005602 0.000056 0.000012 0.000005 0.000003 0.000001 0.000001
0.001972 0.005996 0.000063 0.000014 0.000006 0.000003 0.000002 0.000001
0.002111 0.006416 0.000072 0.000016 0.000007 0.000004 0.000002 0.000001
0.002259 0.006869 0.000082 0.000018 0.000008 0.000004 0.000002 0.000002
0.002418 0.007352 0.000094 0.000021 0.000009 0.000005 0.000003 0.000002
0.002588 0.007869 0.000107 0.000024 0.000010 0.000005 0.000003 0.000002
0.002770 0.008422 0.000122 0.000027 0.000011 0.000006 0.000003 0.000002
0.002965 0.009013 0.000138 0.000031 0.000013 0.000007 0.000004 0.000003
0.003173 0.009646 0.000157 0.000035 0.000015 0.000008 0.000004 0.000003
0.003396 0.010323 0.000179 0.000040 0.000017 0.000008 0.000004 0.000003
0.003635 0.011049 0.000204 0.000046 0.000019 0.000010 0.000005 0.000003
0.003890 0.011827 0.000232 0.000053 0.000022 0.000011 0.000005 0.000004
0.004164 0.012658 0.000264 0.000061 0.000025 0.000012 0.000006 0.000004
0.004456 0.013549 0.000301 0.000071 0.000029 0.000014 0.000007 0.000004
0.004769 0.014502 0.000343 0.000082 0.000034 0.000016 0.000008 0.000005
0.005105 0.015523 0.000392 0.000094 0.000039 0.000018 0.000009 0.000005
0.005463 0.016612 0.000447 0.000109 0.000044 0.000021 0.000010 0.000006
0.005847 0.017780 0.000511 0.000126 0.000051 0.000024 0.000011 0.000006
0.006258 0.019029 0.000584 0.000145 0.000059 0.000027 0.000013 0.000007
0.006698 0.020367 0.000666 0.000168 0.000068 0.000031 0.000015 0.000008
0.007169 0.021798 0.000761 0.000194 0.000078 0.000036 0.000017 0.000010
0.007673 0.023331 0.000871 0.000225 0.000091 0.000042 0.000020 0.000011
0.008212 0.024968 0.000996 0.000260 0.000104 0.000047 0.000023 0.000013
0.008789 0.026722 0.001138 0.000301 0.000120 0.000054 0.000026 0.000014
0.009407 0.028599 0.001299 0.000347 0.000137 0.000061 0.000029 0.000016
0.010068 0.030609 0.001484 0.000400 0.000158 0.000070 0.000033 0.000019
0.010776 0.032759 0.001694 0.000461 0.000181 0.000080 0.000038 0.000021
0.011533 0.035063 0.001936 0.000533 0.000209 0.000091 0.000043 0.000024
0.012344 0.037527 0.002210 0.000613 0.000239 0.000104 0.000049 0.000027
0.013211 0.040165 0.002523 0.000707 0.000275 0.000119 0.000055 0.000031
0.014140 0.042988 0.002878 0.000815 0.000316 0.000137 0.000063 0.000035
0.015134 0.046007 0.003280 0.000939 0.000362 0.000156 0.000072 0.000040
0.016197 0.049236 0.003735 0.001081 0.000416 0.000178 0.000081 0.000045
0.017336 0.052687 0.004249 0.001246 0.000480 0.000204 0.000093 0.000051
0.018554 0.056382 0.004835 0.001436 0.000553 0.000234 0.000107 0.000058
0.019858 0.060331 0.005499 0.001653 0.000635 0.000267 0.000121 0.000066
0.021254 0.064557 0.006258 0.001904 0.000731 0.000306 0.000139 0.000075
0.022748 0.069079 0.007120 0.002193 0.000843 0.000351 0.000160 0.000087
0.024347 0.073917 0.008096 0.002525 0.000970 0.000402 0.000183 0.000099
0.026058 0.079090 0.009195 0.002904 0.001115 0.000460 0.000209 0.000113
0.027889 0.084622 0.010430 0.003338 0.001281 0.000526 0.000240 0.000128
0.029849 0.090530 0.011818 0.003830 0.001470 0.000602 0.000274 0.000146
0.031947 0.096839 0.013385 0.004388 0.001685 0.000688 0.000313 0.000167
0.034193 0.103580 0.015163 0.005027 0.001930 0.000788 0.000358 0.000190
0.036596 0.110767 0.017166 0.005752 0.002211 0.000901 0.000410 0.000216
0.039168 0.118430 0.019418 0.006567 0.002526 0.001029 0.000468 0.000246
0.041921 0.126612 0.021966 0.007491 0.002886 0.001176 0.000535 0.000281
0.044867 0.135334 0.024847 0.008536 0.003296 0.001344 0.000612 0.000320
0.048020 0.144627 0.028088 0.009710 0.003761 0.001535 0.000699 0.000366
0.051395 0.154531 0.031743 0.011036 0.004287 0.001751 0.000800 0.000418
0.055008 0.165075 0.035844 0.012520 0.004883 0.001999 0.000915 0.000478
0.058874 0.176296 0.040467 0.014200 0.005559 0.002280 0.001048 0.000548
0.063012 0.188224 0.045660 0.016091 0.006325 0.002601 0.001201 0.000629
0.067440 0.200896 0.051502 0.018239 0.007198 0.002970 0.001377 0.000723
0.072180 0.214346 0.058056 0.020682 0.008193 0.003393 0.001582 0.000830
0.077253 0.228615 0.065407 0.023476 0.009341 0.003884 0.001822 0.000955
0.082683 0.243719 0.073626 0.026695 0.010679 0.004465 0.002112 0.001108
0.088494 0.259720 0.082802 0.030450 0.012286 0.005175 0.002473 0.001302
0.094714 0.276641 0.093010 0.034840 0.014217 0.006043 0.002925 0.001555
0.101371 0.294524 0.104360 0.039984 0.016543 0.007119 0.003502 0.001886
0.108495 0.313404 0.116974 0.046010 0.019354 0.008456 0.004234 0.002317
0.116121 0.333330 0.130989 0.053096 0.022759 0.010112 0.005147 0.002870
0.124282 0.354326 0.146527 0.061405 0.026872 0.012159 0.006286 0.003580
0.133017 0.376423 0.163712 0.071107 0.031842 0.014672 0.007697 0.004475
0.142366 0.399632 0.182645 0.082352 0.037821 0.017757 0.009461 0.005615
0.152371 0.423983 0.203430 0.095296 0.044956 0.021537 0.011664 0.007055
0.163081 0.449501 0.226186 0.110225 0.053547 0.026241 0.014458 0.008910
0.174542 0.476212 0.251043 0.127481 0.063964 0.032153 0.018051 0.011338
0.186810 0.504157 0.278164 0.147420 0.076546 0.039588 0.022700 0.014545
0.199939 0.533360 0.307743 0.170396 0.091707 0.048943 0.028719 0.018782
0.213992 0.563826 0.340048 0.196830 0.109990 0.060754 0.036551 0.024396
0.229032 0.595518 0.375318 0.227190 0.132021 0.075676 0.046825 0.031916
0.245129 0.628362 0.413736 0.261823 0.158400 0.094488 0.060333 0.042049
0.262357 0.662169 0.455457 0.301091 0.190052 0.118308 0.078160 0.055720
0.280797 0.696616 0.500354 0.345479 0.228203 0.148609 0.101931 0.074469
0.300532 0.731281 0.547681 0.395511 0.274150 0.187394 0.133768 0.100447
0.321654 0.765794 0.596884 0.451141 0.328670 0.236372 0.176005 0.136516
0.344261 0.799655 0.648280 0.512688 0.392823 0.297965 0.232277 0.187031
0.368457 0.832272 0.700623 0.578168 0.465250 0.371779 0.303579 0.254459
0.394353 0.862914 0.751858 0.645372 0.544152 0.456865 0.390562 0.341046
0.422070 0.890556 0.799631 0.710305 0.623833 0.546247 0.485569 0.438987
0.451734 0.914412 0.841598 0.769030 0.697974 0.631813 0.578749 0.537043
0.483483 0.934300 0.876866 0.819357 0.762610 0.708296 0.663438 0.627307
0.517464 0.950831 0.906462 0.862000 0.817944 0.775027 0.738300 0.707831
0.553833 0.964913 0.932061 0.899158 0.866509 0.834329 0.805668 0.780975
0.592758 0.977240 0.955124 0.932965 0.910983 0.889123 0.868856 0.850533
0.634419 0.987706 0.975518 0.963271 0.951161 0.939014 0.927301 0.916160
0.679008 0.995205 0.990433 0.985626 0.980927 0.976154 0.971372 0.966683
0.726731 0.998926 0.997854 0.996771 0.995738 0.994669 0.993558 0.992454
0.777808 0.999914 0.999827 0.999741 0.999661 0.999575 0.999483 0.999391
0.832475 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
