# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 1.001295 2.009831 2.706197 3.642203 4.129098 8.510749 10.204860
0.001070 0.994121 1.961293 2.901349 4.480965 4.804360 7.230521 7.863027
0.001146 1.003568 2.002276 2.429279 3.227556 3.457425 4.069665 3.586725
0.001226 0.999826 1.985526 2.367411 3.249626 4.166762 4.794116 4.359221
0.001312 1.002122 1.973376 2.343660 2.937512 4.499601 5.740362 6.667795
0.001404 0.999828 1.907065 2.163632 2.403192 3.106773 3.597000 3.902404
0.001503 1.000904 1.994773 2.228361 2.347226 3.005582 3.420766 3.342852
0.001609 1.000162 1.925036 2.077170 2.188904 2.480672 2.759923 3.558721
0.001722 1.000782 1.889729 1.940433 2.039091 2.449119 2.908545 2.993325
0.001843 1.001648 1.908739 2.084343 2.527893 3.140891 3.775010 4.119782
0.001972 0.997433 1.981898 2.040251 1.813440 1.940510 2.236464 2.633068
0.002111 1.002814 1.922152 1.962954 1.820456 1.554983 1.326723 1.409556
0.002259 1.001146 1.926034 1.925979 1.690839 1.430564 1.268239 1.373346
0.002418 1.000835 1.930028 1.904404 1.764643 1.663537 1.540933 1.683624
0.002588 0.998629 1.898896 1.948883 1.979533 1.950842 2.160463 2.457468
0.002770 0.998589 1.889670 1.894146 1.808621 1.724734 1.764976 1.644029
0.002965 0.999262 1.868127 1.913910 1.826407 1.465451 1.206570 1.121242
0.003173 1.000019 1.884511 1.943105 1.874987 1.555964 1.354346 1.253859
0.003396 1.000023 1.915364 2.070102 2.091237 1.865074 1.610371 1.529552
0.003635 1.001760 1.917657 2.090978 2.096920 1.756693 1.445440 1.248538
0.003890 0.999462 1.923755 2.108954 2.090157 2.019864 1.825160 1.373988
0.004164 1.001303 1.910130 2.060639 1.940613 1.804292 1.518399 1.020760
0.004456 1.001157 1.937809 2.174222 2.166037 2.005624 1.819962 1.286870
0.004769 1.001308 1.953136 2.109976 2.045336 1.928719 1.838346 1.589694
0.005105 0.998930 1.949439 2.061323 1.967569 1.830302 1.797377 1.771062
0.005463 1.000081 1.968369 2.162051 2.072331 1.916169 1.745104 1.652025
0.005847 0.999109 1.947098 2.128831 2.123337 2.057309 1.931284 1.816833
0.006258 1.000872 1.950227 2.118176 2.148269 2.133103 2.138698 2.094219
0.006698 0.999771 1.967315 2.128886 2.116167 2.113734 2.195773 2.156332
0.007169 1.000688 1.984906 2.178544 2.135726 2.073008 2.168289 2.149034
0.007673 0.998377 1.973496 2.152623 2.073636 1.940963 1.916549 1.748918
0.008212 0.999091 1.951601 2.123985 2.014204 1.877067 1.786193 1.799200
0.008789 0.999772 1.948496 2.097741 2.012793 1.938799 1.834054 1.831887
0.009407 0.999968 1.961518 2.113401 2.064982 1.989477 1.957579 1.936497
0.010068 0.999457 1.954011 2.089149 2.033696 1.936071 1.866672 1.752824
0.010776 1.000590 1.961897 2.120793 2.055790 1.944777 1.956518 1.964639
0.011533 0.999821 1.951060 2.078115 2.016507 1.914174 1.881303 1.927291
0.012344 0.999982 1.951588 2.090886 2.029316 1.951992 1.876878 1.784822
0.013211 1.000113 1.938854 2.093556 2.048702 2.031998 1.956000 1.842620
0.014140 0.999404 1.924123 2.082276 2.038435 1.940475 1.843343 1.793479
0.015134 0.998595 1.910669 2.076386 2.028727 1.937267 1.842037 1.750462
0.016197 0.997200 1.901011 2.093788 2.092262 2.044600 2.027794 2.002730
0.017336 0.998006 1.901391 2.090081 2.090171 2.028730 1.988122 1.917861
0.018554 0.996679 1.894380 2.068616 2.052057 1.938591 1.878499 1.835549
0.019858 0.996813 1.902201 2.085105 2.073021 2.001222 2.018724 1.994516
0.021254 0.996570 1.899790 2.077066 2.081806 1.999246 2.039608 2.020931
0.022748 0.996649 1.891855 2.073489 2.068638 1.997189 1.986781 1.941143
0.024347 0.995939 1.874930 2.063601 2.059326 1.981533 1.991825 1.934260
0.026058 0.995281 1.854419 2.049771 2.044999 1.991818 1.994987 1.946495
0.027889 0.993577 1.839122 2.021210 2.021303 1.971597 1.971684 1.890302
0.029849 0.991926 1.833650 2.005275 2.007447 1.977251 1.981657 1.930567
0.031947 0.990731 1.835954 2.000784 2.004402 1.987632 1.978294 1.916186
0.034193 0.987610 1.827217 1.983487 1.994132 1.976614 1.970128 1.926441
0.036596 0.984857 1.814591 1.950573 1.964489 1.962471 1.957399 1.924755
0.039168 0.983544 1.815477 1.936892 1.960266 1.963484 1.964108 1.924668
