# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 1.998487 2.740190 3.449632 2.707269 1.832072 5.270128
0.001110 1.975627 2.727751 3.709505 5.005647 3.978940 5.438738
0.001191 1.961260 2.345192 2.509298 4.571518 7.058034 3.933151
0.001277 1.976474 2.280337 2.940310 3.317962 6.160583 3.082916
0.001369 1.948913 2.283652 2.642915 3.236197 3.640088 2.917923
0.001468 1.904279 2.341045 2.546973 3.228491 4.156425 3.933151
0.001574 1.940707 2.219645 2.413416 3.373437 5.161788 6.188184
0.001688 1.940797 2.167021 2.522034 3.101520 3.071635 5.111765
0.001810 1.888737 2.102767 2.133011 3.244436 2.855423 3.250051
0.001940 1.918085 2.213824 2.188170 2.809817 3.216511 3.807983
0.002081 1.935217 1.990415 2.634055 2.730973 3.946443 4.878985
0.002231 1.916177 2.091295 2.277606 2.939718 4.031536 4.361729
0.002392 1.890530 2.169172 2.063074 3.162092 3.693209 3.601767
0.002565 1.886952 2.069289 1.992379 2.821644 4.147498 4.719722
0.002750 1.910353 2.248235 2.125558 2.418400 3.193130 3.833677
0.002949 1.904795 2.074273 2.240395 2.236390 2.852767 2.861309
0.003162 1.964259 2.070409 1.919279 1.948271 2.774081 3.098034
0.003391 1.944244 2.057622 1.667898 1.639025 1.958348 2.506337
0.003636 1.934109 1.952696 1.750901 1.519179 1.380649 1.952089
0.003899 1.961614 2.016481 1.780010 1.486904 1.292834 1.493554
0.004180 1.981399 2.125702 2.036249 2.018317 1.794648 1.598566
0.004482 2.003092 2.125064 1.878802 1.820021 1.942242 1.970259
0.004806 1.981698 2.175423 1.935653 1.870448 1.778810 1.945594
0.005154 1.960567 2.102778 2.001435 1.810123 1.491398 1.656173
0.005526 1.968491 2.187701 2.032832 1.970419 1.785330 1.560939
0.005926 1.968642 2.164420 1.919377 1.785854 1.810885 1.651260
0.006354 1.942324 2.135769 2.000968 1.748060 1.723557 1.592464
0.006813 1.957814 2.159798 2.074789 1.839150 1.492754 1.142730
