# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 2.005307 2.259094 0.000000 nan nan nan
0.001110 1.911747 1.951008 0.000000 nan nan nan
0.001191 2.051128 3.040825 0.000000 nan nan nan
0.001277 1.993277 1.781400 0.000000 nan nan nan
0.001369 2.029699 3.601767 0.000000 nan nan nan
0.001468 2.028446 2.757020 0.000000 nan nan nan
0.001574 2.001059 2.810663 0.000000 nan nan nan
0.001688 1.990393 2.920506 0.000000 nan nan nan
0.001810 1.981964 2.890506 0.000000 nan nan nan
0.001940 2.016853 3.263323 0.000000 nan nan nan
0.002081 1.977664 2.828500 9.933990 nan nan nan
0.002231 2.009438 2.930301 0.000000 nan nan nan
0.002392 2.028996 3.036722 5.811012 nan nan nan
0.002565 1.982074 3.332812 4.122978 nan nan nan
0.002750 2.018995 2.776012 3.198030 nan nan nan
0.002949 2.017738 2.877630 0.000000 nan nan nan
0.003162 1.987931 3.309118 6.735959 nan nan nan
0.003391 1.979599 3.193244 4.563989 nan nan nan
0.003636 1.965510 2.933283 4.445053 nan nan nan
0.003899 1.998351 3.127643 4.822225 nan nan nan
0.004180 1.988261 2.923204 4.122978 nan nan nan
0.004482 2.013038 3.089184 5.111765 nan nan nan
0.004806 1.991283 2.854200 3.760131 nan nan nan
0.005154 2.004369 3.090869 4.260125 nan nan nan
0.005526 1.998593 2.952493 5.535393 inf nan nan
0.005926 1.998480 3.095278 3.555311 9.933990 nan nan
0.006354 2.011916 3.053739 5.144300 13.132020 nan nan
0.006813 1.990556 3.005109 4.570881 2.612981 nan nan
0.007305 2.010324 2.997020 4.503729 2.209244 nan nan
0.007833 1.997590 3.050329 3.516526 6.477723 nan nan
0.008399 1.996343 3.045767 4.318503 4.445053 nan nan
0.009006 1.994465 3.046608 4.052896 6.126007 nan nan
0.009657 1.990536 2.988864 4.602258 7.930961 nan nan
0.010355 1.996811 2.988699 3.587606 5.325144 inf nan
0.011103 1.993043 2.992840 4.243963 3.873725 0.000000 nan
0.011906 1.992114 2.963083 3.935512 5.557346 15.745001 nan
0.012766 1.989197 2.984074 3.931134 5.552775 7.321009 nan
0.013689 1.996355 2.955201 3.899712 5.250069 8.423993 nan
0.014678 1.995250 2.994417 3.882433 5.027212 4.122978 nan
0.015739 1.989086 2.961708 4.029854 4.602484 7.321009 nan
0.016876 1.989418 2.978105 3.896032 4.703106 8.020256 nan
0.018096 1.989297 2.996107 4.147162 5.029571 6.477723 nan
0.019403 1.981673 2.959665 3.938438 5.178666 6.735959 inf
0.020806 1.982625 2.960223 3.995055 4.708462 6.133086 13.132020
0.022309 1.984792 2.973581 3.931411 4.834513 6.535513 6.735959
0.023921 1.975471 2.956034 3.948869 4.854889 5.967156 9.478976
0.025650 1.979586 2.935342 3.938342 4.802886 6.433284 8.475269
0.027504 1.972404 2.929939 3.928218 5.043301 6.146927 6.313930
0.029492 1.967979 2.940669 3.856250 4.867904 5.988213 6.082969
0.031623 1.964853 2.922744 3.895977 4.856389 5.923924 6.408986
0.033908 1.960405 2.909066 3.848629 4.883175 5.938974 7.168616
0.036359 1.954923 2.905627 3.819119 4.827693 5.916781 6.871116
0.038986 1.945896 2.885933 3.846417 4.797448 5.934592 6.451830
0.041803 1.939565 2.875428 3.776765 4.647349 5.530456 6.895863
0.044824 1.929473 2.850107 3.770315 4.653823 5.487502 6.390351
0.048064 1.922969 2.836444 3.729082 4.675075 5.563495 6.602366
0.051537 1.910889 2.813910 3.702738 4.641624 5.524928 6.401165
0.055262 1.898369 2.788691 3.664411 4.590102 5.462576 6.288506
0.059255 1.884707 2.757368 3.616554 4.491772 5.383835 6.414121
0.063538 1.871050 2.730847 3.562934 4.456501 5.336040 6.180046
0.068129 1.856433 2.704193 3.520100 4.372923 5.282803 6.141057
0.073053 1.839232 2.670312 3.457764 4.283717 5.113652 5.986852
0.078332 1.819295 2.634997 3.400764 4.194797 5.022976 5.860154
0.083993 1.799073 2.599873 3.334211 4.094387 4.891573 5.664091
0.090063 1.775644 2.562476 3.267647 4.013466 4.776713 5.542776
0.096571 1.750555 2.523568 3.204248 3.909320 4.632676 5.319475
0.103550 1.724908 2.486189 3.138260 3.811866 4.514036 5.212249
0.111034 1.695523 2.450205 3.073810 3.708497 4.371744 5.015218
0.119058 1.664842 2.414607 3.020526 3.610051 4.234604 4.870894
0.127662 1.632783 2.381414 2.969447 3.527192 4.096831 4.684611
0.136887 1.599609 2.349943 2.929800 3.452448 3.994997 4.534729
0.146780 1.564924 2.321881 2.894086 3.390037 3.895459 4.410225
0.157387 1.530394 2.294261 2.869484 3.336315 3.805583 4.276186
0.168761 1.496030 2.268195 2.856336 3.308078 3.742302 4.186424
0.180957 1.463792 2.243149 2.847760 3.286206 3.696756 4.117541
0.194034 1.434520 2.217367 2.843746 3.278417 3.660675 4.066693
0.208057 1.408408 2.192155 2.842346 3.279867 3.646400 4.046872
0.223092 1.386355 2.167056 2.837720 3.285079 3.636287 4.030744
0.239215 1.367107 2.142957 2.831501 3.291044 3.633695 4.026325
0.256502 1.349547 2.119796 2.823328 3.298466 3.636373 4.021749
0.275039 1.328903 2.097573 2.814361 3.303944 3.642504 4.025642
0.294915 1.301574 2.074244 2.805412 3.313691 3.654711 4.027402
0.316228 1.259329 2.043971 2.798494 3.328186 3.672752 4.046491
0.339081 1.195153 1.995866 2.784820 3.342168 3.699041 4.076810
0.363585 1.102312 1.916830 2.757922 3.352108 3.731509 4.124141
0.389860 0.983401 1.797630 2.695584 3.339218 3.764113 4.193342
0.418034 0.843884 1.632757 2.575502 3.276661 3.773269 4.262991
0.448245 0.697777 1.427273 2.374458 3.132879 3.719965 4.292740
0.480638 0.561691 1.196771 2.093406 2.891906 3.569028 4.233479
0.515372 0.449768 0.967577 1.757720 2.561894 3.307094 4.049238
0.552617 0.363941 0.765407 1.410548 2.171541 2.942982 3.734505
0.592553 0.294502 0.601562 1.097343 1.764066 2.502895 3.301875
0.635375 0.225874 0.459635 0.827366 1.369778 2.019571 2.772361
0.681292 0.148529 0.314940 0.576312 0.995520 1.528917 2.186470
0.730527 0.076149 0.175604 0.340564 0.645913 1.063186 1.598794
0.783320 0.030334 0.076777 0.163143 0.361350 0.666347 1.073356
0.839929 0.010901 0.028317 0.065170 0.176579 0.376726 0.657215
0.900628 0.003850 0.010188 0.023541 0.076991 0.191417 0.358938
0.965714 0.001020 0.003383 0.007831 0.029121 0.083166 0.165530
