# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.003770 0.000016 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 0.004041 0.000018 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 0.004333 0.000021 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 0.004647 0.000024 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 0.004981 0.000028 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 0.005342 0.000032 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 0.005728 0.000036 0.000000 0.000000 0.000000 0.000000 0.000000
0.001630 0.006142 0.000042 0.000000 0.000000 0.000000 0.000000 0.000000
0.001748 0.006585 0.000048 0.000000 0.000000 0.000000 0.000000 0.000000
0.001874 0.007061 0.000055 0.000000 0.000000 0.000000 0.000000 0.000000
0.002009 0.007571 0.000064 0.000001 0.000000 0.000000 0.000000 0.000000
0.002154 0.008118 0.000073 0.000001 0.000000 0.000000 0.000000 0.000000
0.002310 0.008704 0.000084 0.000001 0.000000 0.000000 0.000000 0.000000
0.002477 0.009334 0.000097 0.000001 0.000000 0.000000 0.000000 0.000000
0.002656 0.010005 0.000111 0.000001 0.000000 0.000000 0.000000 0.000000
0.002848 0.010728 0.000128 0.000002 0.000000 0.000000 0.000000 0.000000
0.003054 0.011503 0.000147 0.000002 0.000000 0.000000 0.000000 0.000000
0.003275 0.012332 0.000169 0.000003 0.000000 0.000000 0.000000 0.000000
0.003511 0.013222 0.000194 0.000003 0.000000 0.000000 0.000000 0.000000
0.003765 0.014176 0.000223 0.000004 0.000000 0.000000 0.000000 0.000000
0.004037 0.015201 0.000256 0.000005 0.000000 0.000000 0.000000 0.000000
0.004329 0.016299 0.000294 0.000006 0.000000 0.000000 0.000000 0.000000
0.004642 0.017478 0.000339 0.000007 0.000000 0.000000 0.000000 0.000000
0.004977 0.018739 0.000389 0.000009 0.000000 0.000000 0.000000 0.000000
0.005337 0.020091 0.000447 0.000011 0.000000 0.000000 0.000000 0.000000
0.005722 0.021543 0.000514 0.000013 0.000000 0.000000 0.000000 0.000000
0.006136 0.023102 0.000591 0.000016 0.000001 0.000000 0.000000 0.000000
0.006579 0.024769 0.000680 0.000020 0.000001 0.000000 0.000000 0.000000
0.007055 0.026559 0.000782 0.000025 0.000001 0.000000 0.000000 0.000000
0.007565 0.028476 0.000899 0.000031 0.000001 0.000000 0.000000 0.000000
0.008111 0.030533 0.001034 0.000038 0.000002 0.000000 0.000000 0.000000
0.008697 0.032734 0.001188 0.000047 0.000002 0.000000 0.000000 0.000000
0.009326 0.035096 0.001364 0.000058 0.000003 0.000000 0.000000 0.000000
0.010000 0.037628 0.001567 0.000072 0.000004 0.000000 0.000000 0.000000
0.010723 0.040343 0.001802 0.000088 0.000005 0.000000 0.000000 0.000000
0.011498 0.043249 0.002071 0.000108 0.000007 0.000001 0.000000 0.000000
0.012328 0.046367 0.002381 0.000134 0.000009 0.000001 0.000000 0.000000
0.013219 0.049708 0.002735 0.000165 0.000012 0.000001 0.000000 0.000000
0.014175 0.053292 0.003144 0.000202 0.000016 0.000002 0.000000 0.000000
0.015199 0.057128 0.003613 0.000249 0.000021 0.000002 0.000000 0.000000
0.016298 0.061240 0.004150 0.000307 0.000027 0.000003 0.000000 0.000000
0.017475 0.065644 0.004765 0.000377 0.000035 0.000004 0.000001 0.000000
0.018738 0.070363 0.005473 0.000464 0.000047 0.000006 0.000001 0.000000
0.020092 0.075417 0.006284 0.000569 0.000062 0.000008 0.000001 0.000000
0.021544 0.080825 0.007214 0.000699 0.000081 0.000012 0.000002 0.000000
0.023101 0.086619 0.008280 0.000858 0.000106 0.000016 0.000003 0.000001
0.024771 0.092824 0.009502 0.001051 0.000138 0.000023 0.000004 0.000001
0.026561 0.099460 0.010903 0.001289 0.000181 0.000032 0.000007 0.000001
0.028480 0.106552 0.012502 0.001578 0.000236 0.000044 0.000010 0.000002
0.030539 0.114144 0.014335 0.001932 0.000308 0.000061 0.000014 0.000003
0.032745 0.122260 0.016429 0.002362 0.000400 0.000085 0.000021 0.000005
0.035112 0.130926 0.018818 0.002884 0.000520 0.000117 0.000031 0.000008
0.037649 0.140182 0.021546 0.003516 0.000673 0.000162 0.000046 0.000013
0.040370 0.150060 0.024651 0.004281 0.000869 0.000221 0.000066 0.000019
0.043288 0.160592 0.028183 0.005204 0.001119 0.000302 0.000095 0.000029
0.046416 0.171812 0.032198 0.006313 0.001436 0.000410 0.000136 0.000044
0.049770 0.183771 0.036762 0.007646 0.001836 0.000553 0.000193 0.000066
0.053367 0.196491 0.041931 0.009240 0.002338 0.000741 0.000272 0.000097
0.057224 0.210012 0.047785 0.011146 0.002966 0.000988 0.000381 0.000142
0.061359 0.224349 0.054380 0.013405 0.003745 0.001308 0.000528 0.000205
0.065793 0.239553 0.061817 0.016086 0.004708 0.001720 0.000724 0.000293
0.070548 0.255642 0.070178 0.019257 0.005890 0.002244 0.000984 0.000414
0.075646 0.272642 0.079553 0.022996 0.007343 0.002914 0.001328 0.000578
0.081113 0.290573 0.090035 0.027387 0.009111 0.003754 0.001775 0.000800
0.086975 0.309435 0.101710 0.032527 0.011256 0.004809 0.002353 0.001094
0.093260 0.329243 0.114680 0.038528 0.013852 0.006123 0.003095 0.001483
0.100000 0.349998 0.129042 0.045521 0.016986 0.007757 0.004040 0.001990
0.107227 0.371698 0.144890 0.053657 0.020779 0.009792 0.005250 0.002658
0.114976 0.394329 0.162308 0.063093 0.025351 0.012311 0.006782 0.003525
0.123285 0.417872 0.181383 0.074014 0.030870 0.015444 0.008733 0.004658
0.132194 0.442317 0.202205 0.086630 0.037544 0.019352 0.011219 0.006141
0.141747 0.467662 0.224879 0.101185 0.045627 0.024237 0.014399 0.008087
0.151991 0.493890 0.249508 0.117939 0.055409 0.030347 0.018464 0.010646
0.162975 0.521007 0.276221 0.137187 0.067251 0.038004 0.023674 0.014012
0.174753 0.549011 0.305173 0.159281 0.081608 0.047626 0.030372 0.018457
0.187382 0.577940 0.336597 0.184669 0.099051 0.059760 0.039027 0.024365
0.200923 0.607818 0.370735 0.213835 0.120261 0.075098 0.050252 0.032259
0.215444 0.638674 0.407879 0.247399 0.146136 0.094579 0.064902 0.042886
0.231013 0.670469 0.448269 0.286002 0.177707 0.119397 0.084161 0.057357
0.247708 0.703128 0.492083 0.330343 0.216238 0.151095 0.109649 0.077283
0.265609 0.736422 0.539239 0.380861 0.262909 0.191392 0.143403 0.104877
0.284804 0.769972 0.589320 0.437622 0.318650 0.242014 0.187793 0.142972
0.305386 0.803218 0.641505 0.500045 0.383665 0.304156 0.244970 0.194527
0.327455 0.835367 0.694391 0.566565 0.456808 0.377619 0.315887 0.261607
0.351119 0.865504 0.746116 0.634595 0.535279 0.460105 0.399107 0.343813
0.376494 0.892748 0.794603 0.700807 0.614735 0.546935 0.490046 0.437023
0.403702 0.916443 0.838001 0.761826 0.690254 0.632011 0.581798 0.533887
0.432876 0.936291 0.875153 0.815178 0.757810 0.709818 0.667494 0.626372
0.464159 0.952470 0.905976 0.860111 0.815666 0.777517 0.743146 0.709328
0.497702 0.965514 0.931243 0.897357 0.864236 0.835023 0.808093 0.781394
0.533670 0.976051 0.951979 0.928171 0.904789 0.883523 0.863430 0.843437
0.572237 0.984540 0.968889 0.953416 0.938202 0.923871 0.910011 0.896200
0.613591 0.991098 0.982055 0.973120 0.964351 0.955782 0.947347 0.938938
0.657933 0.995672 0.991272 0.986925 0.982684 0.978396 0.974131 0.969879
0.705480 0.998341 0.996656 0.994990 0.993380 0.991709 0.990040 0.988375
0.756463 0.999544 0.999083 0.998625 0.998189 0.997728 0.997267 0.996807
0.811131 0.999922 0.999844 0.999766 0.999693 0.999615 0.999537 0.999458
0.869749 0.999994 0.999987 0.999981 0.999975 0.999968 0.999962 0.999956
0.932603 1.000000 1.000000 1.000000 0.999999 0.999999 0.999999 0.999999
1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
