# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.580706 5.481036 5.425305 4.127134 nan nan nan
0.001072 5.511184 5.411838 5.387095 4.304065 nan nan nan
0.001150 5.441530 5.335892 5.282883 4.553877 nan nan nan
0.001233 5.371636 5.267250 5.163112 4.812184 nan nan nan
0.001322 5.302066 5.196870 5.097967 4.324133 nan nan nan
0.001417 5.232193 5.127810 5.066794 4.494239 nan nan nan
0.001520 5.162445 5.058842 5.017617 4.682131 nan nan nan
0.001630 5.092633 4.989213 4.956387 4.477337 nan nan nan
0.001748 5.022898 4.918244 4.892297 4.682131 nan nan nan
0.001874 4.953125 4.849836 4.804869 4.620059 nan nan nan
0.002009 4.883480 4.779229 4.728897 4.613138 nan nan nan
0.002154 4.813733 4.710445 4.688087 4.322476 nan nan nan
0.002310 4.743983 4.639544 4.590780 4.241981 nan nan nan
0.002477 4.674068 4.570263 4.531446 4.440510 nan nan nan
0.002656 4.604635 4.499867 4.443213 4.427410 nan nan nan
0.002848 4.534862 4.429507 4.371185 4.445416 nan nan nan
0.003054 4.465166 4.359323 4.286404 4.171085 nan nan nan
0.003275 4.395545 4.291366 4.206809 4.109544 nan nan nan
0.003511 4.325849 4.221661 4.156082 4.081949 nan nan nan
0.003765 4.256216 4.153445 4.089598 4.020578 nan nan nan
0.004037 4.186413 4.082879 3.998011 3.869542 4.477337 nan nan
0.004329 4.116623 4.013708 3.926093 3.729445 3.729701 nan nan
0.004642 4.046789 3.943314 3.861589 3.706244 3.669951 nan nan
0.004977 3.977165 3.874583 3.791240 3.643318 3.718438 nan nan
0.005337 3.907486 3.805591 3.724839 3.581555 3.196816 nan nan
0.005722 3.837718 3.734783 3.649602 3.508756 3.175272 nan nan
0.006136 3.767844 3.665229 3.579809 3.398765 2.983660 nan nan
0.006579 3.698161 3.595066 3.510406 3.344405 2.939784 nan nan
0.007055 3.628389 3.525078 3.439934 3.285002 2.974580 3.761200 nan
0.007565 3.558677 3.455163 3.365108 3.207033 2.917328 4.110874 nan
0.008111 3.488933 3.385481 3.298297 3.136955 2.873699 3.737670 nan
0.008697 3.419336 3.316114 3.224088 3.045774 2.788589 3.721669 nan
0.009326 3.349665 3.247434 3.152083 2.963993 2.724857 3.230240 nan
0.010000 3.279995 3.178319 3.083746 2.917911 2.686153 3.270836 nan
0.010723 3.210331 3.108311 3.015202 2.843704 2.598903 2.893291 nan
0.011498 3.140785 3.038935 2.949217 2.786065 2.540086 2.725108 nan
0.012328 3.071164 2.969154 2.880945 2.714385 2.475744 2.551546 3.951244
0.013219 3.001584 2.899943 2.810272 2.645445 2.381706 2.397895 2.280112
0.014175 2.931964 2.830195 2.742891 2.568338 2.330715 2.327278 2.580217
0.015199 2.862467 2.760767 2.673782 2.495323 2.252432 2.208120 2.365560
0.016298 2.792953 2.691747 2.603934 2.426164 2.196896 2.121744 2.043074
0.017475 2.723505 2.622888 2.537627 2.362626 2.142301 2.026757 1.867745
0.018738 2.654082 2.553759 2.468845 2.292094 2.063732 1.944411 1.883668
0.020092 2.584727 2.485029 2.401454 2.223821 1.996761 1.857633 1.877373
0.021544 2.515469 2.416311 2.333547 2.157996 1.927357 1.767960 1.801810
0.023101 2.446236 2.347619 2.267443 2.093318 1.867508 1.700728 1.736473
0.024771 2.377054 2.279178 2.201490 2.028044 1.798335 1.630049 1.651047
0.026561 2.307996 2.210762 2.135147 1.961801 1.735428 1.565035 1.588134
0.028480 2.239121 2.142735 2.069666 1.899276 1.673924 1.506838 1.544126
0.030539 2.170294 2.074765 2.004388 1.836084 1.611548 1.449103 1.456646
0.032745 2.101604 2.007118 1.939596 1.774867 1.549500 1.382902 1.396914
