# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.003992 0.000026 0.000003 0.000001 0.000000 0.000000 0.000000
0.001070 0.004273 0.000030 0.000004 0.000001 0.000000 0.000000 0.000000
0.001146 0.004573 0.000035 0.000005 0.000002 0.000001 0.000000 0.000000
0.001226 0.004896 0.000040 0.000006 0.000002 0.000001 0.000000 0.000000
0.001313 0.005240 0.000045 0.000006 0.000002 0.000001 0.000000 0.000000
0.001405 0.005610 0.000051 0.000007 0.000003 0.000001 0.000000 0.000000
0.001504 0.006004 0.000058 0.000009 0.000003 0.000001 0.000001 0.000000
0.001610 0.006427 0.000066 0.000010 0.000004 0.000002 0.000001 0.000000
0.001723 0.006879 0.000075 0.000012 0.000004 0.000002 0.000001 0.000001
0.001845 0.007364 0.000086 0.000013 0.000005 0.000002 0.000001 0.000001
0.001975 0.007881 0.000098 0.000015 0.000006 0.000003 0.000001 0.000001
0.002114 0.008436 0.000111 0.000018 0.000007 0.000003 0.000002 0.000001
0.002262 0.009029 0.000127 0.000021 0.000008 0.000004 0.000002 0.000001
0.002422 0.009663 0.000144 0.000024 0.000009 0.000004 0.000002 0.000001
0.002592 0.010342 0.000164 0.000027 0.000010 0.000005 0.000003 0.000002
0.002775 0.011068 0.000187 0.000031 0.000012 0.000006 0.000003 0.000002
0.002970 0.011844 0.000213 0.000036 0.000013 0.000006 0.000003 0.000002
0.003179 0.012677 0.000243 0.000041 0.000015 0.000007 0.000004 0.000002
0.003403 0.013568 0.000277 0.000047 0.000017 0.000008 0.000004 0.000003
0.003642 0.014522 0.000317 0.000054 0.000020 0.000009 0.000005 0.000003
0.003899 0.015544 0.000364 0.000063 0.000023 0.000010 0.000005 0.000003
0.004173 0.016638 0.000418 0.000074 0.000026 0.000012 0.000006 0.000004
0.004467 0.017812 0.000478 0.000085 0.000030 0.000013 0.000007 0.000004
0.004782 0.019067 0.000547 0.000099 0.000034 0.000015 0.000008 0.000005
0.005118 0.020411 0.000626 0.000115 0.000039 0.000017 0.000009 0.000005
0.005479 0.021849 0.000716 0.000134 0.000046 0.000019 0.000010 0.000006
0.005864 0.023388 0.000817 0.000154 0.000053 0.000022 0.000012 0.000007
0.006277 0.025035 0.000932 0.000178 0.000061 0.000025 0.000013 0.000008
0.006719 0.026799 0.001063 0.000205 0.000070 0.000029 0.000015 0.000009
0.007192 0.028686 0.001213 0.000237 0.000081 0.000033 0.000017 0.000010
0.007698 0.030710 0.001384 0.000273 0.000094 0.000038 0.000019 0.000011
0.008240 0.032874 0.001579 0.000315 0.000108 0.000043 0.000022 0.000013
0.008820 0.035193 0.001804 0.000363 0.000124 0.000049 0.000025 0.000015
0.009441 0.037676 0.002059 0.000420 0.000143 0.000057 0.000029 0.000017
0.010106 0.040336 0.002350 0.000486 0.000165 0.000066 0.000033 0.000019
0.010818 0.043179 0.002680 0.000560 0.000190 0.000076 0.000039 0.000022
0.011579 0.046222 0.003055 0.000646 0.000218 0.000088 0.000045 0.000026
0.012394 0.049478 0.003481 0.000747 0.000253 0.000102 0.000052 0.000030
0.013267 0.052958 0.003965 0.000862 0.000291 0.000118 0.000061 0.000034
0.014201 0.056677 0.004516 0.000997 0.000335 0.000136 0.000070 0.000040
0.015201 0.060656 0.005140 0.001153 0.000387 0.000156 0.000080 0.000045
0.016271 0.064917 0.005844 0.001331 0.000446 0.000180 0.000092 0.000052
0.017416 0.069475 0.006645 0.001535 0.000513 0.000207 0.000106 0.000059
0.018643 0.074345 0.007556 0.001768 0.000589 0.000237 0.000121 0.000068
0.019955 0.079558 0.008588 0.002037 0.000679 0.000272 0.000139 0.000077
0.021360 0.085135 0.009764 0.002349 0.000782 0.000313 0.000160 0.000088
0.022864 0.091083 0.011091 0.002704 0.000901 0.000359 0.000183 0.000100
0.024473 0.097445 0.012596 0.003114 0.001042 0.000414 0.000211 0.000114
0.026196 0.104237 0.014284 0.003589 0.001204 0.000478 0.000243 0.000131
0.028040 0.111474 0.016182 0.004134 0.001389 0.000552 0.000280 0.000150
0.030014 0.119177 0.018307 0.004750 0.001604 0.000639 0.000323 0.000172
0.032128 0.127377 0.020688 0.005444 0.001848 0.000741 0.000373 0.000197
0.034389 0.136116 0.023362 0.006234 0.002130 0.000863 0.000433 0.000227
0.036810 0.145428 0.026369 0.007142 0.002460 0.001011 0.000507 0.000261
0.039402 0.155348 0.029740 0.008174 0.002837 0.001183 0.000594 0.000303
0.042176 0.165876 0.033496 0.009338 0.003257 0.001367 0.000685 0.000346
0.045145 0.177080 0.037693 0.010654 0.003728 0.001573 0.000788 0.000395
0.048323 0.188980 0.042378 0.012162 0.004272 0.001806 0.000906 0.000452
0.051725 0.201576 0.047591 0.013869 0.004894 0.002074 0.001042 0.000517
0.055367 0.214897 0.053399 0.015822 0.005625 0.002399 0.001212 0.000600
0.059265 0.229002 0.059873 0.018078 0.006510 0.002811 0.001439 0.000715
0.063437 0.243900 0.067101 0.020689 0.007545 0.003293 0.001708 0.000854
0.067903 0.259607 0.075235 0.023728 0.008760 0.003864 0.002026 0.001020
0.072684 0.276115 0.084329 0.027264 0.010188 0.004556 0.002414 0.001221
0.077801 0.293372 0.094487 0.031377 0.011867 0.005396 0.002897 0.001477
0.083278 0.311416 0.105796 0.036138 0.013848 0.006403 0.003490 0.001795
0.089141 0.330227 0.118293 0.041629 0.016197 0.007613 0.004212 0.002182
0.095417 0.349826 0.132058 0.047983 0.018990 0.009104 0.005136 0.002686
0.102134 0.370146 0.147095 0.055347 0.022275 0.010851 0.006224 0.003319
0.109324 0.391184 0.163507 0.063921 0.026209 0.012946 0.007538 0.004112
0.117021 0.412970 0.181341 0.073860 0.030961 0.015524 0.009164 0.005106
0.125259 0.435430 0.200524 0.085265 0.036686 0.018736 0.011209 0.006372
0.134078 0.458611 0.221147 0.098303 0.043604 0.022760 0.013827 0.008025
0.143517 0.482439 0.243110 0.113068 0.051960 0.027808 0.017177 0.010170
0.153621 0.507011 0.266613 0.129794 0.061985 0.034103 0.021464 0.012981
0.164436 0.532378 0.291767 0.148683 0.073964 0.041903 0.026900 0.016639
0.176012 0.558637 0.318846 0.170107 0.088281 0.051510 0.033725 0.021352
0.188404 0.585939 0.348244 0.194549 0.105426 0.063382 0.042331 0.027411
0.201668 0.614413 0.380417 0.222649 0.126222 0.078343 0.053410 0.035380
0.215865 0.644182 0.415939 0.255179 0.151691 0.097424 0.067819 0.045965
0.231063 0.675311 0.455329 0.292984 0.182975 0.121840 0.086661 0.060130
0.247330 0.707685 0.498816 0.336963 0.221398 0.153246 0.111716 0.079639
0.264742 0.741052 0.546313 0.388103 0.268776 0.193949 0.145581 0.107176
0.283380 0.774990 0.597098 0.446362 0.326413 0.246535 0.191633 0.146688
0.303331 0.808798 0.650131 0.510485 0.393820 0.311581 0.251706 0.201258
0.324685 0.841352 0.703912 0.578344 0.468804 0.387640 0.325659 0.271809
0.347544 0.871443 0.756190 0.647630 0.549431 0.473461 0.413183 0.359046
0.372011 0.898102 0.804431 0.714395 0.630699 0.563602 0.508657 0.457699
0.398201 0.920598 0.846048 0.773412 0.704440 0.647570 0.599971 0.554680
0.426235 0.938861 0.880323 0.822735 0.767143 0.720089 0.680041 0.641217
0.456243 0.953508 0.908145 0.863302 0.819490 0.781374 0.748361 0.715933
0.488363 0.965350 0.930921 0.896883 0.863397 0.833433 0.806840 0.780531
0.522744 0.975314 0.950464 0.925919 0.901698 0.879325 0.858820 0.838451
0.559546 0.983830 0.967398 0.951190 0.935193 0.919886 0.905335 0.890847
0.598939 0.990751 0.981321 0.972028 0.962893 0.953824 0.944930 0.936061
0.641105 0.995690 0.991288 0.986950 0.982724 0.978375 0.974043 0.969719
0.686239 0.998520 0.997009 0.995515 0.994083 0.992556 0.991031 0.989507
0.734552 0.999679 0.999353 0.999028 0.998725 0.998387 0.998049 0.997711
0.786265 0.999969 0.999938 0.999908 0.999880 0.999846 0.999812 0.999778
0.841619 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
