# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 1.000374 1.980346 2.653629 2.930426 3.945854 5.002319 3.105952
0.001070 0.998314 1.975550 2.250442 2.490810 2.786516 3.279902 3.419226
0.001146 1.002942 1.981703 2.132498 2.271349 2.981745 2.804970 2.999920
0.001226 0.998711 1.912289 2.089199 2.425359 3.423772 3.673199 4.115025
0.001313 1.001837 1.853645 2.037809 2.312078 3.149519 3.366962 3.483581
0.001405 0.997798 1.935209 2.351279 2.870477 3.687125 4.628127 4.887770
0.001504 1.000151 1.908656 2.090959 2.141342 2.717791 3.246073 3.548202
0.001610 0.999529 1.886921 2.209631 2.274370 2.688177 3.084432 3.226632
0.001723 1.000423 1.943092 2.191839 2.084283 2.406222 3.180723 3.218785
0.001845 0.997779 1.889683 2.092625 2.312148 2.842215 3.649679 3.780821
0.001975 0.999736 1.903477 2.054400 1.861325 2.136643 2.548946 2.581683
0.002114 0.998747 1.870035 2.113582 2.001347 1.944512 2.254746 2.412620
0.002262 0.998667 1.910998 2.119555 2.038921 1.888298 1.947166 2.060169
0.002422 0.997838 1.912634 2.078806 1.961816 1.841318 1.854249 1.827309
0.002592 0.996394 1.914408 2.029322 2.030722 2.001079 2.008289 1.945897
0.002775 0.996089 1.910012 1.996982 1.913701 1.863713 1.997602 2.139610
0.002970 0.999497 1.917701 2.007481 1.841088 1.665494 1.719322 1.860462
0.003179 0.998205 1.956228 1.992544 1.838523 1.760118 1.698432 1.700517
0.003403 0.998712 1.990194 2.103060 1.973044 1.915099 1.982039 1.842258
0.003642 0.999694 2.006594 2.200428 2.026175 1.804260 1.785188 1.834616
0.003899 1.000263 2.028424 2.220575 2.033767 1.877747 1.791612 1.660812
0.004173 1.001552 1.987139 2.196683 2.018571 1.782295 1.724479 1.549938
0.004467 1.000757 1.985227 2.207096 2.004237 1.890042 1.812134 1.613973
0.004782 1.001296 1.981388 2.192373 2.085210 1.957055 1.972351 1.912611
0.005118 1.000838 1.962678 2.168733 2.103883 1.980391 1.857917 1.858602
0.005479 1.000870 1.938591 2.096366 2.127034 1.983555 1.834440 1.721159
0.005864 0.999943 1.936365 2.107118 2.115531 1.938579 1.814550 1.710654
0.006277 1.000586 1.937770 2.108999 2.131058 1.996393 1.873917 1.785165
0.006719 1.000411 1.936084 2.089998 2.108192 1.954378 1.852421 1.783569
0.007192 1.002267 1.939278 2.097027 2.092947 2.007493 1.985654 1.956301
