# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.523501 5.018605 2.037756 1.079974 1.201112 1.043042 0.490023
0.001070 5.455442 4.951934 1.991950 1.061143 1.132028 0.971167 0.619039
0.001146 5.387523 4.885449 1.973248 1.044790 1.111910 0.937600 0.609560
0.001226 5.319289 4.818861 1.962989 1.035343 1.063580 0.949627 0.596297
0.001313 5.251344 4.756707 1.950953 1.012473 0.995654 0.932658 0.566238
0.001405 5.183185 4.698755 1.938424 0.993814 0.938680 0.917864 0.558304
0.001504 5.115301 4.634980 1.910117 0.958491 0.883120 0.853845 0.540640
0.001610 5.047257 4.573171 1.897714 0.955063 0.843902 0.817904 0.520085
0.001723 4.979256 4.512798 1.875759 0.950658 0.815750 0.790945 0.510411
0.001845 4.911193 4.448665 1.858836 0.957976 0.793847 0.738253 0.507821
0.001975 4.843311 4.387986 1.845029 0.943041 0.757784 0.683318 0.498899
0.002114 4.775295 4.326501 1.834761 0.956176 0.739054 0.655268 0.496672
0.002262 4.707347 4.267224 1.818192 0.963812 0.742920 0.634161 0.485931
0.002422 4.639404 4.205155 1.804003 0.969298 0.753168 0.630156 0.478243
0.002592 4.571517 4.142918 1.792698 0.977257 0.761366 0.629277 0.480076
0.002775 4.503729 4.080462 1.784880 0.977162 0.763382 0.628786 0.484321
0.002970 4.435961 4.018285 1.778963 0.982828 0.766783 0.619677 0.474659
0.003179 4.367962 3.955816 1.772855 0.994148 0.778729 0.616015 0.465057
0.003403 4.300051 3.890638 1.770384 1.004627 0.784064 0.620212 0.464915
0.003642 4.232105 3.823184 1.762705 1.013472 0.788006 0.615657 0.474425
0.003899 4.164092 3.754681 1.749518 1.025328 0.803103 0.616955 0.471062
0.004173 4.096040 3.684732 1.736445 1.038037 0.813718 0.622815 0.479961
0.004467 4.027901 3.617679 1.722189 1.050154 0.829793 0.626749 0.491836
0.004782 3.959816 3.550702 1.707095 1.063956 0.837562 0.632049 0.505317
0.005118 3.891694 3.484023 1.692741 1.071246 0.846281 0.631008 0.509382
0.005479 3.823604 3.418585 1.678722 1.075658 0.854682 0.639341 0.509335
0.005864 3.755511 3.354789 1.667988 1.073572 0.864444 0.649485 0.517042
0.006277 3.687481 3.291080 1.656371 1.072999 0.876483 0.657924 0.524111
0.006719 3.619408 3.227320 1.644722 1.071499 0.885644 0.666256 0.530149
0.007192 3.551346 3.163663 1.634250 1.070261 0.896109 0.673193 0.534833
0.007698 3.483158 3.099915 1.623518 1.070539 0.901922 0.674678 0.536830
0.008240 3.415069 3.036004 1.612853 1.072203 0.913254 0.673532 0.539807
0.008820 3.346895 2.971066 1.602400 1.075956 0.919074 0.679619 0.546037
0.009441 3.278726 2.906767 1.589137 1.077872 0.919793 0.677223 0.550200
0.010106 3.210503 2.842703 1.577082 1.080639 0.918691 0.674349 0.554159
0.010818 3.142403 2.779621 1.566069 1.082828 0.915484 0.673601 0.557908
0.011579 3.074292 2.716602 1.553321 1.084733 0.911759 0.670321 0.561899
0.012394 3.006237 2.654127 1.539725 1.083629 0.907864 0.665846 0.565323
0.013267 2.938259 2.591879 1.526622 1.086237 0.904341 0.664602 0.569268
0.014201 2.870393 2.529635 1.510972 1.089154 0.902196 0.665579 0.569176
0.015201 2.802531 2.468262 1.494213 1.093281 0.904501 0.667381 0.570277
0.016271 2.734653 2.407709 1.479315 1.094616 0.906132 0.668423 0.575637
0.017416 2.666786 2.347054 1.465568 1.096631 0.909069 0.670388 0.580299
0.018643 2.599040 2.286380 1.452243 1.098947 0.912394 0.669108 0.585175
0.019955 2.531271 2.226159 1.438653 1.098716 0.913994 0.669987 0.589912
0.021360 2.463521 2.165545 1.424876 1.099500 0.917459 0.672307 0.598237
0.022864 2.395982 2.105600 1.411572 1.098545 0.921113 0.673942 0.605176
0.024473 2.328466 2.045946 1.397304 1.095289 0.923333 0.675074 0.610482
0.026196 2.261089 1.987510 1.381417 1.092360 0.923855 0.676582 0.616174
0.028040 2.193967 1.929899 1.364657 1.090579 0.922570 0.678455 0.622850
0.030014 2.127148 1.873349 1.349136 1.085912 0.919669 0.681917 0.630398
0.032128 2.060605 1.817615 1.335019 1.080638 0.913562 0.686069 0.638783
0.034389 1.994252 1.762400 1.321069 1.074075 0.903806 0.688185 0.648551
0.036810 1.928076 1.707504 1.306213 1.065689 0.889773 0.689998 0.661941
0.039402 1.862089 1.653180 1.291560 1.058010 0.874448 0.688868 0.674297
0.042176 1.796517 1.599816 1.277337 1.053429 0.868131 0.691424 0.683004
0.045145 1.731156 1.547129 1.263499 1.049987 0.863306 0.690909 0.689644
0.048323 1.666115 1.495017 1.248278 1.046227 0.861056 0.689473 0.696217
0.051725 1.601588 1.443524 1.232959 1.041777 0.858468 0.687928 0.701221
0.055367 1.537597 1.392359 1.216408 1.034092 0.852143 0.682607 0.703864
0.059265 1.474024 1.341509 1.197517 1.021336 0.839906 0.669243 0.699209
0.063437 1.410998 1.290562 1.176582 1.008679 0.829152 0.656586 0.692536
0.067903 1.348585 1.238551 1.153959 0.996436 0.818579 0.645538 0.686136
0.072684 1.286938 1.186090 1.129149 0.984374 0.804724 0.635082 0.681342
0.077801 1.226313 1.132984 1.102370 0.972315 0.788165 0.621839 0.673443
0.083278 1.166624 1.079623 1.074169 0.959172 0.771420 0.606962 0.664881
0.089141 1.107976 1.026615 1.044369 0.943972 0.754937 0.591848 0.657865
0.095417 1.050318 0.974193 1.012402 0.926928 0.735248 0.572457 0.648171
0.102134 0.993858 0.922819 0.977451 0.910162 0.719202 0.555797 0.628755
0.109324 0.938577 0.872325 0.939201 0.891532 0.705364 0.540859 0.606007
0.117021 0.884381 0.822996 0.898206 0.869454 0.690340 0.527142 0.584893
0.125259 0.831420 0.775403 0.855171 0.843361 0.671980 0.513663 0.564837
0.134078 0.779552 0.729374 0.810779 0.812899 0.650135 0.498368 0.544138
0.143517 0.728900 0.685342 0.765525 0.777514 0.625156 0.481723 0.524159
0.153621 0.679222 0.642737 0.719847 0.739059 0.597494 0.463029 0.502914
0.164436 0.630401 0.601400 0.674139 0.698242 0.568222 0.443228 0.480350
0.176012 0.582256 0.560792 0.628281 0.655905 0.538745 0.423550 0.457074
0.188404 0.534540 0.520312 0.582216 0.612673 0.508835 0.403658 0.434579
0.201668 0.487088 0.479399 0.535672 0.567554 0.476945 0.383091 0.411854
0.215865 0.439774 0.437443 0.488572 0.520120 0.442771 0.362233 0.388957
0.231063 0.392583 0.394153 0.440900 0.470771 0.406638 0.340711 0.365492
0.247330 0.345757 0.349761 0.392265 0.420012 0.367920 0.316083 0.338451
0.264742 0.299684 0.304879 0.341923 0.367390 0.326286 0.286858 0.306264
0.283380 0.254906 0.260769 0.290952 0.312965 0.280658 0.251923 0.267277
0.303331 0.212206 0.218375 0.241813 0.259466 0.234236 0.213395 0.223676
0.324685 0.172745 0.178357 0.196484 0.209985 0.190108 0.174225 0.180752
