# r C0uncm=2 C0uncm=3 C0uncm=4 C0uncm=5 C0uncm=6 C0uncm=7 C1uncm=2 C1uncm=3 C1uncm=4 C1uncm=5 C1uncm=6 C1uncm=7 C2uncm=2 C2uncm=3 C2uncm=4 C2uncm=5 C2uncm=6 C2uncm=7
0.001000 nan nan nan nan nan nan nan nan nan nan nan nan 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 nan nan nan nan nan nan nan nan nan nan nan nan 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 nan nan nan nan nan nan nan nan nan nan nan nan 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 nan nan nan nan nan nan nan nan nan nan nan nan 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 nan nan nan nan nan nan nan nan nan nan nan nan 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 nan nan nan nan nan nan nan nan nan nan nan nan 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 nan nan nan nan nan nan nan nan nan nan nan nan 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001630 nan nan nan nan nan nan nan nan nan nan nan nan 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001748 nan nan nan nan nan nan nan nan nan nan nan nan 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001874 nan nan nan nan nan nan nan nan nan nan nan nan 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002009 nan nan nan nan nan nan nan nan nan nan nan nan 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002154 nan nan nan nan nan nan nan nan nan nan nan nan 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002310 nan nan nan nan nan nan nan nan nan nan nan nan 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001
0.002477 nan nan nan nan nan nan nan nan nan nan nan nan 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001
0.002656 nan nan nan nan nan nan nan nan nan nan nan nan 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001
0.002848 nan nan nan nan nan nan nan nan nan nan nan nan 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001
0.003054 nan nan nan nan nan nan nan nan nan nan nan nan 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001
0.003275 nan nan nan nan nan nan nan nan nan nan nan nan 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001
0.003511 nan nan nan nan nan nan nan nan nan nan nan nan 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001
0.003765 nan nan nan nan nan nan nan nan nan nan nan nan 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001
0.004037 nan nan nan nan nan nan nan nan nan nan nan nan 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001
0.004329 nan nan nan nan nan nan nan nan nan nan nan nan 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001
0.004642 nan nan nan nan nan nan nan nan nan nan nan nan 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002
0.004977 nan nan nan nan nan nan nan nan nan nan nan nan 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002
0.005337 nan nan nan nan nan nan nan nan nan nan nan nan 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002
0.005722 nan nan nan nan nan nan nan nan nan nan nan nan 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002
0.006136 nan nan nan nan nan nan nan nan nan nan nan nan 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002
0.006579 nan nan nan nan nan nan nan nan nan nan nan nan 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003
0.007055 nan nan nan nan nan nan nan nan nan nan nan nan 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003
0.007565 nan nan nan nan nan nan nan nan nan nan nan nan 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003
0.008111 nan nan nan nan nan nan nan nan nan nan nan nan 0.000004 0.000004 0.000004 0.000004 0.000004 0.000004
0.008697 nan nan nan nan nan nan nan nan nan nan nan nan 0.000004 0.000004 0.000004 0.000004 0.000004 0.000004
0.009326 nan nan nan nan nan nan nan nan nan nan nan nan 0.000004 0.000004 0.000004 0.000004 0.000004 0.000004
0.010000 nan nan nan nan nan nan nan nan nan nan nan nan 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005
0.010723 nan nan nan nan nan nan nan nan nan nan nan nan 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005
0.011498 nan nan nan nan nan nan nan nan nan nan nan nan 0.000006 0.000006 0.000006 0.000006 0.000006 0.000006
0.012328 nan nan nan nan nan nan nan nan nan nan nan nan 0.000007 0.000007 0.000007 0.000007 0.000007 0.000007
0.013219 nan nan nan nan nan nan nan nan nan nan nan nan 0.000007 0.000007 0.000007 0.000007 0.000007 0.000007
0.014175 nan nan nan nan nan nan nan nan nan nan nan nan 0.000008 0.000008 0.000008 0.000008 0.000008 0.000008
0.015199 nan nan nan nan nan nan nan nan nan nan nan nan 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009
0.016298 nan nan nan nan nan nan nan nan nan nan nan nan 0.000010 0.000010 0.000010 0.000010 0.000010 0.000010
0.017475 nan nan nan nan nan nan nan nan nan nan nan nan 0.000011 0.000011 0.000011 0.000011 0.000011 0.000011
0.018738 nan nan nan nan nan nan nan nan nan nan nan nan 0.000012 0.000012 0.000012 0.000012 0.000012 0.000013
0.020092 nan nan nan nan nan nan nan nan nan nan nan nan 0.000014 0.000014 0.000014 0.000014 0.000014 0.000014
0.021544 nan nan nan nan nan nan nan nan nan nan nan nan 0.000015 0.000015 0.000015 0.000015 0.000015 0.000015
0.023101 nan nan nan nan nan nan nan nan nan nan nan nan 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017
0.024771 nan nan nan nan nan nan nan nan nan nan nan nan 0.000019 0.000019 0.000019 0.000019 0.000019 0.000019
0.026561 nan nan nan nan nan nan nan nan nan nan nan nan 0.000021 0.000021 0.000021 0.000021 0.000021 0.000021
