# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.002920 0.000011 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 0.003131 0.000012 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 0.003357 0.000014 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 0.003601 0.000016 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 0.003861 0.000019 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 0.004139 0.000022 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 0.004437 0.000025 0.000000 0.000000 0.000000 0.000000 0.000000
0.001630 0.004757 0.000029 0.000000 0.000000 0.000000 0.000000 0.000000
0.001748 0.005101 0.000033 0.000000 0.000000 0.000000 0.000000 0.000000
0.001874 0.005471 0.000038 0.000000 0.000000 0.000000 0.000000 0.000000
0.002009 0.005866 0.000044 0.000001 0.000000 0.000000 0.000000 0.000000
0.002154 0.006291 0.000051 0.000001 0.000000 0.000000 0.000000 0.000000
0.002310 0.006745 0.000058 0.000001 0.000000 0.000000 0.000000 0.000000
0.002477 0.007231 0.000067 0.000001 0.000000 0.000000 0.000000 0.000000
0.002656 0.007755 0.000077 0.000001 0.000000 0.000000 0.000000 0.000000
0.002848 0.008315 0.000088 0.000001 0.000000 0.000000 0.000000 0.000000
0.003054 0.008917 0.000102 0.000002 0.000000 0.000000 0.000000 0.000000
0.003275 0.009562 0.000117 0.000002 0.000000 0.000000 0.000000 0.000000
0.003511 0.010253 0.000134 0.000003 0.000000 0.000000 0.000000 0.000000
0.003765 0.010995 0.000154 0.000003 0.000000 0.000000 0.000000 0.000000
0.004037 0.011790 0.000178 0.000004 0.000000 0.000000 0.000000 0.000000
0.004329 0.012641 0.000204 0.000005 0.000000 0.000000 0.000000 0.000000
0.004642 0.013556 0.000235 0.000006 0.000000 0.000000 0.000000 0.000000
0.004977 0.014538 0.000270 0.000008 0.000000 0.000000 0.000000 0.000000
0.005337 0.015588 0.000310 0.000009 0.000000 0.000000 0.000000 0.000000
0.005722 0.016715 0.000356 0.000011 0.000000 0.000000 0.000000 0.000000
0.006136 0.017921 0.000409 0.000014 0.000001 0.000000 0.000000 0.000000
0.006579 0.019215 0.000471 0.000017 0.000001 0.000000 0.000000 0.000000
0.007055 0.020604 0.000541 0.000022 0.000001 0.000000 0.000000 0.000000
0.007565 0.022091 0.000623 0.000026 0.000001 0.000000 0.000000 0.000000
0.008111 0.023686 0.000716 0.000033 0.000002 0.000000 0.000000 0.000000
0.008697 0.025399 0.000824 0.000040 0.000002 0.000000 0.000000 0.000000
0.009326 0.027233 0.000947 0.000050 0.000003 0.000000 0.000000 0.000000
0.010000 0.029200 0.001088 0.000061 0.000004 0.000000 0.000000 0.000000
0.010723 0.031309 0.001251 0.000075 0.000005 0.000000 0.000000 0.000000
0.011498 0.033572 0.001438 0.000093 0.000007 0.000001 0.000000 0.000000
0.012328 0.035996 0.001653 0.000114 0.000010 0.000001 0.000000 0.000000
0.013219 0.038593 0.001900 0.000141 0.000013 0.000001 0.000000 0.000000
0.014175 0.041378 0.002183 0.000173 0.000017 0.000002 0.000000 0.000000
0.015199 0.044364 0.002510 0.000214 0.000022 0.000003 0.000000 0.000000
0.016298 0.047566 0.002883 0.000263 0.000029 0.000004 0.000001 0.000000
0.017475 0.050997 0.003312 0.000324 0.000038 0.000005 0.000001 0.000000
0.018738 0.054674 0.003805 0.000398 0.000050 0.000007 0.000001 0.000000
0.020092 0.058617 0.004372 0.000489 0.000065 0.000010 0.000002 0.000000
